university_name,university_id
liverpool john moores university,U0818
london south bank university,U0819
maynooth university,U0820
national technical university of ukraine igor sikorsky kyiv polytechnic institute,U0821
ocean university of china,U0822
philippsuniversität marburg,U0823
pontificia universidad católica de valparaíso,U0824
rutgers universitynewark,U0825
syracuse university,U0826
the catholic university of korea,U0827
toronto metropolitan university,U0828
tu dortmund university,U0829
universidad anáhuac méxico,U0830
universidad iberoamericana ibero,U0831
universidad san francisco de quito usfq,U0832
università degli studi di perugia,U0833
universitas brawijaya,U0834
universität duisburgessen,U0835
universität rostock,U0836
université de lorraine,U0837
universiti tunku abdul rahman utar,U0838
university of alaska fairbanks,U0839
university of alicante,U0840
university of baghdad,U0841
university of bari,U0842
university of brighton,U0843
university of bucharest,U0844
university of hyderabad,U0845
university of oregon,U0846
university of petroleum and energy studies upes,U0847
university of salerno,U0848
university of stavanger,U0849
university of ulsan,U0850
wuhan university of technology,U0851
agh university of science and technology,U0852
alquds university,U0853
applied science private university jordan,U0854
charles sturt university,U0855
chonnam national university,U0856
chungnam national university,U0857
clarkson university,U0858
cy cergy paris university,U0859
donghua university,U0860
georgia state university,U0861
gulf university for science and technology,U0862
jamia millia islamia,U0863
kansas state university,U0864
karaganda state technical university,U0865
kyrgyz russian slavic university,U0866
mendel university in brno,U0867
nagasaki university,U0868
northwest agriculture and forestry university,U0869
northwest university,U0870
okayama university,U0871
oklahoma state university,U0872
pavol jozef afárik university in koice,U0873
poznan university of life sciences,U0874
shahid beheshti university sbu,U0875
swarthmore college,U0876
technological university dublin,U0877
thapar institute of engineering technology,U0878
tokyo university of agriculture and technology,U0879
universidad de valladolid,U0880
universidad ort uruguay,U0881
universita degli studi di ferrara,U0882
université de nantes,U0883
université de sherbrooke,U0884
université du québec,U0885
university at albany suny,U0886
university duesseldorf,U0887
university of dubai,U0888
university of gdansk,U0889
university of ghana,U0890
university of hertfordshire,U0891
university of lincoln,U0892
university of mississippi,U0893
university of palermo,U0894
university of santo tomas,U0895
university of south africa,U0896
university of wroclaw,U0897
vietnam national university hanoi,U0898
vilnius gediminas technical university,U0899
virginia commonwealth university,U0900
yildiz technical university,U0901
australian catholic university,U0902
beijing jiaotong university,U0903
beijing university of posts and telecommunications,U0904
catania university,U0905
future university in egypt,U0906
gazi üniversitesi,U0907
georgian technical university,U0908
german jordanian university,U0909
imam mohammad ibn saud islamic university imsiu,U0910
kanazawa university,U0911
karaganda buketov university,U0912
kyrgyzturkish manas university,U0913
louisiana state university,U0914
makerere university,U0915
manipal academy of higher education manipal karnataka india,U0916
michigan technological university,U0917
national research saratov state university,U0918
nicolaus copernicus university,U0919
north south university,U0920
osaka metropolitan university,U0921
princess sumaya university for technology,U0922
ritsumeikan asia pacific university,U0923
robert gordon university,U0924
south ural state university national research university,U0925
universidad católica del uruguay ucu,U0926
universidad central marta abreu de las villas,U0927
universidad eafit,U0928
universidad externado de colombia,U0929
universidad nacional de córdoba unc,U0930
universidad nacional mayor de san marcos,U0931
universidad pontificia bolivariana,U0932
universidade católica portuguesa ucp,U0933
universidade de vigo,U0934
università degli studi della tuscia university of tuscia,U0935
università degli studi roma tre,U0936
university of alabama birmingham,U0937
university of calabria,U0938
university of east london,U0939
university of hail,U0940
university of lodz,U0941
university of maribor,U0942
university of murcia,U0943
university of nairobi,U0944
university of peshawar,U0945
university of salford,U0946
university paris 2 panthéonassas,U0947
viet nam national university ho chi minh city vnuhcm,U0948
worcester polytechnic institute,U0949
wroclaw university of science and technology wrust,U0950
yerevan state university,U0951
yokohama city university,U0952
almaty technological university,U0953
athens university of economics and business,U0954
auburn university,U0955
baku state university,U0956
bina nusantara university binus,U0957
clark university,U0958
clemson university,U0959
d serikbayev east kazakhstan state technical university,U0960
ferdowsi university of mashhad,U0961
financial university under the government of the russian federation,U0962
hallym university,U0963
indian institute of technology bhubaneswar,U0964
instituto tecnológico de buenos aires itba,U0965
khon kaen university,U0966
king mongkuts university of technology thonburi,U0967
kumamoto university,U0968
mansoura university,U0969
niigata university,U0970
northern borders university,U0971
pontificia universidad católica del ecuador puce,U0972
prince of songkla university,U0973
queen margaret university edinburgh,U0974
rhodes university,U0975
riga stradins university,U0976
sd asfendiyarov kazakh national medical university,U0977
saveetha institute of medical and technical sciences deemed to be university,U0978
sophia university,U0979
southern federal university,U0980
st louis university,U0981
the university of alabama,U0982
the university of lahore,U0983
universidad autónoma metropolitana uam,U0984
universidad de córdoba españa,U0985
universidad de la sabana,U0986
universidad de león,U0987
universidad de los andes chile,U0988
universidad de san andrés udesa,U0989
universidad nacional de rosario unr,U0990
universidad técnica federico santa maría usm,U0991
universidad torcuato di tella,U0992
université sorbonne paris nord,U0993
université toulouse 1 capitole,U0994
universiti pendidikan sultan idris upsi,U0995
university of bahrain,U0996
university of central lancashire,U0997
university of colombo,U0998
university of denver,U0999
university of parma,U1000
university of regina,U1001
university of south bohemia,U1002
university of the western cape,U1003
yarmouk university,U1004
yeungnam university,U1005
alazhar university,U1006
aligarh muslim university,U1007
amity university,U1008
amrita vishwa vidyapeetham,U1009
annajah national university,U1010
arab academy for science technology and maritime transport,U1011
assiut university,U1012
azerbaijan state oil and industry university,U1013
azerbaijan state university of economics,U1014
banaras hindu university,U1015
baylor university,U1016
bielefeld university,U1017
binghamton university suny,U1018
birmingham city university,U1019
brac university,U1020
brigham young university,U1021
canterbury christ church university,U1022
chang jung christian university,U1023
chung yuan christian university,U1024
chungbuk national university,U1025
college of william and mary,U1026
corvinus university of budapest,U1027
cracow university of technology politechnika krakowska,U1028
dankook university,U1029
ege university,U1030
