university_id,year,source,global_rank,overall_score,academic_reputation,employer_reputation
U00116,2025,QS_2025,116.0,57.1,77.7,47.8
U00116,2024,THE_2024,63.0,73.3,,
U00116,2023,WUR_2023,81.0,65.5,,
U00117,2025,QS_2025,117.0,56.8,62.3,29.1
U00117,2024,THE_2024,121.0,65.1,,
U00117,2023,WUR_2023,110.0,62.5,,
U00118,2025,QS_2025,118.0,56.3,58.5,86.0
U00119,2025,QS_2025,119.0,56.1,55.6,16.0
U00119,2024,THE_2024,127.0,64.3,,
U00119,2023,WUR_2023,126.0,60.2,,
U00120,2025,QS_2025,120.0,55.8,48.3,36.9
U00120,2024,THE_2024,135.0,63.1,,
U00120,2023,WUR_2023,124.0,60.4,,
U00121,2025,QS_2025,120.0,55.8,32.6,38.9
U00121,2024,THE_2024,225.5,,,
U00122,2025,QS_2025,122.0,55.7,29.8,50.6
U00122,2024,THE_2024,275.5,,,
U00122,2023,WUR_2023,225.5,,,
U00123,2025,QS_2025,123.0,55.5,40.4,48.0
U00123,2024,THE_2024,275.5,,,
U00123,2023,WUR_2023,325.5,,,
U00124,2025,QS_2025,123.0,55.5,57.9,70.7
U00124,2024,THE_2024,145.0,62.5,,
U00125,2025,QS_2025,125.0,55.2,50.4,54.5
U00125,2024,THE_2024,74.0,70.8,,
U00125,2023,WUR_2023,65.0,68.3,,
U00126,2025,QS_2025,126.0,55.0,89.2,69.9
U00127,2025,QS_2025,126.0,55.0,51.4,43.5
U00127,2024,THE_2024,225.5,,,
U00127,2023,WUR_2023,225.5,,,
U00128,2025,QS_2025,128.0,54.8,52.5,21.0
U00128,2024,THE_2024,185.0,59.6,,
U00128,2023,WUR_2023,176.0,56.1,,
U00129,2025,QS_2025,129.0,54.5,50.0,59.3
U00129,2024,THE_2024,168.0,60.8,,
U00130,2025,QS_2025,130.0,54.4,63.0,48.0
U00130,2024,THE_2024,59.0,74.1,,
U00130,2023,WUR_2023,63.0,68.5,,
U00131,2025,QS_2025,131.0,54.3,26.6,13.5
U00131,2024,THE_2024,123.0,64.9,,
U00131,2023,WUR_2023,101.0,63.0,,
U00132,2025,QS_2025,132.0,54.2,80.7,48.5
U00132,2024,THE_2024,181.0,60.0,,
U00132,2023,WUR_2023,225.5,,,
U00133,2025,QS_2025,133.0,54.1,80.8,47.8
U00134,2025,QS_2025,133.0,54.1,33.4,39.2
U00134,2024,THE_2024,180.0,60.1,,
U00134,2023,WUR_2023,175.0,56.2,,
U00135,2025,QS_2025,133.0,54.1,50.0,23.7
U00135,2024,THE_2024,57.0,74.8,,
U00136,2025,QS_2025,136.0,54.0,28.7,72.1
U00136,2024,THE_2024,168.0,60.8,,
U00136,2023,WUR_2023,225.5,,,
U00137,2025,QS_2025,137.0,53.9,70.9,40.4
U00137,2024,THE_2024,119.0,65.2,,
U00137,2023,WUR_2023,124.0,60.4,,
U00138,2025,QS_2025,138.0,53.8,61.7,66.4
U00138,2024,THE_2024,450.5,,,
U00138,2023,WUR_2023,700.5,,,
U00139,2025,QS_2025,139.0,53.7,26.3,50.4
U00139,2024,THE_2024,189.0,59.4,,
U00139,2023,WUR_2023,275.5,,,
U00140,2025,QS_2025,139.0,53.7,82.8,90.0
U00141,2025,QS_2025,141.0,53.6,38.9,36.7
U00141,2024,THE_2024,155.0,61.8,,
U00141,2023,WUR_2023,122.0,60.8,,
U00142,2025,QS_2025,141.0,53.6,68.4,32.9
U00142,2024,THE_2024,77.0,70.2,,
U00143,2025,QS_2025,141.0,53.6,39.1,27.3
U00143,2024,THE_2024,119.0,65.2,,
U00143,2023,WUR_2023,147.0,57.9,,
U00144,2025,QS_2025,144.0,53.3,54.7,27.6
U00144,2024,THE_2024,109.0,65.9,,
U00144,2023,WUR_2023,117.0,61.2,,
U00145,2025,QS_2025,145.0,53.0,57.1,32.5
U00145,2024,THE_2024,73.0,70.9,,
U00145,2023,WUR_2023,95.0,63.6,,
U00146,2025,QS_2025,146.0,52.7,63.3,69.7
U00146,2024,THE_2024,450.5,,,
U00146,2023,WUR_2023,700.5,,,
U00147,2025,QS_2025,147.0,52.5,55.3,74.3
U00148,2025,QS_2025,148.0,52.3,61.0,61.9
U00148,2024,THE_2024,550.5,,,
U00148,2023,WUR_2023,700.5,,,
U00149,2025,QS_2025,149.0,52.2,59.8,61.4
U00149,2024,THE_2024,275.5,,,
U00150,2025,QS_2025,150.0,52.1,54.1,80.9
U00151,2025,QS_2025,150.0,52.1,35.8,67.9
U00151,2024,THE_2024,275.5,,,
U00151,2023,WUR_2023,275.5,,,
U00152,2025,QS_2025,152.0,51.9,59.5,48.6
U00152,2024,THE_2024,116.0,65.4,,
U00152,2023,WUR_2023,106.0,62.8,,
U00153,2025,QS_2025,152.0,51.9,63.2,65.8
U00153,2024,THE_2024,225.5,,,
U00153,2023,WUR_2023,325.5,,,
U00154,2025,QS_2025,154.0,51.8,61.2,66.0
U00154,2024,THE_2024,118.0,65.3,,
U00154,2023,WUR_2023,181.0,55.8,,
U00155,2025,QS_2025,155.0,51.6,45.5,17.2
U00155,2024,THE_2024,183.0,59.8,,
U00155,2023,WUR_2023,225.5,,,
U00156,2025,QS_2025,155.0,51.6,61.4,36.5
U00156,2024,THE_2024,72.0,71.2,,
U00156,2023,WUR_2023,69.0,67.8,,
U00157,2025,QS_2025,155.0,51.6,42.1,23.8
U00157,2024,THE_2024,64.0,73.0,,
U00157,2023,WUR_2023,59.0,70.3,,
U00158,2025,QS_2025,158.0,51.5,37.0,58.2
U00158,2024,THE_2024,99.0,66.7,,
U00159,2025,QS_2025,159.0,51.3,55.5,32.8
U00160,2025,QS_2025,159.0,51.3,52.3,34.4
U00160,2024,THE_2024,79.0,70.0,,
U00161,2025,QS_2025,161.0,51.2,29.7,16.1
U00161,2024,THE_2024,116.0,65.4,,
U00161,2023,WUR_2023,94.0,63.7,,
U00162,2025,QS_2025,162.0,51.1,43.0,78.0
U00162,2024,THE_2024,325.5,,,
U00163,2025,QS_2025,163.0,51.0,54.2,79.6
U00163,2024,THE_2024,1350.5,,,
U00163,2023,WUR_2023,1100.5,,,
U00164,2025,QS_2025,164.0,50.9,68.1,68.1
