university_id,display_name,region,qs_name,the_name,wur_name,in_qs,in_the,in_wur,country_id,country_name
U00157,Wageningen University & Research,Europe,Wageningen University & Research,Wageningen University & Research,Wageningen University & Research,True,True,True,C082,netherlands
U00158,Erasmus University Rotterdam,Europe,Erasmus University Rotterdam,Erasmus University Rotterdam,,True,True,False,C082,netherlands
U00159,Université de Montréal,Americas,Université de Montréal,,,True,False,False,C021,canada
U00160,University of Groningen,Europe,University of Groningen,University of Groningen,,True,True,False,C082,netherlands
U00161,University of Bern,Europe,University of Bern,University of Bern,University of Bern,True,True,True,C116,switzerland
U00162,Hanyang University,Asia,Hanyang University,Hanyang University,,True,True,False,C111,south korea
U00163,Al-Farabi Kazakh National University,Asia,Al-Farabi Kazakh National University,Al-Farabi Kazakh National University,Al-Farabi Kazakh National University,True,True,True,C058,kazakhstan
U00164,Complutense University of Madrid,Europe,Complutense University of Madrid,Complutense University of Madrid,Complutense University of Madrid,True,True,True,C112,spain
U00165,Universitat de Barcelona,Europe,Universitat de Barcelona,,,True,False,False,C112,spain
U00166,University of Liverpool,Europe,University of Liverpool,University of Liverpool,,True,True,False,C128,united kingdom
U00167,Kyushu University,Asia,Kyushu University,Kyushu University,Kyushu University,True,True,True,C056,japan
U00168,University of Wollongong,Oceania,University of Wollongong,University of Wollongong,University of Wollongong,True,True,True,C006,australia
U00169,Ghent University,Europe,Ghent University,Ghent University,Ghent University,True,True,True,C012,belgium
U00170,The University of Exeter,Europe,The University of Exeter,,,True,False,False,C128,united kingdom
U00171,University of Cape Town,Africa,University of Cape Town,University of Cape Town,,True,True,False,C110,south africa
U00172,University of Reading,Europe,University of Reading,University of Reading,University of Reading,True,True,True,C128,united kingdom
U00173,Hokkaido University,Asia,Hokkaido University,Hokkaido University,Hokkaido University,True,True,True,C056,japan
U00174,Curtin University,Oceania,Curtin University,Curtin University,,True,True,False,C006,australia
U00175,Universitat Autònoma de Barcelona,Europe,Universitat Autònoma de Barcelona,,,True,False,False,C112,spain
U00176,McMaster University,Americas,McMaster University,McMaster University,,True,True,False,C021,canada
U00177,Washington University in St. Louis,Americas,Washington University in St. Louis,Washington University in St Louis,Washington University in St Louis,True,True,True,C129,united states
U00178,"University of California, Santa Barbara (UCSB)",Americas,"University of California, Santa Barbara (UCSB)","University of California, Santa Barbara","University of California, Santa Barbara",True,True,True,C129,united states
U00179,"The University of Newcastle, Australia (UON)",Oceania,"The University of Newcastle, Australia (UON)",,,True,False,False,C006,australia
U00180,Universidad de los Andes,Americas,Universidad de los Andes,,,True,False,False,C024,colombia
U00181,Universiti Teknologi Malaysia,Asia,Universiti Teknologi Malaysia,Universiti Teknologi Malaysia,,True,True,False,C071,malaysia
U00182,Waseda University,Asia,Waseda University,Waseda University,Waseda University,True,True,True,C056,japan
U00183,Hamad Bin Khalifa University,Asia,Hamad Bin Khalifa University,,,True,False,False,C099,qatar
U00184,University of York,Europe,University of York,University of York,University of York,True,True,True,C128,united kingdom
U00185,Tecnológico de Monterrey,Americas,Tecnológico de Monterrey,,,True,False,False,C074,mexico
U00186,Cardiff University,Europe,Cardiff University,Cardiff University,,True,True,False,C128,united kingdom
U00187,École Normale Supérieure de Lyon,Europe,École Normale Supérieure de Lyon,École Normale Supérieure de Lyon,École Normale Supérieure de Lyon,True,True,True,C038,france
U00188,Keio University,Asia,Keio University,Keio University,Keio University,True,True,True,C056,japan
U00189,University of Ottawa,Americas,University of Ottawa,University of Ottawa,,True,True,False,C021,canada
U00190,Technische Universität Wien,Europe,Technische Universität Wien,,,True,False,False,C007,austria
U00191,Universität Hamburg,Europe,Universität Hamburg,,,True,False,False,C040,germany
U00192,Tongji University,Asia,Tongji University,Tongji University,Tongji University,True,True,True,C023,china
U00193,Queen's University at Kingston,Americas,Queen's University at Kingston,,,True,False,False,C021,canada
U00194,University of Gothenburg,Europe,University of Gothenburg,University of Gothenburg,University of Gothenburg,True,True,True,C115,sweden
U00195,Wuhan University,Asia,Wuhan University,Wuhan University,Wuhan University,True,True,True,C023,china
U00196,Emory University,Americas,Emory University,Emory University,Emory University,True,True,True,C129,united states
U00197,Deakin University,Oceania,Deakin University,Deakin University,Deakin University,True,True,True,C006,australia
U00198,Universidad Autónoma de Madrid,Europe,Universidad Autónoma de Madrid,,,True,False,False,C112,spain
U00199,University of Calgary,Americas,University of Calgary,University of Calgary,University of Calgary,True,True,True,C021,canada
U00200,Arizona State University,Americas,Arizona State University,Arizona State University (Tempe),,True,True,False,C129,united states
U00201,King Saud University,Asia,King Saud University,King Saud University,King Saud University,True,True,True,C103,saudi arabia
U00202,American University of Sharjah,Asia,American University of Sharjah,American University of Sharjah,American University of Sharjah,True,True,True,C127,united arab emirates
U00203,Université catholique de Louvain (UCLouvain),Europe,Université catholique de Louvain (UCLouvain),Université Catholique de Louvain,Université Catholique de Louvain,True,True,True,C012,belgium
U00204,University of Minnesota Twin Cities,Americas,University of Minnesota Twin Cities,,,True,False,False,C129,united states
U00205,Ecole des Ponts ParisTech,Europe,Ecole des Ponts ParisTech,,,True,False,False,C038,france
U00206,Queen's University Belfast,Europe,Queen's University Belfast,Queen’s University Belfast,,True,True,False,C128,united kingdom
U00207,Universitas Indonesia,Asia,Universitas Indonesia,,,True,False,False,C049,indonesia
U00208,The Ohio State University,Americas,The Ohio State University,,,True,False,False,C129,united states
U00209,Tel Aviv University,Asia,Tel Aviv University,Tel Aviv University,Tel Aviv University,True,True,True,C053,israel
U00210,National Tsing Hua University,Asia,National Tsing Hua University,National Tsing Hua University,National Tsing Hua University,True,True,True,C118,taiwan
U00211,Indian Institute of Science,Asia,Indian Institute of Science,Indian Institute of Science,Indian Institute of Science,True,True,True,C048,india
U00212,Albert-Ludwigs-Universitaet Freiburg,Europe,Albert-Ludwigs-Universitaet Freiburg,,,True,False,False,C040,germany
U00213,Queensland University of Technology (QUT),Oceania,Queensland University of Technology (QUT),Queensland University of Technology,,True,True,False,C006,australia
U00214,University of Otago,Oceania,University of Otago,University of Otago,University of Otago,True,True,True,C083,new zealand
U00215,National Cheng Kung University (NCKU),Asia,National Cheng Kung University (NCKU),National Cheng Kung University (NCKU),,True,True,False,C118,taiwan
U00216,University of Florida,Americas,University of Florida,University of Florida,University of Florida,True,True,True,C129,united states
U00217,La Trobe University,Oceania,La Trobe University,La Trobe University,,True,True,False,C006,australia
U00218,"University of Maryland, College Park",Americas,"University of Maryland, College Park","University of Maryland, College Park","University of Maryland, College Park",True,True,True,C129,united states
U00219,National Yang Ming Chiao Tung University,Asia,National Yang Ming Chiao Tung University,National Yang Ming Chiao Tung University,National Yang Ming Chiao Tung University,True,True,True,C118,taiwan
U00220,Universidad Nacional de Colombia,Americas,Universidad Nacional de Colombia,,,True,False,False,C024,colombia
U00221,Vrije Universiteit Amsterdam,Europe,Vrije Universiteit Amsterdam,Vrije Universiteit Amsterdam,Vrije Universiteit Amsterdam,True,True,True,C082,netherlands
U00222,Eberhard Karls Universität Tübingen,Europe,Eberhard Karls Universität Tübingen,,,True,False,False,C040,germany
U00223,Indian Institute of Technology Kharagpur (IIT-KGP),Asia,Indian Institute of Technology Kharagpur (IIT-KGP),,,True,False,False,C048,india
U00224,Friedrich-Alexander-Universität Erlangen-Nürnberg,Europe,Friedrich-Alexander-Universität Erlangen-Nürnberg,,,True,False,False,C040,germany
U00225,Loughborough University,Europe,Loughborough University,Loughborough University,Loughborough University,True,True,True,C128,united kingdom
U00226,University of Lausanne,Europe,University of Lausanne,University of Lausanne,University of Lausanne,True,True,True,C116,switzerland
U00227,Indian Institute of Technology Madras (IITM),Asia,Indian Institute of Technology Madras (IITM),,,True,False,False,C048,india
U00228,Rheinische Friedrich-Wilhelms-Universität Bonn,Europe,Rheinische Friedrich-Wilhelms-Universität Bonn,,,True,False,False,C040,germany
U00229,Chulalongkorn University,Asia,Chulalongkorn University,Chulalongkorn University,,True,True,False,C120,thailand
U00230,Maastricht University,Europe,Maastricht University,Maastricht University,Maastricht University,True,True,True,C082,netherlands
U00231,Universite libre de Bruxelles,Europe,Universite libre de Bruxelles,Université Libre de Bruxelles,Université Libre de Bruxelles,True,True,True,C012,belgium
U00232,Universidade Estadual de Campinas (Unicamp),Americas,Universidade Estadual de Campinas (Unicamp),,,True,False,False,C016,brazil
U00233,University of Twente,Europe,University of Twente,University of Twente,University of Twente,True,True,True,C082,netherlands
U00234,Technische Universität Dresden,Europe,Technische Universität Dresden,,,True,False,False,C040,germany
U00235,University of Waikato,Oceania,University of Waikato,University of Waikato,University of Waikato,True,True,True,C083,new zealand
U00236,Università di Padova,Europe,Università di Padova,,,True,False,False,C054,italy
U00237,University of Aberdeen,Europe,University of Aberdeen,University of Aberdeen,University of Aberdeen,True,True,True,C128,united kingdom
U00238,University of Rochester,Americas,University of Rochester,University of Rochester,University of Rochester,True,True,True,C129,united states
U00239,Gadjah Mada University,Asia,Gadjah Mada University,,,True,False,False,C049,indonesia
U00240,Massey University,Oceania,Massey University,Massey University,Massey University,True,True,True,C083,new zealand
U00241,Politecnico di Torino,Europe,Politecnico di Torino,,,True,False,False,C054,italy
U00242,Technical University of Darmstadt,Europe,Technical University of Darmstadt,Technical University of Darmstadt,Technical University of Darmstadt,True,True,True,C040,germany
U00243,Dartmouth College,Americas,Dartmouth College,Dartmouth College,Dartmouth College,True,True,True,C129,united states
U00244,Victoria University of Wellington,Oceania,Victoria University of Wellington,Victoria University of Wellington,Victoria University of Wellington,True,True,True,C083,new zealand
U00245,University of Macau,Asia,University of Macau,,,True,False,False,C069,macau
U00246,Charles University,Europe,Charles University,Charles University,Charles University,True,True,True,C029,czechia
U00247,University of Sussex,Europe,University of Sussex,University of Sussex,University of Sussex,True,True,True,C128,united kingdom
U00248,Vanderbilt University,Americas,Vanderbilt University,Vanderbilt University,Vanderbilt University,True,True,True,C129,united states
U00249,University of Navarra,Europe,University of Navarra,University of Navarra,University of Navarra,True,True,True,C112,spain
U00250,American University of Beirut (AUB),Asia,American University of Beirut (AUB),American University of Beirut,American University of Beirut,True,True,True,C064,lebanon
U00251,Taylor's University,Asia,Taylor's University,,,True,False,False,C071,malaysia
U00252,Harbin Institute of Technology,Asia,Harbin Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology,True,True,True,C023,china
U00253,Hong Kong Baptist University,Asia,Hong Kong Baptist University,Hong Kong Baptist University,Hong Kong Baptist University,True,True,True,C045,hong kong
U00254,University of Göttingen,Europe,University of Göttingen,University of Göttingen,University of Göttingen,True,True,True,C040,germany
U00255,Griffith University,Oceania,Griffith University,Griffith University,,True,True,False,C006,australia
