university_id,university_name,the_rank_2023,the_rank_2023_numeric,the_2023_rank_type
U0210,national tsing hua university,501.0,501.0,Banded
U0219,national yang ming chiao tung university,501.0,501.0,Banded
U0246,charles university,501.0,501.0,Banded
U0253,hong kong baptist university,501.0,501.0,Banded
U0257,heriot-watt university,501.0,501.0,Banded
U0260,university of lisbon,501.0,501.0,Banded
U0285,middle east technical university,501.0,501.0,Banded
U0302,beijing institute of technology,501.0,501.0,Banded
U0340,university of saskatchewan,501.0,501.0,Banded
U0351,sciences po,501.0,501.0,Banded
U0359,gwangju institute of science and technology (gist),501.0,501.0,Banded
U0379,university of tsukuba,501.0,501.0,Banded
U0436,iran university of science and technology,501.0,501.0,Banded
U0459,university of guelph,501.0,501.0,Banded
U0467,universitat ramon llull,501.0,501.0,Banded
U0510,soas university of london,501.0,501.0,Banded
U0521,university of hull,501.0,501.0,Banded
U0523,zayed university,501.0,501.0,Banded
U0527,missouri university of science and technology,501.0,501.0,Banded
U0533,university of bradford,501.0,501.0,Banded
U0547,northwestern polytechnical university,501.0,501.0,Banded
U0550,university of iceland,501.0,501.0,Banded
U0574,florida international university,501.0,501.0,Banded
U0593,nottingham trent university,501.0,501.0,Banded
U0617,eastern mediterranean university,501.0,501.0,Banded
U0662,aberystwyth university,501.0,501.0,Banded
U0671,tokyo medical and dental university (tmdu),501.0,501.0,Banded
U0683,"goldsmiths, university of london",501.0,501.0,Banded
U0701,university of greenwich,501.0,501.0,Banded
U0705,lebanese american university,501.0,501.0,Banded
U0707,stevens institute of technology,501.0,501.0,Banded
U0737,university of trieste,501.0,501.0,Banded
U0751,victoria university,501.0,501.0,Banded
U0791,university of mons,501.0,501.0,Banded
U0795,keele university,501.0,501.0,Banded
U0799,university of kentucky,501.0,501.0,Banded
U0802,wayne state university,501.0,501.0,Banded
U0829,tu dortmund university,501.0,501.0,Banded
U0848,university of salerno,501.0,501.0,Banded
U0849,university of stavanger,501.0,501.0,Banded
U0863,jamia millia islamia,501.0,501.0,Banded
U0900,virginia commonwealth university,501.0,501.0,Banded
U1010,an-najah national university,501.0,501.0,Banded
U1019,birmingham city university,501.0,501.0,Banded
U1185,university of tabuk,501.0,501.0,Banded
U1369,university of kragujevac,501.0,501.0,Banded
U1379,university of peradeniya,501.0,501.0,Banded
U1612,Xi’an Jiaotong University,501.0,501.0,Banded
U1613,Beihang University,501.0,501.0,Banded
U1644,Technion Israel Institute of Technology,501.0,501.0,Banded
U1653,Centrale Nantes,501.0,501.0,Banded
U1659,University of Fribourg,501.0,501.0,Banded
U1664,Johannes Kepler University of Linz,501.0,501.0,Banded
U1670,University of Neuchâtel,501.0,501.0,Banded
U1679,University of South Carolina-Columbia,501.0,501.0,Banded
U1688,University of L’Aquila,501.0,501.0,Banded
U1695,University of Côte d’Azur,501.0,501.0,Banded
U1705,University of Messina,501.0,501.0,Banded
U1710,University of Nicosia,501.0,501.0,Banded
U1711,Northumbria University,501.0,501.0,Banded
U1717,Shiraz University of Technology,501.0,501.0,Banded
U1724,UiT The Arctic University of Norway,501.0,501.0,Banded
U1725,University of Valencia,501.0,501.0,Banded
U1748,École des Mines de Saint-Étienne,501.0,501.0,Banded
U1757,Government College University Faisalabad,501.0,501.0,Banded
U1759,Harokopio University of Athens,501.0,501.0,Banded
U1765,University of Insubria,501.0,501.0,Banded
U1766,"International Institute of Information Technology, Hyderabad",501.0,501.0,Banded
U1776,Kashan University of Medical Sciences and Health Services,501.0,501.0,Banded
U1780,University of Lille,501.0,501.0,Banded
U1807,Open University of Catalonia,501.0,501.0,Banded
U1823,University of Sassari,501.0,501.0,Banded
U1824,Saveetha Institute of Medical and Technical Sciences,501.0,501.0,Banded
U1835,University of Tuscia,501.0,501.0,Banded
U1836,University of Udine,501.0,501.0,Banded
U1845,Zhejiang Normal University,501.0,501.0,Banded
U1860,Bucharest University of Economic Studies,501.0,501.0,Banded
U1865,Changsha University of Science and Technology,501.0,501.0,Banded
U1875,Damietta University,501.0,501.0,Banded
U1903,Jordan University of Science and Technology,501.0,501.0,Banded
U1905,Kafrelsheikh University,501.0,501.0,Banded
U1922,University of Management and Technology,501.0,501.0,Banded
U1963,University of Vic – Central University of Catalonia,501.0,501.0,Banded
U1994,Durban University of Technology,501.0,501.0,Banded
U2019,Indian Institute of Technology Ropar,501.0,501.0,Banded
U2026,Jimma University,501.0,501.0,Banded
U2106,The University of the West Indies,501.0,501.0,Banded
U2332,University of Zambia,501.0,501.0,Banded
U3392,Federal University of Toulouse Midi-Pyrénées,501.0,501.0,Banded
U3393,"Islamic Azad University, Najafabad Branch (IAUN)",501.0,501.0,Banded
U3394,Constructor University Bremen,501.0,501.0,Banded
U3395,Kermanshah University of Medical Sciences,501.0,501.0,Banded
U3396,Southwestern University of Finance and Economics,501.0,501.0,Banded
U3397,SUNY University at Albany,501.0,501.0,Banded
U0202,american university of sharjah,601.0,601.0,Banded
U0215,national cheng kung university (ncku),601.0,601.0,Banded
U0240,massey university,601.0,601.0,Banded
U0312,jagiellonian university,601.0,601.0,Banded
U0313,university of johannesburg,601.0,601.0,Banded
U0327,istanbul technical university,601.0,601.0,Banded
U0356,university of coimbra,601.0,601.0,Banded
U0362,sultan qaboos university,601.0,601.0,Banded
U0392,national taiwan university of science and technology (taiwan tech),601.0,601.0,Banded
U0403,amirkabir university of technology,601.0,601.0,Banded
U0413,graz university of technology,601.0,601.0,Banded
U0415,concordia university,601.0,601.0,Banded
U0416,oxford brookes university,601.0,601.0,Banded
U0422,university of limerick,601.0,601.0,Banded
U0433,university of granada,601.0,601.0,Banded
U0448,dalian university of technology,601.0,601.0,Banded
U0471,ben-gurion university of the negev,601.0,601.0,Banded
U0489,chongqing university,601.0,601.0,Banded
U0492,shanghai university,601.0,601.0,Banded
U0505,university of huddersfield,601.0,601.0,Banded
U0512,zhengzhou university,601.0,601.0,Banded
U0539,university of eastern finland,601.0,601.0,Banded
U0557,university of dhaka,601.0,601.0,Banded
U0564,eötvös loránd university,601.0,601.0,Banded
U0578,southern cross university,601.0,601.0,Banded
U0580,jawaharlal nehru university,601.0,601.0,Banded
U0608,rensselaer polytechnic institute,601.0,601.0,Banded
U0634,ajou university,601.0,601.0,Banded
U0640,savitribai phule pune university,601.0,601.0,Banded
U0644,beirut arab university,601.0,601.0,Banded
U0647,hacettepe university,601.0,601.0,Banded
U0648,lehigh university,601.0,601.0,Banded
U0660,university of houston,601.0,601.0,Banded
U0668,memorial university of newfoundland,601.0,601.0,Banded
U0676,bar-ilan university,601.0,601.0,Banded
U0681,university of haifa,601.0,601.0,Banded
U0699,universidade federal do rio grande do sul,601.0,601.0,Banded
U0712,american university,601.0,601.0,Banded
U0713,comsats university islamabad,601.0,601.0,Banded
U0715,de montfort university,601.0,601.0,Banded
U0717,nanjing agricultural university,601.0,601.0,Banded
U0730,konkuk university,601.0,601.0,Banded
U0742,carleton university,601.0,601.0,Banded
U0747,university of central florida,601.0,601.0,Banded
U0771,addis ababa university,601.0,601.0,Banded
U0779,"university of maryland, baltimore county",601.0,601.0,Banded
U0815,jouf university,601.0,601.0,Banded
U0819,london south bank university,601.0,601.0,Banded
U0870,north-west university,601.0,601.0,Banded
U0872,oklahoma state university,601.0,601.0,Banded
U0885,université du québec,601.0,601.0,Banded
U0891,university of hertfordshire,601.0,601.0,Banded
U0914,louisiana state university,601.0,601.0,Banded
U0920,north south university,601.0,601.0,Banded
U0944,university of nairobi,601.0,601.0,Banded
U0952,yokohama city university,601.0,601.0,Banded
U0955,auburn university,601.0,601.0,Banded
U0958,clark university,601.0,601.0,Banded
U0969,mansoura university,601.0,601.0,Banded
U0998,university of colombo,601.0,601.0,Banded
U1000,university of parma,601.0,601.0,Banded
U1001,university of regina,601.0,601.0,Banded
U1015,banaras hindu university,601.0,601.0,Banded
U1016,baylor university,601.0,601.0,Banded
U1036,glasgow caledonian university,601.0,601.0,Banded
U1059,lviv polytechnic national university,601.0,601.0,Banded
U1085,san diego state university,601.0,601.0,Banded
U1164,university of derby,601.0,601.0,Banded
U1179,university of north carolina at charlotte,601.0,601.0,Banded
U1189,university of the sunshine coast,601.0,601.0,Banded
U1365,university of babylon,601.0,601.0,Banded
U1636,University of Georgia,601.0,601.0,Banded
U1654,Chung-Ang University,601.0,601.0,Banded
U1665,Universiti Kebangsaan Malaysia,601.0,601.0,Banded
U1667,Mizzou - University of Missouri,601.0,601.0,Banded
U1671,New Jersey Institute of Technology,601.0,601.0,Banded
U1673,Polytechnic University of Turin,601.0,601.0,Banded
U1677,Universiti Sains Malaysia,601.0,601.0,Banded
U1685,Åbo Akademi University,601.0,601.0,Banded
U1691,Ca’ Foscari University of Venice,601.0,601.0,Banded
U1692,University of Canterbury,601.0,601.0,Banded
U1693,Central Queensland University,601.0,601.0,Banded
U1697,ENSTA Bretagne,601.0,601.0,Banded
U1699,University of Graz,601.0,601.0,Banded
U1700,Hamburg University of Technology,601.0,601.0,Banded
U1701,Jinan University,601.0,601.0,Banded
U1704,Manchester Metropolitan University,601.0,601.0,Banded
U1706,Nantes Université,601.0,601.0,Banded
U1707,National Yunlin University of Science and Technology,601.0,601.0,Banded
U1712,NOVA University of Lisbon,601.0,601.0,Banded
U1713,Polytechnic University of Bari,601.0,601.0,Banded
U1714,Universiti Putra Malaysia,601.0,601.0,Banded
U1715,Rovira i Virgili University,601.0,601.0,Banded
U1718,"Soochow University, China",601.0,601.0,Banded
U1728,Abdul Wali Khan University Mardan,601.0,601.0,Banded
U1732,Amedeo Avogadro University of Eastern Piedmont,601.0,601.0,Banded
U1733,University of Arkansas,601.0,601.0,Banded
U1735,University of Bari Aldo Moro,601.0,601.0,Banded
U1739,University of Campania Luigi Vanvitelli,601.0,601.0,Banded
U1742,Capital Medical University,601.0,601.0,Banded
U1745,University of Córdoba,601.0,601.0,Banded
U1746,Cyprus University of Technology,601.0,601.0,Banded
U1751,"University of Engineering and Technology, Taxila",601.0,601.0,Banded
U1754,Federation University Australia,601.0,601.0,Banded
U1756,Gabriele d‘Annunzio University,601.0,601.0,Banded
U1760,Imam Abdulrahman Bin Faisal University,601.0,601.0,Banded
U1767,Iran University of Medical Sciences,601.0,601.0,Banded
U1769,Jamia Hamdard University,601.0,601.0,Banded
U1770,Jiangsu University,601.0,601.0,Banded
U1771,Jönköping University,601.0,601.0,Banded
U1772,The University of Jordan,601.0,601.0,Banded
U1774,University of Kaiserslautern,601.0,601.0,Banded
U1775,University of Kashan,601.0,601.0,Banded
U1777,KIIT University,601.0,601.0,Banded
U1778,King Saud bin Abdulaziz University for Health Sciences,601.0,601.0,Banded
U1781,University of Lorraine,601.0,601.0,Banded
U1785,Marche Polytechnic University,601.0,601.0,Banded
U1786,Mashhad University of Medical Sciences,601.0,601.0,Banded
U1796,National Institute of Technology Silchar,601.0,601.0,Banded
U1797,Near East University,601.0,601.0,Banded
U1798,"University of Nevada, Las Vegas",601.0,601.0,Banded
U1799,University of New Brunswick UNB,601.0,601.0,Banded
U1802,Norwegian University of Life Sciences,601.0,601.0,Banded
U1805,Ontario Tech University,601.0,601.0,Banded
U1806,The Open University,601.0,601.0,Banded
U1814,Prince Sattam Bin Abdulaziz University,601.0,601.0,Banded
U1816,Qingdao University,601.0,601.0,Banded
U1821,University of Sannio,601.0,601.0,Banded
U1822,University of Santiago de Compostela,601.0,601.0,Banded
U1847,Ahvaz Jundishapur University of Medical Sciences (AJUMS),601.0,601.0,Banded
U1855,Bahçeşehir University,601.0,601.0,Banded
U1856,Bahria University,601.0,601.0,Banded
U1861,University of Camerino (Unicam),601.0,601.0,Banded
U1873,Covenant University,601.0,601.0,Banded
U1876,Delhi Technological University,601.0,601.0,Banded
U1878,Universidade Federal de São Paulo (UNIFESP),601.0,601.0,Banded
U1885,Guangzhou University,601.0,601.0,Banded
U1886,Guangzhou Medical University,601.0,601.0,Banded
U1888,Hazara University Mansehra,601.0,601.0,Banded
U1889,Ilam University of Medical Sciences,601.0,601.0,Banded
U1893,Indraprastha Institute of Information Technology Delhi,601.0,601.0,Banded
U1895,"International Islamic University, Islamabad",601.0,601.0,Banded
U1906,Kalasalingam Academy of Research and Education,601.0,601.0,Banded
U1912,Kore University of Enna,601.0,601.0,Banded
U1913,University of Kurdistan,601.0,601.0,Banded
U1916,Lahore University of Management Sciences,601.0,601.0,Banded
