university_id,university_name,country_name,country_code,country_name_canonical,qs_rank_2025,qs_overall_score,qs_academic_reputation_score,qs_employer_reputation_score,qs_faculty_student_score,qs_citations_per_faculty_score,qs_international_students_score,qs_international_faculty_score,qs_employment_outcomes_score,qs_sustainability_score,qs_present,the_rank_2024,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024,the24_present,the_rank_2023,the_overall_score_2023,the_teaching_score_2023,the_research_score_2023,the_citations_score_2023,the_industry_income_score_2023,the_international_outlook_score_2023,the_student_staff_ratio_2023,the_international_students_pct_2023,the_female_percentage_2023,the23_present,worldbank_match_key,wb_country_code,wb_country_name,wb_long_name,wb_2alpha_code,wb_region,wb_income_group,worldbank_linked,wb_tertiary_enrollment_ratio_2015,wb_tertiary_graduation_ratio_2015,wb_female_tertiary_students_pct_2015,wb_tertiary_pupil_teacher_ratio_2015,wb_youth_literacy_15_24_pct_2015,wb_tertiary_graduates_2015,worldbank_education_2015_linked,rank_difference,absolute_rank_difference
U0062,city university of hong kong,Hong Kong SAR,HK,hong kong,62.0,70.7,60.9,30.8,89.5,100.0,100.0,100.0,37.5,72.9,True,82.0,69.3,52.2,52.4,91.1,100.0,98.7,13.2,67.0,54.0,True,99.0,63.4,47.2,53.0,79.9,76.6,99.6,12.1,62.0,54.0,True,"hong kong sar, china",HKG,"Hong Kong SAR, China",Hong Kong Special Administrative Region of the People's Republic of China,HK,East Asia & Pacific,High income: nonOECD,True,68.475456237793,,52.449649810791,,,,True,-20.0,20.0
U0063,ku leuven,Belgium,BE,belgium,63.0,70.3,84.6,49.6,7.1,91.0,47.7,93.8,75.3,51.2,True,45.0,77.0,60.1,74.9,91.9,100.0,79.6,37.3,19.0,52.0,True,42.0,74.6,59.7,74.9,86.7,99.2,76.8,36.5,18.0,51.0,True,belgium,BEL,Belgium,Kingdom of Belgium,BE,Europe & Central Asia,High income: OECD,True,75.0368270874023,,55.8789100646973,,,,True,18.0,18.0
U0064,sorbonne university,France,FR,france,63.0,70.3,87.2,52.0,43.0,72.3,46.7,33.8,79.7,87.6,True,75.0,70.5,64.7,60.8,83.7,69.5,78.8,14.5,22.0,60.0,True,90.0,64.5,58.7,58.3,76.6,40.0,72.3,13.9,21.0,59.0,True,france,FRA,France,French Republic,FR,Europe & Central Asia,High income: OECD,True,,47.0227584838867,,,,752068.0,True,-12.0,12.0
U0066,university of texas at austin,United States,US,united states,66.0,69.5,93.5,86.6,8.1,76.7,11.7,6.1,81.7,52.1,True,52.0,75.5,66.0,75.7,91.0,81.4,47.3,16.4,8.0,55.0,True,50.0,72.3,66.2,73.1,87.5,51.3,40.1,17.4,10.0,53.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,14.0,14.0
U0070,university of illinois at urbana-champaign,United States,US,united states,69.0,68.2,83.9,75.7,6.4,77.5,56.3,14.0,81.7,65.0,True,42.0,77.9,69.5,81.5,85.2,85.3,64.0,19.6,23.0,51.0,True,48.0,72.7,67.1,78.9,78.1,50.1,56.2,17.4,22.0,48.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,27.0,27.0
U0073,université paris-saclay,France,FR,france,73.0,67.0,60.7,99.1,99.8,35.0,58.6,35.7,70.8,72.6,True,58.0,74.4,70.9,66.1,82.4,92.4,78.6,13.0,24.0,50.0,True,93.0,63.9,56.7,55.2,79.1,54.6,69.7,14.9,19.0,49.0,True,france,FRA,France,French Republic,FR,Europe & Central Asia,High income: OECD,True,,47.0227584838867,,,,752068.0,True,15.0,15.0
U0076,university of washington,United States,US,united states,76.0,65.3,81.9,55.5,28.6,78.8,32.8,11.0,68.7,66.5,True,25.0,85.3,78.0,83.5,98.2,77.6,73.2,10.1,16.0,56.0,True,26.0,82.1,71.6,82.8,98.9,53.9,63.0,10.8,18.0,55.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,51.0,51.0
U0080,university of birmingham,United Kingdom,GB,united kingdom,80.0,64.1,68.9,69.0,39.0,40.5,89.3,92.6,44.5,96.8,True,101.0,66.6,46.1,49.3,95.5,72.1,95.1,15.2,32.0,58.0,True,108.0,62.6,40.5,46.2,95.2,42.3,92.2,15.0,34.0,58.0,True,united kingdom,GBR,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Europe & Central Asia,High income: OECD,True,,,,,,740276.0,True,-21.0,21.0
U0083,university of leeds,United Kingdom,GB,united kingdom,82.0,63.8,70.5,75.9,36.4,39.8,88.5,82.5,50.9,71.8,True,129.0,63.9,46.1,49.1,87.3,68.8,94.6,14.4,32.0,59.0,True,128.0,59.8,46.0,47.8,79.3,40.5,91.8,14.6,36.0,60.0,True,united kingdom,GBR,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Europe & Central Asia,High income: OECD,True,,,,,,740276.0,True,-47.0,47.0
U0088,university of technology sydney,Australia,AU,australia,88.0,62.4,43.9,55.0,9.8,97.7,86.0,96.6,40.2,96.3,True,148.0,62.3,36.2,43.3,95.9,78.9,94.3,37.4,25.0,50.0,True,133.0,59.3,36.9,42.1,90.5,49.7,96.0,35.1,31.0,50.0,True,australia,AUS,Australia,Commonwealth of Australia,AU,East Asia & Pacific,High income: OECD,True,,,,,,,False,-60.0,60.0
U0089,durham university,United Kingdom,GB,united kingdom,89.0,61.7,59.6,83.9,26.3,40.9,84.9,97.3,39.4,98.6,True,174.0,60.6,43.5,44.5,83.5,65.6,95.8,14.0,32.0,54.0,True,198.0,54.4,40.0,44.6,70.0,39.4,94.3,14.1,35.0,54.0,True,united kingdom,GBR,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Europe & Central Asia,High income: OECD,True,,,,,,740276.0,True,-85.0,85.0
U0098,pohang university of science and technology (postech),South Korea,KR,south korea,98.0,60.3,45.9,80.0,99.9,96.9,2.7,27.6,11.0,36.6,True,149.0,62.2,58.1,51.5,77.2,100.0,40.0,10.5,5.0,53.0,True,163.0,56.9,54.7,51.4,67.7,96.2,31.8,10.0,3.0,53.0,True,korea,KOR,Korea,Republic of Korea,KR,East Asia & Pacific,High income: OECD,True,93.1791381835938,,40.7566299438477,,,,True,-51.0,51.0
U0099,rwth aachen university,Germany,DE,germany,99.0,59.9,46.6,93.7,6.3,71.9,85.5,48.6,33.4,84.8,True,90.0,68.0,54.9,64.8,78.9,100.0,71.2,43.3,29.0,34.0,True,99.0,63.4,56.8,64.5,66.1,93.8,65.1,50.0,28.0,33.0,True,germany,DEU,Germany,Federal Republic of Germany,DE,Europe & Central Asia,High income: OECD,True,68.2655868530273,,47.9433212280273,7.51541996002197,,,True,9.0,9.0
U0109,technical university of denmark,Denmark,DK,denmark,109.0,58.3,33.2,22.1,99.1,84.4,87.7,100.0,43.6,47.9,True,126.0,64.6,50.7,47.4,83.2,99.7,92.2,7.7,28.0,32.0,True,166.0,56.8,40.4,44.9,73.2,86.0,94.0,6.9,26.0,32.0,True,denmark,DNK,Denmark,Kingdom of Denmark,DK,Europe & Central Asia,High income: OECD,True,82.7869720458984,,57.0733299255371,8.46296977996826,,74428.0,True,-17.0,17.0
U0110,university of zurich,Switzerland,CH,switzerland,109.0,58.3,59.9,26.4,92.2,40.1,42.8,100.0,88.6,58.7,True,80.0,69.9,54.8,53.4,91.8,93.7,92.4,14.7,24.0,58.0,True,82.0,65.3,51.5,50.7,87.5,57.6,93.0,13.7,22.0,56.0,True,switzerland,CHE,Switzerland,Switzerland,CH,Europe & Central Asia,High income: OECD,True,57.672191619873,51.3324813842773,49.8023414611816,,,86178.0,True,29.0,29.0
U0112,boston university,United States,US,united states,108.0,58.6,61.9,69.1,38.3,41.3,88.9,34.3,77.2,65.9,True,78.0,70.1,59.6,54.1,94.3,76.4,74.1,10.8,29.0,58.0,True,71.0,67.5,55.9,56.1,92.9,41.1,65.9,10.8,31.0,59.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,30.0,30.0
U0114,georgia institute of technology,United States,US,united states,114.0,57.3,67.1,82.6,20.3,52.8,66.4,21.3,43.1,39.5,True,36.0,80.0,63.4,78.9,94.1,94.6,84.8,28.0,29.0,34.0,True,38.0,76.0,60.2,75.9,91.4,64.9,81.2,24.7,40.0,33.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,78.0,78.0
U0116,university of wisconsin-madison,United States,US,united states,116.0,57.1,77.7,47.8,74.3,23.7,23.6,35.3,81.6,59.6,True,63.0,73.3,68.5,67.5,85.5,79.8,62.8,9.9,13.0,53.0,True,81.0,65.5,59.7,62.9,78.7,48.4,51.8,10.0,14.0,53.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,53.0,53.0
U0117,university of helsinki,Finland,FI,finland,117.0,56.8,62.3,29.1,59.4,49.6,5.7,73.4,90.5,94.5,True,121.0,65.1,48.1,57.6,90.6,69.2,56.7,15.9,5.0,67.0,True,110.0,62.5,45.9,58.5,86.6,39.1,57.0,15.8,5.0,67.0,True,finland,FIN,Finland,Republic of Finland,FI,Europe & Central Asia,High income: OECD,True,87.2897033691406,53.0008697509766,53.594970703125,,,56829.0,True,-4.0,4.0
U0119,university of oslo,Norway,NO,norway,119.0,56.1,55.6,16.0,73.8,55.7,31.7,91.6,80.9,72.1,True,127.0,64.3,45.6,50.6,92.1,72.3,75.6,12.5,15.0,66.0,True,126.0,60.2,40.1,48.5,89.0,44.5,77.0,13.3,15.0,66.0,True,norway,NOR,Norway,Kingdom of Norway,NO,Europe & Central Asia,High income: OECD,True,76.6963806152344,47.5122604370117,57.8713912963867,9.92749977111816,,48212.0,True,-8.0,8.0
U0120,queen mary university of london,United Kingdom,GB,united kingdom,120.0,55.8,48.3,36.9,30.4,62.8,99.2,99.5,21.4,95.6,True,135.0,63.1,37.6,42.6,97.9,73.9,98.1,14.6,45.0,54.0,True,124.0,60.4,34.3,41.3,97.7,44.0,97.1,13.1,46.0,55.0,True,united kingdom,GBR,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Europe & Central Asia,High income: OECD,True,,,,,,740276.0,True,-15.0,15.0
U0125,university of southern california,United States,US,united states,125.0,55.2,50.4,54.5,17.3,58.0,74.1,26.0,92.6,97.7,True,74.0,70.8,59.2,58.8,92.5,74.4,74.3,14.2,24.0,49.0,True,65.0,68.3,58.9,58.6,90.4,43.8,63.7,12.6,22.0,49.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,51.0,51.0
