university_id,university_name,country_name,wb_country_code,wb_region,wb_income_group
U1177,university of new england australia,Australia,AUS,East Asia & Pacific,High income: OECD
U1189,university of the sunshine coast,Australia,AUS,East Asia & Pacific,High income: OECD
U1202,yokohama national university,Japan,JPN,East Asia & Pacific,High income: OECD
U1206,aoyama gakuin university,Japan,JPN,East Asia & Pacific,High income: OECD
U1216,brock university,Canada,CAN,North America,High income: OECD
U1218,chaoyang university of technology,Taiwan,,,
U1221,chittagong university of engineering and technology,Bangladesh,BGD,South Asia,Low income
U1225,daffodil international university,Bangladesh,BGD,South Asia,Low income
U1228,doshisha university,Japan,JPN,East Asia & Pacific,High income: OECD
U1231,feng chia university,Taiwan,,,
U1233,fu jen catholic university,Taiwan,,,
U1246,jahangirnagar university,Bangladesh,BGD,South Asia,Low income
U1251,kenyatta university,Kenya,KEN,Sub-Saharan Africa,Low income
U1253,khulna university,Bangladesh,BGD,South Asia,Low income
U1254,khulna university of engineering and technology,Bangladesh,BGD,South Asia,Low income
U1255,kindai university (kinki university),Japan,JPN,East Asia & Pacific,High income: OECD
U1260,kyoto institute of technology,Japan,JPN,East Asia & Pacific,High income: OECD
U1263,meiji university,Japan,JPN,East Asia & Pacific,High income: OECD
U1267,nagoya institute of technology (nit),Japan,JPN,East Asia & Pacific,High income: OECD
U1268,national dong hwa university,Taiwan,,,
U1270,national taipei university,Taiwan,,,
U1271,national taiwan ocean university,Taiwan,,,
U1282,rajshahi university,Bangladesh,BGD,South Asia,Low income
U1283,rikkyo university,Japan,JPN,East Asia & Pacific,High income: OECD
U1284,saitama university,Japan,JPN,East Asia & Pacific,High income: OECD
U1290,shahjalal university of science and technology,Bangladesh,BGD,South Asia,Low income
U1299,tamkang university,Taiwan,,,
U1309,tokai university,Japan,JPN,East Asia & Pacific,High income: OECD
U1313,tunghai university,Taiwan,,,
U1321,universidad de panama,Panama,PAN,Latin America & Caribbean,Upper middle income
U1365,university of babylon,Iraq,IRQ,Middle East & North Africa,Upper middle income
U1366,university of basrah,Iraq,IRQ,Middle East & North Africa,Upper middle income
U1370,university of kufa,Iraq,IRQ,Middle East & North Africa,Upper middle income
U1394,vancouver island university,Canada,CAN,North America,High income: OECD
U1397,yamaguchi university,Japan,JPN,East Asia & Pacific,High income: OECD
U1400,yuan ze university,Taiwan,,,
U1408,east west university,Bangladesh,BGD,South Asia,Low income
U1414,international university of business agriculture and technology,Bangladesh,BGD,South Asia,Low income
U1417,kwansei gakuin university,Japan,JPN,East Asia & Pacific,High income: OECD
U1433,shibaura institute of technology,Japan,JPN,East Asia & Pacific,High income: OECD
U1435,soochow university (taiwan),Taiwan,,,
U1437,stamford university bangladesh,Bangladesh,BGD,South Asia,Low income
U1440,"the university of notre dame, australia",Australia,AUS,East Asia & Pacific,High income: OECD
U1442,united international university,Bangladesh,BGD,South Asia,Low income
U1501,university of san carlos,Philippines,PHL,East Asia & Pacific,Lower middle income
U1517,University of Melbourne,Australia,AUS,East Asia & Pacific,High income: OECD
U1526,Australian National University,Australia,AUS,East Asia & Pacific,High income: OECD
U1532,UNSW Sydney,Australia,AUS,East Asia & Pacific,High income: OECD
U1543,University of Adelaide,Australia,AUS,East Asia & Pacific,High income: OECD
U1566,Tokyo Institute of Technology,Japan,JPN,East Asia & Pacific,High income: OECD
U1571,Queensland University of Technology,Australia,AUS,East Asia & Pacific,High income: OECD
U1582,University of Newcastle,Australia,AUS,East Asia & Pacific,High income: OECD
U1602,Queen’s University,Canada,CAN,North America,High income: OECD
U1616,"China Medical University, Taiwan",Taiwan,,,
U1646,University of Victoria,Canada,CAN,North America,High income: OECD
U1647,"Asia University, Taiwan",Taiwan,,,
U1680,Taipei Medical University,Taiwan,,,
U1693,Central Queensland University,Australia,AUS,East Asia & Pacific,High income: OECD
U1707,National Yunlin University of Science and Technology,Taiwan,,,
U1730,The University of Aizu,Japan,JPN,East Asia & Pacific,High income: OECD
U1754,Federation University Australia,Australia,AUS,East Asia & Pacific,High income: OECD
U1759,Harokopio University of Athens,Greece,GRC,Europe & Central Asia,High income: OECD
U1773,Juntendo University,Japan,JPN,East Asia & Pacific,High income: OECD
U1797,Near East University,Northern Cyprus,,,
U1799,University of New Brunswick UNB,Canada,CAN,North America,High income: OECD
U1805,Ontario Tech University,Canada,CAN,North America,High income: OECD
U1817,Reykjavík University,Iceland,ISL,Europe & Central Asia,High income: OECD
U1846,University of the Aegean,Greece,GRC,Europe & Central Asia,High income: OECD
U1873,Covenant University,Nigeria,NGA,Sub-Saharan Africa,Lower middle income
U1907,Kaohsiung Medical University,Taiwan,,,
