RANK_2025,RANK_2024,Institution_Name,Location,Region,SIZE,FOCUS,RES.,STATUS,Academic_Reputation_Score,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Score,Faculty_Student_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_Rank,International_Students_Score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,Overall_Score,source,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,url,nid,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,disabled,website_url,University Rank,Name of University,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Universitas Sumatera Utara,9.7–22.7,18610.0,16.5,1663.0,10.5,1593.0,26.6,1524.0,17.1,1749.0,27.6,1598.0,master_account,0.0,/world-university-rankings/universitas-sumatera-utara,704789.0,Indonesia,"35,761",19.2,2%,54 : 46,Universitas Sumatera Utara,"Sociology,General Engineering,Languages, Literature & Linguistics,Art, Performing Arts & Design,Medicine & Dentistry,Physics & Astronomy,Business & Management,Chemical Engineering,Other Health,Civil Engineering,Accounting & Finance,Communication & Media Studies,Economics & Econometrics,History, Philosophy & Theology,Agriculture & Forestry,Architecture,Politics & International Studies (incl Development Studies),Chemistry,Computer Science,Law,Biological Sciences,Electrical & Electronic Engineering,Mathematics & Statistics,Mechanical & Aerospace Engineering,Psychology",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Széchenyi István University,9.7–22.7,18620.0,19.1,1460.0,11.7,1446.0,23.2,1605.0,17.4,1717.0,29.6,1514.0,master_account,0.0,/world-university-rankings/szechenyi-istvan-university,662104.0,Hungary,"9,573",14.8,5%,45 : 55,Széchenyi István University,"Architecture,Law,Business & Management,Other Health,Sport Science,Electrical & Electronic Engineering,Accounting & Finance,General Engineering,Education,Civil Engineering,Agriculture & Forestry,Art, Performing Arts & Design,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Sociology,Computer Science",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Tamil Nadu Agricultural University,9.7–22.7,18630.0,29.5,722.0,11.0,1529.0,14.0,1783.0,26.7,1274.0,17.0,1903.0,master_account,0.0,/world-university-rankings/tamil-nadu-agricultural-university,621501.0,India,"7,000",9.3,0%,61 : 39,Tamil Nadu Agricultural University,Agriculture & Forestry,False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Technical University of Liberec,9.7–22.7,18640.0,21.0,1302.0,18.9,872.0,18.2,1711.0,34.5,1102.0,44.2,983.0,master_account,0.0,/world-university-rankings/technical-university-liberec,131345.0,Czech Republic,"5,303",13.3,10%,54 : 46,Technical University of Liberec,"Art, Performing Arts & Design,Civil Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,General Engineering,Education,History, Philosophy & Theology,Economics & Econometrics,Computer Science,Chemistry,Other Health,Business & Management,Chemical Engineering,Architecture,Physics & Astronomy",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Technical University of Loja,9.7–22.7,18650.0,10.6,1898.0,8.4,1861.0,11.2,1836.0,15.8,1891.0,48.2,862.0,master_account,0.0,/world-university-rankings/technical-university-loja,639068.0,Ecuador,"57,924",29.3,1%,56 : 44,Technical University of Loja,"Economics & Econometrics,Other Health,Mathematics & Statistics,Sport Science,Law,Medicine & Dentistry,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Biological Sciences,General Engineering,Accounting & Finance,Art, Performing Arts & Design,Chemistry,Computer Science,Communication & Media Studies,History, Philosophy & Theology,Business & Management,Agriculture & Forestry,Languages, Literature & Linguistics,Psychology,Chemical Engineering,Education,Physics & Astronomy,Architecture",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Technical University of Sofia,9.7–22.7,18660.0,23.2,1142.0,11.1,1518.0,24.2,1581.0,25.0,1338.0,26.8,1627.0,master_account,0.0,/world-university-rankings/technical-university-sofia-0,708377.0,Bulgaria,"10,318",9.7,9%,21 : 79,Technical University of Sofia,"Computer Science,Business & Management,Civil Engineering,Education,Mathematics & Statistics,General Engineering,Physics & Astronomy,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Technological University of Pereira,9.7–22.7,18670.0,15.0,1753.0,4.6,1904.0,14.8,1770.0,19.2,1577.0,32.4,1409.0,master_account,0.0,/world-university-rankings/technological-university-pereira,621693.0,Colombia,"17,877",17.8,0%,44 : 56,Technological University of Pereira,"Civil Engineering,Accounting & Finance,Other Health,Physics & Astronomy,Computer Science,Agriculture & Forestry,Business & Management,History, Philosophy & Theology,Biological Sciences,Communication & Media Studies,Education,Medicine & Dentistry,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Veterinary Science,Economics & Econometrics,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Sport Science,General Engineering,Mathematics & Statistics,Chemistry",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Universidade Tecnológica Federal do Paraná (UTFPR),9.7–22.7,18680.0,16.7,1655.0,10.2,1629.0,22.3,1630.0,42.3,933.0,25.3,1693.0,master_account,0.0,/world-university-rankings/universidade-tecnologica-federal-do-parana-utfpr,623778.0,Brazil,"39,007",15.3,1%,30 : 70,Universidade Tecnológica Federal do Paraná (UTFPR),"Chemical Engineering,Communication & Media Studies,Electrical & Electronic Engineering,Civil Engineering,Education,Agriculture & Forestry,Art, Performing Arts & Design,Chemistry,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,General Engineering,Business & Management,Accounting & Finance,Architecture,Veterinary Science,Sport Science,Biological Sciences,Languages, Literature & Linguistics,Computer Science,Physics & Astronomy",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Teikyo University,9.7–22.7,18690.0,17.4,1603.0,12.7,1340.0,33.9,1355.0,37.2,1040.0,26.7,1632.0,master_account,0.0,/world-university-rankings/teikyo-university,609231.0,Japan,"23,162",16.0,5%,36 : 64,Teikyo University,"Medicine & Dentistry,History, Philosophy & Theology,Other Health,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Education,Sport Science,Sociology,Psychology,Accounting & Finance,Geography,Law,Communication & Media Studies,General Engineering,Archaeology,Languages, Literature & Linguistics,Computer Science,Economics & Econometrics,Biological Sciences,Politics & International Studies (incl Development Studies),Business & Management",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Universiti Teknologi MARA,9.7–22.7,18700.0,20.2,1362.0,14.7,1150.0,28.6,1481.0,23.9,1372.0,24.2,1732.0,master_account,0.0,/world-university-rankings/universiti-teknologi-mara,131773.0,Malaysia,"60,755",16.3,1%,67 : 33,Universiti Teknologi MARA,"Education,Business & Management,Politics & International Studies (incl Development Studies),Architecture,Accounting & Finance,Biological Sciences,Electrical & Electronic Engineering,Economics & Econometrics,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Computer Science,Physics & Astronomy,Sport Science,Sociology,General Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Geography,Communication & Media Studies,Chemistry,Chemical Engineering,Veterinary Science,Medicine & Dentistry,Languages, Literature & Linguistics,Law,Other Health,Mathematics & Statistics,Agriculture & Forestry,Psychology,Civil Engineering",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Telkom University,9.7–22.7,18710.0,15.0,1754.0,11.0,1530.0,28.5,1485.0,21.3,1468.0,38.1,1189.0,master_account,0.0,/world-university-rankings/telkom-university,690040.0,Indonesia,"18,956",16.8,3%,42 : 58,Telkom University,"General Engineering,Art, Performing Arts & Design,Computer Science,Electrical & Electronic Engineering,Communication & Media Studies,Business & Management,Mechanical & Aerospace Engineering,Accounting & Finance,Architecture",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Temuco Catholic University,9.7–22.7,18720.0,19.8,1395.0,10.5,1594.0,12.7,1805.0,23.9,1373.0,43.1,1018.0,master_account,0.0,/world-university-rankings/temuco-catholic-university,621696.0,Chile,"10,775",11.1,0%,61 : 39,Temuco Catholic University,"Other Health,Sociology,Veterinary Science,Art, Performing Arts & Design,Electrical & Electronic Engineering,Business & Management,Architecture,Biological Sciences,Agriculture & Forestry,Law,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,History, Philosophy & Theology,Civil Engineering,Psychology,Computer Science,Mathematics & Statistics,Archaeology,Politics & International Studies (incl Development Studies),General Engineering,Education",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Tokat Gaziosmanpaşa University,9.7–22.7,18730.0,17.1,1619.0,8.6,1848.0,33.7,1359.0,17.5,1705.0,32.1,1425.0,master_account,0.0,/world-university-rankings/tokat-gaziosmanpasa-university,624285.0,Turkey,"22,547",15.2,9%,45 : 55,Tokat Gaziosmanpaşa University,"Art, Performing Arts & Design,Computer Science,Mechanical & Aerospace Engineering,Geography,Agriculture & Forestry,Education,Electrical & Electronic Engineering,Law,Other Health,Physics & Astronomy,Languages, Literature & Linguistics,Sport Science,Economics & Econometrics,Civil Engineering,Politics & International Studies (incl Development Studies),Biological Sciences,Accounting & Finance,History, Philosophy & Theology,Mathematics & Statistics,Business & Management,Medicine & Dentistry,Chemistry",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Tokyo University of Agriculture,9.7–22.7,18740.0,18.1,1545.0,9.1,1788.0,18.9,1704.0,29.8,1189.0,23.1,1776.0,master_account,0.0,/world-university-rankings/tokyo-university-agriculture,609564.0,Japan,"13,004",32.2,2%,43 : 57,Tokyo University of Agriculture,"Business & Management,Biological Sciences,Sociology,Geography,Politics & International Studies (incl Development Studies),Civil Engineering,Chemistry,Economics & Econometrics,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Tokyo City University,9.7–22.7,18750.0,17.6,1590.0,12.0,1412.0,13.9,1785.0,43.6,913.0,28.6,1557.0,master_account,0.0,/world-university-rankings/tokyo-city-university,587859.0,Japan,"7,479",26.8,2%,23 : 77,Tokyo City University,"Business & Management,Agriculture & Forestry,Sociology,General Engineering,Other Health,Electrical & Electronic Engineering,Geography,Mathematics & Statistics,Mechanical & Aerospace Engineering,Computer Science,Chemical Engineering,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Chemistry,Communication & Media Studies,Physics & Astronomy,Psychology,Education,Architecture,Civil Engineering",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Tokyo Denki University,9.7–22.7,18760.0,14.9,1763.0,9.0,1805.0,12.1,1820.0,56.4,713.0,21.9,1812.0,master_account,0.0,/world-university-rankings/tokyo-denki-university,589262.0,Japan,"9,837",28.7,3%,13 : 87,Tokyo Denki University,"Civil Engineering,General Engineering,Chemical Engineering,Electrical & Electronic Engineering,Computer Science,Mechanical & Aerospace Engineering",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Tomsk State University of Control Systems and Radioelectronics,9.7–22.7,18770.0,22.2,1216.0,11.0,1531.0,18.9,1705.0,40.0,979.0,38.5,1171.0,master_account,0.0,/world-university-rankings/tomsk-state-university-control-systems-and-radioelectronics,131380.0,Russian Federation,"6,452",12.1,14%,29 : 71,Tomsk State University of Control Systems and Radioelectronics,"Sociology,Electrical & Electronic Engineering,Business & Management,Economics & Econometrics,Law,General Engineering,Accounting & Finance,Physics & Astronomy,Mathematics & Statistics",False,False,True,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Tottori University,9.7–22.7,18780.0,28.8,755.0,13.4,1274.0,21.3,1654.0,46.7,870.0,26.6,1636.0,master_account,0.0,/world-university-rankings/tottori-university,131538.0,Japan,"5,998",8.0,2%,38 : 62,Tottori University,"Sport Science,Law,Psychology,History, Philosophy & Theology,Veterinary Science,Computer Science,Geography,Archaeology,Mathematics & Statistics,Electrical & Electronic Engineering,Biological Sciences,Accounting & Finance,Education,Physics & Astronomy,Other Health,Civil Engineering,Languages, Literature & Linguistics,General Engineering,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Sociology,Architecture,Communication & Media Studies,Medicine & Dentistry,Chemical Engineering,Economics & Econometrics,Chemistry,Mechanical & Aerospace Engineering,Business & Management,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Toyama Prefectural University,9.7–22.7,18790.0,25.0,1008.0,9.5,1720.0,9.5,1861.0,27.0,1260.0,21.8,1816.0,master_account,0.0,/world-university-rankings/toyama-prefectural-university,609381.0,Japan,"1,864",9.5,2%,31 : 69,Toyama Prefectural University,"Civil Engineering,Physics & Astronomy,Other Health,Computer Science,General Engineering,Electrical & Electronic Engineering,Mathematics & Statistics,Mechanical & Aerospace Engineering,Chemical Engineering,Chemistry,Biological Sciences",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Toyo University,9.7–22.7,18800.0,14.4,1784.0,9.2,1770.0,8.7,1872.0,19.6,1556.0,36.0,1280.0,master_account,0.0,/world-university-rankings/toyo-university,131682.0,Japan,"30,662",23.5,5%,42 : 58,Toyo University,"Sport Science,Law,Chemistry,Archaeology,Civil Engineering,History, Philosophy & Theology,General Engineering,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Business & Management,Agriculture & Forestry,Computer Science,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Accounting & Finance,Geography,Electrical & Electronic Engineering,Other Health,Mathematics & Statistics,Chemical Engineering,Art, Performing Arts & Design,Physics & Astronomy,Communication & Media Studies,Sociology,Architecture,Education,Economics & Econometrics,Biological Sciences,Psychology",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Tula State University,9.7–22.7,18810.0,11.6,1886.0,9.0,1806.0,5.1,1900.0,17.6,1695.0,19.0,1885.0,master_account,0.0,/world-university-rankings/tula-state-university,624210.0,Russian Federation,"18,428",35.0,3%,60 : 40,Tula State University,"Civil Engineering,Education,Computer Science,Physics & Astronomy,Psychology,History, Philosophy & Theology,General Engineering,Sociology,Art, Performing Arts & Design,Biological Sciences,Accounting & Finance,Other Health,Chemistry,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Architecture,Communication & Media Studies,Economics & Econometrics,Medicine & Dentistry,Mathematics & Statistics,Law,Languages, Literature & Linguistics,Chemical Engineering,Business & Management,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies)",False,False,True,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Ufa University of Science and Technology,9.7–22.7,18820.0,19.3,1447.0,10.2,1630.0,8.1,1880.0,25.6,1313.0,22.7,1783.0,master_account,0.0,/world-university-rankings/ufa-university-science-and-technology,724954.0,Russian Federation,"24,187",12.6,5%,37 : 63,Ufa University of Science and Technology,"History, Philosophy & Theology,Chemistry,Mechanical & Aerospace Engineering,Sociology,Computer Science,Communication & Media Studies,Biological Sciences,Politics & International Studies (incl Development Studies),Archaeology,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,General Engineering,Geography,Mathematics & Statistics,Psychology,Languages, Literature & Linguistics,Chemical Engineering,Law,Other Health,Physics & Astronomy,Accounting & Finance,Electrical & Electronic Engineering,Education,Business & Management",False,False,True,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Ufa State Petroleum Technological University,9.7–22.7,18830.0,23.0,1155.0,8.0,1881.0,17.1,1730.0,16.7,1788.0,29.7,1509.0,master_account,0.0,/world-university-rankings/ufa-state-petroleum-technological-university,587820.0,Russian Federation,"12,971",8.2,11%,38 : 62,Ufa State Petroleum Technological University,"Computer Science,Communication & Media Studies,General Engineering,Chemical Engineering,Electrical & Electronic Engineering,Business & Management,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Economics & Econometrics,Accounting & Finance,Civil Engineering",False,False,True,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Universiti Malaysia Sabah (UMS),9.7–22.7,18840.0,17.8,1574.0,14.3,1183.0,25.0,1563.0,21.8,1449.0,41.8,1061.0,master_account,0.0,/world-university-rankings/universiti-malaysia-sabah-ums,625659.0,Malaysia,"17,316",16.6,4%,66 : 34,Universiti Malaysia Sabah (UMS),"Art, Performing Arts & Design,Agriculture & Forestry,Sociology,Medicine & Dentistry,Communication & Media Studies,Mechanical & Aerospace Engineering,Veterinary Science,Geography,Civil Engineering,Sport Science,Education,Languages, Literature & Linguistics,Biological Sciences,Psychology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Business & Management,General Engineering,Chemistry,Other Health,Chemical Engineering,Mathematics & Statistics,Accounting & Finance,Computer Science,Physics & Astronomy",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Uşak University,9.7–22.7,18850.0,11.4,1891.0,10.4,1604.0,14.3,1780.0,19.0,1593.0,32.1,1426.0,master_account,0.0,/world-university-rankings/usak-university,689080.0,Turkey,"19,043",27.4,11%,49 : 51,Uşak University,"Other Health,Computer Science,Languages, Literature & Linguistics,Education,Business & Management,Politics & International Studies (incl Development Studies),Sociology,Sport Science,Civil Engineering,History, Philosophy & Theology,General Engineering,Economics & Econometrics,Medicine & Dentistry,Geography,Agriculture & Forestry,Art, Performing Arts & Design,Biological Sciences,Mathematics & Statistics,Archaeology,Accounting & Finance,Psychology,Architecture,Electrical & Electronic Engineering,Communication & Media Studies",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Utsunomiya University,9.7–22.7,18860.0,20.4,1345.0,12.6,1353.0,9.1,1866.0,27.7,1246.0,29.1,1538.0,master_account,0.0,/world-university-rankings/utsunomiya-university,589184.0,Japan,"4,805",13.7,4%,37 : 63,Utsunomiya University,"General Engineering,Art, Performing Arts & Design,Biological Sciences,Psychology,Civil Engineering,Mathematics & Statistics,Law,Chemical Engineering,Communication & Media Studies,Architecture,Chemistry,Education,Computer Science,Agriculture & Forestry,Sociology,Languages, Literature & Linguistics,Sport Science,Mechanical & Aerospace Engineering,Physics & Astronomy,Geography,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Politics & International Studies (incl Development Studies)",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Uzhhorod National University,9.7–22.7,18870.0,22.2,1217.0,8.9,1817.0,4.7,1901.0,16.2,1844.0,45.2,956.0,master_account,0.0,/world-university-rankings/uzhhorod-national-university,131679.0,Ukraine,"14,460",11.3,13%,53 : 47,Uzhhorod National University,"Archaeology,Business & Management,Electrical & Electronic Engineering,Physics & Astronomy,Economics & Econometrics,Law,Sociology,Chemistry,General Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,Other Health,Civil Engineering,Communication & Media Studies,Accounting & Finance,Computer Science,Agriculture & Forestry,Mechanical & Aerospace Engineering,Geography,Mathematics & Statistics,Languages, Literature & Linguistics,History, Philosophy & Theology,Sport Science,Education,Chemical Engineering,Biological Sciences,Medicine & Dentistry,Politics & International Studies (incl Development Studies)",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Universidad del Valle,9.7–22.7,18880.0,23.2,1143.0,8.7,1836.0,12.2,1817.0,17.9,1678.0,40.6,1100.0,master_account,0.0,/world-university-rankings/universidad-del-valle,623592.0,Colombia,"33,442",8.9,1%,50 : 50,Universidad del Valle,"History, Philosophy & Theology,Mechanical & Aerospace Engineering,Communication & Media Studies,Sport Science,Politics & International Studies (incl Development Studies),Other Health,Mathematics & Statistics,Accounting & Finance,Architecture,Chemical Engineering,Geography,Medicine & Dentistry,Biological Sciences,Sociology,Computer Science,Agriculture & Forestry,Business & Management,General Engineering,Chemistry,Economics & Econometrics,Languages, Literature & Linguistics,Physics & Astronomy,Psychology,Art, Performing Arts & Design,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Education",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,University of Valparaíso,9.7–22.7,18890.0,15.4,1736.0,12.2,1394.0,22.0,1638.0,18.7,1614.0,47.8,872.0,master_account,0.0,/world-university-rankings/universidad-de-valparaiso,131453.0,Chile,"16,627",19.0,2%,58 : 42,University of Valparaíso,"Biological Sciences,Psychology,General Engineering,Physics & Astronomy,Sociology,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Computer Science,Business & Management,Medicine & Dentistry,Education,Other Health,Law,Mathematics & Statistics,Architecture,Chemistry,Civil Engineering,Accounting & Finance",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Van Yüzüncü Yil University,9.7–22.7,18900.0,21.7,1254.0,22.8,696.0,19.3,1695.0,45.4,889.0,21.4,1830.0,master_account,0.0,/world-university-rankings/van-yuzuncu-yil-university,624651.0,Turkey,"20,317",17.5,3%,47 : 53,Van Yüzüncü Yil University,"Archaeology,Veterinary Science,Law,History, Philosophy & Theology,Civil Engineering,Geography,Medicine & Dentistry,Sport Science,Accounting & Finance,General Engineering,Mathematics & Statistics,Psychology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Architecture,Mechanical & Aerospace Engineering,Physics & Astronomy,Education,Languages, Literature & Linguistics,Chemical Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Agriculture & Forestry,Sociology,Other Health,Biological Sciences,Communication & Media Studies,Computer Science,Chemistry,Economics & Econometrics",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Instituto Politécnico de Viana do Castelo,9.7–22.7,18910.0,13.0,1847.0,9.6,1704.0,35.4,1316.0,18.7,1615.0,44.1,986.0,master_account,0.0,/world-university-rankings/instituto-politecnico-de-viana-do-castelo,661639.0,Portugal,"5,364",19.8,10%,49 : 51,Instituto Politécnico de Viana do Castelo,"Electrical & Electronic Engineering,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Veterinary Science,Art, Performing Arts & Design,Biological Sciences,Computer Science,Education,Civil Engineering,Mechanical & Aerospace Engineering,Sociology,Agriculture & Forestry,Other Health,Business & Management,Sport Science",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Vietnam National University (Ho Chi Minh City),9.7–22.7,18920.0,14.6,1775.0,11.2,1506.0,26.1,1541.0,26.2,1291.0,36.8,1253.0,master_account,0.0,/world-university-rankings/vietnam-national-university-ho-chi-minh-city,625911.0,Vietnam,"83,599",24.5,1%,46 : 54,Vietnam National University (Ho Chi Minh City) VNUHCM VNU-HCM VNU HCM,"Computer Science,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Sociology,Medicine & Dentistry,Civil Engineering,Geography,Economics & Econometrics,Other Health,Communication & Media Studies,Languages, Literature & Linguistics,General Engineering,Sport Science,Psychology,Art, Performing Arts & Design,Chemical Engineering,Physics & Astronomy,Business & Management,Architecture,Electrical & Electronic Engineering,Chemistry,Education,History, Philosophy & Theology,Veterinary Science,Law,Biological Sciences,Politics & International Studies (incl Development Studies),Archaeology,Mechanical & Aerospace Engineering,Mathematics & Statistics,Accounting & Finance",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,"Vignan’s Foundation for Science, Technology and Research",9.7–22.7,18930.0,22.2,1219.0,7.6,1895.0,36.0,1301.0,16.7,1789.0,21.1,1839.0,master_account,0.0,/world-university-rankings/vignans-foundation-science-technology-and-research,622230.0,India,"7,111",11.3,1%,47 : 53,"Vignan’s Foundation for Science, Technology and Research","Computer Science,Law,Electrical & Electronic Engineering,Physics & Astronomy,Agriculture & Forestry,Civil Engineering,Chemistry,Mechanical & Aerospace Engineering,Business & Management,Chemical Engineering,Mathematics & Statistics,Biological Sciences",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,V.I. Vernadsky Crimean Federal University (Vernadsky CFU),9.7–22.7,18940.0,19.0,1469.0,9.9,1663.0,7.6,1886.0,16.6,1803.0,27.2,1609.0,master_account,0.0,/world-university-rankings/vi-vernadsky-crimean-federal-university-vernadsky-cfu,131801.0,Ukraine,"21,485",12.5,9%,55 : 45,V.I. Vernadsky Crimean Federal University (Vernadsky CFU),"Geography,Business & Management,Physics & Astronomy,Psychology,Economics & Econometrics,Mathematics & Statistics,Architecture,Electrical & Electronic Engineering,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,General Engineering,Biological Sciences,Chemistry,Medicine & Dentistry,Education,Veterinary Science,Civil Engineering,Law,Languages, Literature & Linguistics,Archaeology,Other Health,Art, Performing Arts & Design,Computer Science,Sport Science,Accounting & Finance,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Sociology",False,False,True,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Volgograd State Technical University,9.7–22.7,18950.0,17.8,1575.0,9.3,1754.0,22.9,1616.0,18.5,1630.0,27.9,1583.0,master_account,0.0,/world-university-rankings/volgograd-state-technical-university,587679.0,Russian Federation,"12,884",13.9,10%,30 : 70,Volgograd State Technical University,"Architecture,Economics & Econometrics,Civil Engineering,Computer Science,General Engineering,Mechanical & Aerospace Engineering,Accounting & Finance,Chemical Engineering,Electrical & Electronic Engineering,Art, Performing Arts & Design,Business & Management,Physics & Astronomy",False,False,True,,,,,,,,,,,,,
