university_id,university_name,country_id,country,region,source,ranking_year,global_rank,normalized_rank,ranking_score,rank_band,overall_score,academic_reputation_score,employer_reputation_score,faculty_student_score,student_staff_ratio,citations_per_faculty_score,citations_score,teaching_score,research_score,industry_income_score,international_outlook_score,international_faculty_score,international_students_score,international_student_percentage,international_research_network_score,employment_outcomes_score,sustainability_score,number_of_students,female_percentage
U2721,university of california davis,C127,United States,Americas,QS,2025,130,130.0,91.4,101-250,54.4,63.0,48.0,23.5,,52.5,,,,,,72.7,51.3,,90.6,22.8,76.1,,
U2677,university of basel,C114,Switzerland,Europe,QS,2025,131,131.0,91.33,101-250,54.3,26.6,13.5,61.4,,94.5,,,,,,100.0,85.8,,89.4,69.9,44.6,,
U1798,sapienza university of rome,C053,Italy,Europe,QS,2025,132,132.0,91.27,101-250,54.2,80.7,48.5,5.0,,45.3,,,,,,3.1,8.0,,97.1,88.0,72.3,,
U0095,alma mater studiorum university of bologna,C053,Italy,Europe,QS,2025,133,133.0,91.2,101-250,54.1,80.8,47.8,3.7,,46.6,,,,,,14.5,12.3,,96.0,53.8,88.4,,
U1236,macquarie university,C006,Australia,Oceania,QS,2025,133,133.0,91.2,101-250,54.1,33.4,39.2,9.1,,79.6,,,,,,99.9,91.6,,90.9,54.1,95.0,,
U3126,university of science and technology of china,C022,China,Asia,QS,2025,133,133.0,91.2,101-250,54.1,50.0,23.7,94.7,,97.7,,,,,,11.6,5.1,,75.7,31.9,11.9,,
U0568,eindhoven university of technology,C081,Netherlands,Europe,QS,2025,136,136.0,91.0,101-250,54.0,28.7,72.1,35.7,,79.3,,,,,,100.0,82.7,,70.8,24.2,29.8,,
U3263,university of vienna,C007,Austria,Europe,QS,2025,137,137.0,90.93,101-250,53.9,70.9,40.4,23.2,,13.0,,,,,,100.0,92.0,,96.0,89.7,60.9,,
U2590,universiti kebangsaan malaysia ukm,C070,Malaysia,Asia,QS,2025,138,138.0,90.87,101-250,53.8,61.7,66.4,80.4,,14.1,,,,,,45.7,78.8,,83.7,22.5,64.4,,
U0362,chalmers university of technology,C113,Sweden,Europe,QS,2025,139,139.0,90.8,101-250,53.7,26.3,50.4,50.5,,77.4,,,,,,100.0,63.1,,77.0,31.7,87.0,,
U2278,universidad de chile,C021,Chile,Americas,QS,2025,139,139.0,90.8,101-250,53.7,82.8,90.0,8.0,,11.2,,,,,,8.5,4.5,,77.1,96.1,64.1,,
U1176,lancaster university,C126,United Kingdom,Europe,QS,2025,141,141.0,90.67,101-250,53.6,38.9,36.7,27.7,,69.6,,,,,,93.3,92.3,,89.7,28.8,96.2,,
U1190,leiden university,C081,Netherlands,Europe,QS,2025,141,141.0,90.67,101-250,53.6,68.4,32.9,21.3,,54.5,,,,,,85.0,51.7,,95.2,48.8,25.5,,
