country_code,year,indicator,value
IRN,2015,tertiary_pupil_teacher_ratio,15.25767993927
EGY,2015,tertiary_pupil_teacher_ratio,
LUX,2015,tertiary_pupil_teacher_ratio,
EST,2015,tertiary_pupil_teacher_ratio,
PER,2015,tertiary_pupil_teacher_ratio,
OMN,2015,tertiary_pupil_teacher_ratio,16.1571807861328
JOR,2015,tertiary_pupil_teacher_ratio,22.4531593322754
BRN,2015,tertiary_pupil_teacher_ratio,11.9144697189331
BLR,2015,tertiary_pupil_teacher_ratio,14.5663003921509
CYP,2015,tertiary_pupil_teacher_ratio,12.6544103622437
LTU,2015,tertiary_pupil_teacher_ratio,10.7555599212646
VNM,2015,tertiary_pupil_teacher_ratio,27.051570892334
CRI,2015,tertiary_pupil_teacher_ratio,
BHR,2015,tertiary_pupil_teacher_ratio,15.436900138855
UZB,2015,tertiary_pupil_teacher_ratio,10.7137098312378
ISL,2015,tertiary_pupil_teacher_ratio,
BGD,2015,tertiary_pupil_teacher_ratio,
HUN,2015,tertiary_pupil_teacher_ratio,14.6224298477173
SVN,2015,tertiary_pupil_teacher_ratio,
KWT,2015,tertiary_pupil_teacher_ratio,
HRV,2015,tertiary_pupil_teacher_ratio,10.0503702163696
SVK,2015,tertiary_pupil_teacher_ratio,
BGR,2015,tertiary_pupil_teacher_ratio,
URY,2015,tertiary_pupil_teacher_ratio,7.08838987350464
VEN,2015,tertiary_pupil_teacher_ratio,
CUB,2015,tertiary_pupil_teacher_ratio,4.59683990478516
UKR,2015,tertiary_pupil_teacher_ratio,10.5358104705811
LVA,2015,tertiary_pupil_teacher_ratio,12.5612096786499
SRB,2015,tertiary_pupil_teacher_ratio,22.5157909393311
MLT,2015,tertiary_pupil_teacher_ratio,7.95593023300171
ETH,2015,tertiary_pupil_teacher_ratio,
TUN,2015,tertiary_pupil_teacher_ratio,
ROU,2015,tertiary_pupil_teacher_ratio,19.5035591125488
GEO,2015,tertiary_pupil_teacher_ratio,7.08954000473022
ECU,2015,tertiary_pupil_teacher_ratio,
IRQ,2015,tertiary_pupil_teacher_ratio,
PSE,2015,tertiary_pupil_teacher_ratio,26.140510559082
KGZ,2015,tertiary_pupil_teacher_ratio,12.8191499710083
GHA,2015,tertiary_pupil_teacher_ratio,28.9271202087402
UGA,2015,tertiary_pupil_teacher_ratio,
KEN,2015,tertiary_pupil_teacher_ratio,
ARM,2015,tertiary_pupil_teacher_ratio,6.86901998519897
AZE,2015,tertiary_pupil_teacher_ratio,9.70718955993652
LKA,2015,tertiary_pupil_teacher_ratio,
PRI,2015,tertiary_pupil_teacher_ratio,
PRY,2015,tertiary_pupil_teacher_ratio,
PAN,2015,tertiary_pupil_teacher_ratio,
MAR,2015,tertiary_pupil_teacher_ratio,
NGA,2015,tertiary_pupil_teacher_ratio,
SDN,2015,tertiary_pupil_teacher_ratio,
BIH,2015,tertiary_pupil_teacher_ratio,11.3218898773193
SYR,2015,tertiary_pupil_teacher_ratio,64.4064178466797
DOM,2015,tertiary_pupil_teacher_ratio,25.5251693725586
GTM,2015,tertiary_pupil_teacher_ratio,
BOL,2015,tertiary_pupil_teacher_ratio,
HND,2015,tertiary_pupil_teacher_ratio,19.9702701568604
DZA,2015,tertiary_pupil_teacher_ratio,24.0474796295166
TZA,2015,tertiary_pupil_teacher_ratio,
FJI,2015,tertiary_pupil_teacher_ratio,
JAM,2015,tertiary_pupil_teacher_ratio,
BWA,2015,tertiary_pupil_teacher_ratio,
MOZ,2015,tertiary_pupil_teacher_ratio,
MUS,2015,tertiary_pupil_teacher_ratio,
NAM,2015,tertiary_pupil_teacher_ratio,
NPL,2015,tertiary_pupil_teacher_ratio,
ZMB,2015,tertiary_pupil_teacher_ratio,
ZWE,2015,tertiary_pupil_teacher_ratio,17.9308300018311
MNE,2015,tertiary_pupil_teacher_ratio,
XKX,2015,tertiary_pupil_teacher_ratio,
MKD,2015,tertiary_pupil_teacher_ratio,
SOM,2015,tertiary_pupil_teacher_ratio,
RWA,2015,tertiary_pupil_teacher_ratio,23.8808002471924
YEM,2015,tertiary_pupil_teacher_ratio,
LBY,2015,tertiary_pupil_teacher_ratio,
TCA,2015,tertiary_pupil_teacher_ratio,
TKM,2015,tertiary_pupil_teacher_ratio,
SEN,2015,tertiary_pupil_teacher_ratio,25.7836894989014
MWI,2015,tertiary_pupil_teacher_ratio,
KHM,2015,tertiary_pupil_teacher_ratio,17.7497997283936
AGO,2015,tertiary_pupil_teacher_ratio,25.5238990783691
MDA,2015,tertiary_pupil_teacher_ratio,16.5099601745605
MNG,2015,tertiary_pupil_teacher_ratio,20.2595405578613
ALB,2015,tertiary_pupil_teacher_ratio,
USA,2015,youth_literacy_15_24_pct,
GBR,2015,youth_literacy_15_24_pct,
CHE,2015,youth_literacy_15_24_pct,
SGP,2015,youth_literacy_15_24_pct,99.7849
