university_id,university_name,country_id,country_name,region
U00454,cleveland state university,C228,United States,North America
U00455,coal city university,C162,Nigeria,Sub-Saharan Africa
U00456,cochin university of science and technology,C099,India,South Asia
U00457,colegio de méxico,C142,Mexico,Latin America & Caribbean
U00458,college of charleston,C228,United States,North America
U00459,college of william and mary,C228,United States,North America
U00460,colorado school of mines,C228,United States,North America
U00461,colorado state university,C228,United States,North America
U00462,colorado state university fort collins,C228,United States,North America
U00463,columbia university,C228,United States,North America
U00464,comenius university bratislava,C204,Slovak Republic,Europe & Central Asia
U00465,comenius university in bratislava,C204,Slovak Republic,Europe & Central Asia
U00466,comillas pontifical university,C066,Spain,Europe & Central Asia
U00467,communication university of china,C038,China,East Asia & Pacific
U00468,complutense university of madrid,C066,Spain,Europe & Central Asia
U00469,comsats university islamabad,C171,Pakistan,South Asia
U00470,concordia university,C034,Canada,North America
U00471,conservatoire for dance and drama,C076,United Kingdom,Europe & Central Asia
U00472,constructor university bremen,C052,Germany,Europe & Central Asia
U00473,constructor university bremen,,,
U00474,copenhagen business school,C055,Denmark,Europe & Central Asia
U00475,cornell university,C228,United States,North America
U00476,corvinus university of budapest,C096,Hungary,Europe & Central Asia
U00477,courtauld institute of art,C076,United Kingdom,Europe & Central Asia
U00478,covenant university,C162,Nigeria,Sub-Saharan Africa
U00479,covenant university,,,
U00480,coventry university,C076,United Kingdom,Europe & Central Asia
U00481,coventry university,,,
U00482,cracow university of technology,C177,Poland,Europe & Central Asia
U00483,cracow university of technology politechnika krakowska,C177,Poland,Europe & Central Asia
U00484,cranfield university,C076,United Kingdom,Europe & Central Asia
U00485,creighton university,C228,United States,North America
U00486,cross river university of technology,C162,Nigeria,Sub-Saharan Africa
U00487,cukurova university,C221,Turkey,Europe & Central Asia
U00488,cuny the city college of new york,C228,United States,North America
U00489,curtin university,C012,Australia,East Asia & Pacific
U00490,curtin university,,,
U00491,cv raman global university,C099,India,South Asia
U00492,cy cergy paris university,C072,France,Europe & Central Asia
U00493,cyprus health and social sciences university,,Northern Cyprus,
U00494,cyprus university of technology,C050,Cyprus,Europe & Central Asia
U00495,czech technical university in prague,C051,Czech Republic,Europe & Central Asia
U00496,czech university of life sciences in prague,C051,Czech Republic,Europe & Central Asia
U00497,czech university of life sciences prague czu,C051,Czech Republic,Europe & Central Asia
U00498,césar ritz colleges switzerland,C035,Switzerland,Europe & Central Asia
U00499,d serikbayev east kazakhstan state technical university,C109,Kazakhstan,Europe & Central Asia
U00500,d serikbayev east kazakhstan technical university,C109,Kazakhstan,Europe & Central Asia
U00501,daegu gyeongbuk institute of science and technology dgist,C115,"Korea, Rep.",
U00502,daffodil international university,C019,Bangladesh,South Asia
U00503,daffodil international university diu,C019,Bangladesh,South Asia
U00504,dalhousie university,C034,Canada,North America
U00505,dalhousie university,,,
U00506,dalian university of technology,C038,China,East Asia & Pacific
U00507,dalian university of technology,C038,China,East Asia & Pacific
U00508,damascus university,C210,Syrian Arab Republic,Middle East & North Africa
U00509,damghan university,C101,"Iran, Islamic Rep.",
U00510,damietta university,C063,"Egypt, Arab Rep.",
U00511,daneshpajoohan pishro higher education institute,C101,"Iran, Islamic Rep.",
U00512,dankook university,C115,"Korea, Rep.",
U00513,dartmouth college,C228,United States,North America
U00514,dawood university of engineering and technology,C171,Pakistan,South Asia
U00515,de la salle university,C174,Philippines,East Asia & Pacific
U00516,de la salle university,,,
U00517,de montfort university,C076,United Kingdom,Europe & Central Asia
U00518,deakin university,C012,Australia,East Asia & Pacific
U00519,debre tabor university,C068,Ethiopia,Sub-Saharan Africa
U00520,del rosario university,C043,Colombia,Latin America & Caribbean
U00521,delft university of technology,C164,Netherlands,Europe & Central Asia
U00522,delhi technological university,C099,India,South Asia
U00523,delta state university abraka,C162,Nigeria,Sub-Saharan Africa
U00524,delta university for science and technology,C063,"Egypt, Arab Rep.",
