master_university_id,source_a,source_a_row,source_b,source_b_row,match_method,match_score
UNI00286,QS,568,THE,406,exact,exact
UNI00646,QS,569,THE,1122,exact,exact
UNI00616,QS,571,THE,541,exact,exact
UNI00648,QS,572,THE,838,exact,exact
UNI00650,QS,573,THE,637,exact,exact
UNI00652,QS,575,THE,1487,exact,exact
UNI00656,QS,578,THE,909,exact,exact
UNI00232,QS,581,THE,204,exact,exact
UNI00502,QS,582,THE,548,exact,exact
UNI00665,QS,587,THE,772,exact,exact
UNI00670,QS,591,THE,2467,exact,exact
UNI00494,QS,592,THE,432,exact,exact
UNI00472,QS,593,THE,414,exact,exact
UNI00637,QS,595,THE,571,exact,exact
UNI00679,QS,600,THE,1458,exact,exact
UNI00445,QS,601,THE,490,exact,exact
UNI00570,QS,603,THE,503,exact,exact
UNI00683,QS,604,THE,1967,exact,exact
UNI00403,QS,605,THE,415,exact,exact
UNI00345,QS,606,THE,309,exact,exact
UNI00684,QS,607,THE,679,exact,exact
UNI00688,QS,609,THE,786,exact,exact
UNI00692,QS,611,THE,1172,exact,exact
UNI00693,QS,612,THE,1927,exact,exact
UNI00696,QS,614,THE,1024,exact,exact
UNI00698,QS,616,THE,1121,exact,exact
UNI00653,QS,617,THE,575,exact,exact
UNI00553,QS,618,THE,488,exact,exact
UNI00700,QS,619,THE,710,exact,exact
UNI00702,QS,621,THE,632,exact,exact
UNI00548,QS,625,THE,481,exact,exact
UNI00642,QS,626,THE,753,exact,exact
UNI00627,QS,627,THE,549,exact,exact
UNI00707,QS,628,THE,912,exact,exact
UNI00699,QS,629,THE,618,exact,exact
UNI00573,QS,631,THE,504,exact,exact
UNI00287,QS,632,THE,253,exact,exact
UNI00714,QS,635,THE,1404,exact,exact
UNI00417,QS,641,THE,366,exact,exact
UNI00635,QS,644,THE,558,exact,exact
UNI00728,QS,647,THE,933,exact,exact
UNI00574,QS,649,THE,516,exact,exact
UNI00613,QS,650,THE,540,exact,exact
UNI00514,QS,651,THE,456,exact,exact
UNI00681,QS,653,THE,601,exact,exact
UNI00710,QS,654,THE,635,exact,exact
UNI00664,QS,656,THE,586,exact,exact
UNI00736,QS,659,THE,661,exact,exact
UNI00237,QS,660,THE,262,exact,exact
UNI00563,QS,661,THE,502,exact,exact
UNI00289,QS,662,THE,254,exact,exact
UNI00589,QS,663,THE,518,exact,exact
UNI00622,QS,666,THE,551,exact,exact
UNI00512,QS,667,THE,560,exact,exact
UNI00741,QS,668,THE,1123,exact,exact
UNI00742,QS,669,THE,750,exact,exact
UNI00743,QS,670,THE,1464,exact,exact
UNI00744,QS,671,THE,1785,exact,exact
UNI00746,QS,673,THE,1783,exact,exact
UNI00749,QS,675,THE,1970,exact,exact
UNI00595,QS,676,THE,521,exact,exact
UNI00720,QS,678,THE,639,exact,exact
UNI00591,QS,679,THE,538,exact,exact
UNI00432,QS,680,THE,379,exact,exact
UNI00753,QS,683,THE,1592,exact,exact
UNI00761,QS,689,THE,1449,exact,exact
UNI00507,QS,691,THE,447,exact,exact
UNI00765,QS,693,THE,879,exact,exact
UNI00730,QS,696,THE,653,exact,exact
UNI00723,QS,698,THE,854,exact,exact
UNI00630,QS,699,THE,561,exact,exact
UNI00657,QS,700,THE,593,exact,exact
UNI00772,QS,701,THE,1481,exact,exact
UNI00774,QS,703,THE,839,exact,exact
UNI00452,QS,708,THE,500,exact,exact
UNI00568,QS,709,THE,501,exact,exact
UNI00585,QS,710,THE,514,exact,exact
UNI00785,QS,713,THE,1079,exact,exact
UNI00786,QS,714,THE,963,exact,exact
UNI00779,QS,717,THE,706,exact,exact
UNI00791,QS,719,THE,994,exact,exact
UNI00561,QS,720,THE,496,exact,exact
UNI00792,QS,721,THE,1005,exact,exact
UNI00794,QS,723,THE,890,exact,exact
UNI00382,QS,724,THE,394,exact,exact
UNI00795,QS,725,THE,781,exact,exact
UNI00800,QS,729,THE,821,exact,exact
UNI00529,QS,731,THE,464,exact,exact
UNI00576,QS,733,THE,506,exact,exact
UNI00291,QS,734,THE,407,exact,exact
UNI00808,QS,737,THE,1376,exact,exact
UNI00537,QS,740,THE,584,exact,exact
UNI00812,QS,741,THE,1235,exact,exact
UNI00815,QS,743,THE,1082,exact,exact
UNI00823,QS,749,THE,951,exact,exact
UNI00559,QS,750,THE,600,exact,exact
UNI00826,QS,753,THE,1676,exact,exact
UNI00509,QS,754,THE,554,exact,exact
UNI00828,QS,755,THE,1146,exact,exact
UNI00676,QS,760,THE,597,exact,exact
UNI00834,QS,761,THE,1198,exact,exact
UNI00668,QS,762,THE,599,exact,exact
UNI00737,QS,763,THE,660,exact,exact
UNI00624,QS,764,THE,547,exact,exact
UNI00839,QS,768,THE,776,exact,exact
UNI00564,QS,769,THE,498,exact,exact
UNI00440,QS,774,THE,583,exact,exact
UNI00855,QS,780,THE,826,exact,exact
UNI00614,QS,783,THE,546,exact,exact
UNI00862,QS,786,THE,932,exact,exact
UNI00549,QS,787,THE,484,exact,exact
UNI00711,QS,788,THE,631,exact,exact
UNI00775,QS,789,THE,703,exact,exact
UNI00456,QS,790,THE,505,exact,exact
UNI00680,QS,791,THE,611,exact,exact
UNI00865,QS,792,THE,844,exact,exact
UNI00866,QS,793,THE,1595,exact,exact
UNI00396,QS,798,THE,408,exact,exact
UNI00874,QS,799,THE,1047,exact,exact
UNI00875,QS,800,THE,946,exact,exact
UNI00877,QS,801,THE,1926,exact,exact
UNI00879,QS,802,THE,1951,exact,exact
UNI00582,QS,803,THE,511,exact,exact
UNI00282,QS,804,THE,403,exact,exact
UNI00881,QS,805,THE,1015,exact,exact
UNI00882,QS,806,THE,1018,exact,exact
UNI00886,QS,809,THE,835,exact,exact
UNI00706,QS,811,THE,634,exact,exact
UNI00718,QS,812,THE,640,exact,exact
UNI00481,QS,813,THE,532,exact,exact
UNI00891,QS,815,THE,1660,exact,exact
UNI00754,QS,816,THE,683,exact,exact
UNI00892,QS,817,THE,1325,exact,exact
UNI00764,QS,818,THE,693,exact,exact
UNI00770,QS,819,THE,699,exact,exact
UNI00511,QS,820,THE,453,exact,exact
UNI00894,QS,821,THE,1361,exact,exact
UNI00803,QS,823,THE,730,exact,exact
UNI00896,QS,824,THE,1396,exact,exact
UNI00851,QS,826,THE,778,exact,exact
UNI00899,QS,827,THE,980,exact,exact
UNI00907,QS,834,THE,857,exact,exact
UNI00910,QS,837,THE,1185,exact,exact
UNI00912,QS,839,THE,1008,exact,exact
UNI00915,QS,841,THE,1027,exact,exact
UNI00916,QS,842,THE,2103,exact,exact
UNI00921,QS,844,THE,1100,exact,exact
UNI00923,QS,846,THE,1134,exact,exact
UNI00644,QS,847,THE,579,exact,exact
UNI00924,QS,848,THE,1827,exact,exact
UNI00450,QS,849,THE,495,exact,exact
UNI00926,QS,851,THE,1484,exact,exact
UNI00835,QS,852,THE,996,exact,exact
UNI00917,QS,857,THE,842,exact,exact
UNI00920,QS,858,THE,843,exact,exact
UNI00880,QS,860,THE,848,exact,exact
UNI00489,QS,862,THE,431,exact,exact
UNI00937,QS,865,THE,1085,exact,exact
UNI00758,QS,866,THE,686,exact,exact
UNI00938,QS,867,THE,2267,exact,exact
UNI00914,QS,868,THE,898,exact,exact
UNI00940,QS,869,THE,1095,exact,exact
UNI00941,QS,870,THE,2311,exact,exact
UNI00769,QS,871,THE,697,exact,exact
UNI00944,QS,874,THE,1127,exact,exact
UNI00801,QS,875,THE,938,exact,exact
UNI00806,QS,876,THE,734,exact,exact
UNI00949,QS,881,THE,1177,exact,exact
UNI00555,QS,882,THE,489,exact,exact
UNI00956,QS,888,THE,1025,exact,exact
UNI00957,QS,889,THE,1044,exact,exact
UNI00739,QS,890,THE,664,exact,exact
UNI00508,QS,891,THE,553,exact,exact
UNI00933,QS,892,THE,917,exact,exact
UNI00959,QS,893,THE,1343,exact,exact
UNI00814,QS,895,THE,742,exact,exact
UNI00810,QS,896,THE,744,exact,exact
UNI00961,QS,897,THE,961,exact,exact
UNI00962,QS,898,THE,1162,exact,exact
UNI00870,QS,902,THE,795,exact,exact
UNI00846,QS,905,THE,807,exact,exact
UNI00390,QS,907,THE,400,exact,exact
UNI00853,QS,908,THE,817,exact,exact
UNI00975,QS,913,THE,1293,exact,exact
UNI00967,QS,914,THE,903,exact,exact
UNI00976,QS,915,THE,2334,exact,exact
UNI00979,QS,917,THE,1350,exact,exact
UNI00980,QS,918,THE,1367,exact,exact
UNI00981,QS,919,THE,1375,exact,exact
UNI00986,QS,924,THE,940,exact,exact
UNI00988,QS,926,THE,1398,exact,exact
UNI00992,QS,928,THE,952,exact,exact
UNI00993,QS,930,THE,1813,exact,exact
UNI00994,QS,931,THE,957,exact,exact
UNI00998,QS,934,THE,1848,exact,exact
UNI01011,QS,944,THE,1029,exact,exact
UNI00475,QS,945,THE,529,exact,exact
UNI00989,QS,946,THE,926,exact,exact
UNI01016,QS,950,THE,2652,exact,exact
UNI00863,QS,953,THE,823,exact,exact
UNI00353,QS,954,THE,430,exact,exact
UNI01020,QS,955,THE,1063,exact,exact
UNI01021,QS,956,THE,1290,exact,exact
UNI01024,QS,958,THE,2242,exact,exact
UNI00607,QS,959,THE,544,exact,exact
UNI01026,QS,960,THE,1328,exact,exact
UNI00918,QS,961,THE,899,exact,exact
UNI00771,QS,962,THE,700,exact,exact
UNI00931,QS,963,THE,915,exact,exact
UNI01031,QS,967,THE,2433,exact,exact
