University Rank,Name of University,Location,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score,female_percentage,male_percentage,overall_score_min,overall_score_max,overall_score_mid,rank_type,rank_numeric
43,Universität Heidelberg,,19347,13.5,21.0,55 : 45,74.1,67.2,61.5,96.0,55.7,71.2,55,45,74.1,74.1,74.1,Exact,43
44,Monash University,Australia,58725,42.5,41.0,57 : 43,73.6,56.9,68.7,90.4,78.4,91.0,57,43,73.6,73.6,73.6,Exact,44
45,Chinese University of Hong Kong,,18468,19.0,21.0,,73.2,59.1,61.1,95.7,60.9,92.5,,,73.2,73.2,73.2,Exact,45
46,McGill University,,32309,12.5,30.0,60 : 40,73.0,62.0,72.4,82.5,43.5,91.0,60,40,73.0,73.0,73.0,Exact,46
47,Paris Sciences et Lettres – PSL Research University Paris,France,16218,15.0,22.0,51 : 49,72.9,68.2,73.5,75.5,78.8,76.3,51,49,72.9,72.9,72.9,Exact,47
48,University of Illinois at Urbana-Champaign,United States,48674,17.4,22.0,48 : 52,72.7,67.1,78.9,78.1,50.1,56.2,48,52,72.7,72.7,72.7,Exact,48
49,Karolinska Institute,Sweden,8021,9.9,27.0,70 : 30,72.4,51.1,68.8,94.0,66.4,87.3,70,30,72.4,72.4,72.4,Exact,49
50,University of Texas at Austin,United States,49171,17.4,10.0,53 : 47,72.3,66.2,73.1,87.5,51.3,40.1,53,47,72.3,72.3,72.3,Exact,50
51,Fudan University,China,36318,11.9,9.0,52 : 48,72.0,71.8,75.8,74.5,77.3,45.2,52,48,72.0,72.0,72.0,Exact,51
52,Shanghai Jiao Tong University,China,37478,11.5,8.0,42 : 58,71.2,75.3,82.9,59.9,100.0,43.7,42,58,71.2,71.2,71.2,Exact,52
53,The University of Queensland,,41372,34.2,41.0,55 : 45,71.1,55.9,66.5,84.3,82.0,93.2,55,45,71.1,71.1,71.1,Exact,53
54,University of Manchester,,37035,14.2,44.0,55 : 45,70.9,54.5,63.7,91.3,45.3,92.7,55,45,70.9,70.9,70.9,Exact,54
54,The University of Sydney,Australia,45853,19.0,45.0,58 : 42,70.9,53.1,65.8,88.5,73.2,90.6,58,42,70.9,70.9,70.9,Exact,54
56,Seoul National University,South Korea,26209,15.1,10.0,,70.8,75.2,76.2,67.6,96.6,35.9,,,70.8,70.8,70.8,Exact,56
57,Washington University in St Louis,United States,14420,7.8,24.0,53 : 47,70.6,60.3,56.8,98.2,47.5,64.0,53,47,70.6,70.6,70.6,Exact,57
58,The Hong Kong University of Science and Technology,,9864,21.0,32.0,,70.5,51.4,63.4,87.7,95.0,97.7,,,70.5,70.5,70.5,Exact,58
59,Wageningen University & Research,Netherlands,15404,18.6,27.0,55 : 45,70.3,50.4,60.2,93.2,100.0,88.8,55,45,70.3,70.3,70.3,Exact,59
60,University of Amsterdam,Netherlands,29157,14.5,32.0,59 : 41,69.6,48.0,64.1,93.3,44.4,91.9,59,41,69.6,69.6,69.6,Exact,60
61,Brown University,United States,10037,10.1,21.0,,69.3,64.5,58.0,89.5,39.0,63.3,,,69.3,69.3,69.3,Exact,61
