rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,stats_proportion_of_isr,aliases,subjects_offered,closed,unaccredited,rank_numeric,ranking_status,score_status,female_percentage
3720,351–400,Hokkaido University,50.05,3720,51.2,123,44.0,201,47.4,1073,95.1,117,47.5,878,Japan,17659,8.2,10.0,29 : 71,28.0,Hokkaido University,"Business & Management,Electrical & Electronic Engineering,Chemistry,Education,Sport Science,Archaeology,Art, Performing Arts & Design,Psychology,Computer Science,Veterinary Science,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Architecture,General Engineering,Civil Engineering,Communication & Media Studies,Sociology,Accounting & Finance,Languages, Literature & Linguistics,Law,Medicine & Dentistry,Agriculture & Forestry,Other Health,Economics & Econometrics,Chemical Engineering,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Geography,Biological Sciences,Physics & Astronomy",False,False,,Reporter,Available,29.0
3730,351–400,Hunan University,50.05,3730,28.9,749,30.4,458,92.0,92,75.2,333,32.5,1402,China,41481,17.8,2.0,47 : 53,43.0,Hunan University,"Electrical & Electronic Engineering,Communication & Media Studies,Computer Science,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Economics & Econometrics,Civil Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Chemistry,Business & Management,Biological Sciences,Accounting & Finance,History, Philosophy & Theology,Physics & Astronomy,Architecture,Mathematics & Statistics,General Engineering,Education,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Law",False,False,,Reporter,Available,47.0
3740,351–400,Illinois Institute of Technology,50.05,3740,42.6,250,26.9,544,67.8,607,91.5,149,73.2,360,United States,6107,12.2,36.0,37 : 63,41.0,Illinois Institute of Technology,"Civil Engineering,Chemical Engineering,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Economics & Econometrics,Law,Biological Sciences,Business & Management,Other Health,Politics & International Studies (incl Development Studies),Communication & Media Studies,Art, Performing Arts & Design,General Engineering,Chemistry,Psychology,Accounting & Finance,Mathematics & Statistics,Physics & Astronomy,Electrical & Electronic Engineering,Architecture,Geology, Environmental, Earth & Marine Sciences,Sociology,Computer Science,Education",False,False,,Reporter,Available,37.0
3750,351–400,Iowa State University,50.05,3750,39.5,323,34.5,361,69.3,572,84.8,211,46.0,931,United States,28591,17.1,8.0,46 : 54,33.0,Iowa State University,"Sport Science,Mechanical & Aerospace Engineering,Medicine & Dentistry,Communication & Media Studies,Agriculture & Forestry,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Sociology,Psychology,Law,Civil Engineering,Politics & International Studies (incl Development Studies),Veterinary Science,Physics & Astronomy,Architecture,Education,Computer Science,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Chemical Engineering,Economics & Econometrics,Other Health,Mathematics & Statistics,General Engineering,Business & Management,History, Philosophy & Theology,Biological Sciences,Art, Performing Arts & Design,Chemistry",False,False,,Reporter,Available,46.0
3760,351–400,James Cook University,50.05,3760,28.3,788,30.9,447,79.6,330,58.9,665,77.7,284,Australia,9759,17.3,9.0,66 : 34,19.0,James Cook University,"History, Philosophy & Theology,Electrical & Electronic Engineering,Civil Engineering,Chemistry,Economics & Econometrics,Computer Science,Physics & Astronomy,Other Health,Biological Sciences,Law,Chemical Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Veterinary Science,Psychology,Archaeology,Sport Science,Education,General Engineering,Mathematics & Statistics,Business & Management,Medicine & Dentistry,Agriculture & Forestry,Sociology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Geography,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance",False,False,,Reporter,Available,66.0
3770,351–400,Justus Liebig University Giessen,50.05,3770,34.4,482,38.0,288,72.5,498,70.5,416,62.7,529,Germany,27184,42.4,11.0,64 : 36,18.0,Justus Liebig University Giessen,"Agriculture & Forestry,Education,Archaeology,Business & Management,Biological Sciences,Geography,Veterinary Science,Psychology,History, Philosophy & Theology,Law,Computer Science,Sociology,Languages, Literature & Linguistics,Mathematics & Statistics,Accounting & Finance,Sport Science,Chemistry,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Physics & Astronomy,Economics & Econometrics",False,False,,Reporter,Available,64.0
3780,351–400,University of Kansas,50.05,3780,42.7,248,25.9,575,73.1,479,79.9,264,58.6,612,United States,23410,9.5,7.0,53 : 47,24.0,University of Kansas,"Computer Science,History, Philosophy & Theology,Other Health,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Civil Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Chemical Engineering,Law,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Chemistry,Electrical & Electronic Engineering,Sport Science,Business & Management,General Engineering,Communication & Media Studies,Psychology,Biological Sciences,Sociology,Accounting & Finance,Architecture,Agriculture & Forestry,Geography,Medicine & Dentistry,Mathematics & Statistics,Education,Physics & Astronomy",False,False,,Reporter,Available,53.0
3790,351–400,Koç University,50.05,3790,31.8,597,40.5,244,68.9,583,91.9,146,57.4,636,Turkey,6427,19.5,9.0,49 : 51,21.0,Koç University koc,"History, Philosophy & Theology,Medicine & Dentistry,Electrical & Electronic Engineering,Psychology,Politics & International Studies (incl Development Studies),Chemistry,Archaeology,General Engineering,Biological Sciences,Languages, Literature & Linguistics,Communication & Media Studies,Sociology,Accounting & Finance,Other Health,Business & Management,Chemical Engineering,Law,Computer Science,Mathematics & Statistics,Economics & Econometrics,Physics & Astronomy,Art, Performing Arts & Design,Mechanical & Aerospace Engineering",False,False,,Reporter,Available,49.0
3800,351–400,Leibniz University Hannover,50.05,3800,38.3,354,41.5,227,62.1,731,81.6,242,58.2,620,Germany,19807,39.5,15.0,44 : 56,45.0,Leibniz University Hannover,"Law,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Mathematics & Statistics,General Engineering,Civil Engineering,History, Philosophy & Theology,Physics & Astronomy,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Business & Management,Agriculture & Forestry,Biological Sciences,Chemistry,Accounting & Finance,Electrical & Electronic Engineering,Education,Geography,Architecture,Economics & Econometrics,Sociology,Computer Science,Sport Science",False,False,,Reporter,Available,44.0
3810,351–400,University of Manitoba,50.05,3810,31.8,599,34.7,356,76.3,410,62.3,609,59.1,602,Canada,30316,30.0,21.0,54 : 46,20.0,University of Manitoba,"Mechanical & Aerospace Engineering,Geography,Medicine & Dentistry,Biological Sciences,Psychology,Art, Performing Arts & Design,Computer Science,Physics & Astronomy,Economics & Econometrics,Architecture,Sport Science,Law,History, Philosophy & Theology,Agriculture & Forestry,Sociology,Archaeology,Civil Engineering,Education,General Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Electrical & Electronic Engineering,Chemistry,Languages, Literature & Linguistics,Chemical Engineering,Politics & International Studies (incl Development Studies),Other Health,Mathematics & Statistics,Business & Management",False,False,,Reporter,Available,54.0
