rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,stats_proportion_of_isr,aliases,subjects_offered,closed,unaccredited,rank_numeric,ranking_status,score_status,female_percentage
1000474,Reporter,Universidad Nacional de Asunción,,1000474,,0,,0,,0,,0,,0,Paraguay,53043,9.8,2.0,39 : 61,19.0,Universidad Nacional de Asunción,"Sociology,Architecture,Psychology,Other Health,Economics & Econometrics,General Engineering,Chemistry,Medicine & Dentistry,Accounting & Finance,Mathematics & Statistics,Chemical Engineering,Communication & Media Studies,Education,Physics & Astronomy,Politics & International Studies (incl Development Studies),Business & Management,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Art, Performing Arts & Design,Veterinary Science,Mechanical & Aerospace Engineering,Geography,Agriculture & Forestry,Law,Civil Engineering,History, Philosophy & Theology,Computer Science,Languages, Literature & Linguistics,Biological Sciences",False,False,,Reporter,Not Available,39.0
1000475,Reporter,Universidad Nacional de Chimborazo,,1000475,,0,,0,,0,,0,,0,Ecuador,9455,16.8,1.0,57 : 43,19.0,Universidad Nacional de Chimborazo,"Medicine & Dentistry,Economics & Econometrics,Art, Performing Arts & Design,Communication & Media Studies,General Engineering,Accounting & Finance,Electrical & Electronic Engineering,Law,Other Health,Psychology,Civil Engineering,Education,Architecture,Politics & International Studies (incl Development Studies),Sociology,Computer Science,Business & Management",False,False,,Reporter,Not Available,57.0
1000476,Reporter,Universidad Nacional de Itapúa,,1000476,,0,,0,,0,,0,,0,Paraguay,5104,5.0,1.0,55 : 45,6.0,Universidad Nacional de Itapúa,"Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),General Engineering,Biological Sciences,Economics & Econometrics,Mechanical & Aerospace Engineering,Education,Mathematics & Statistics,Sociology,Communication & Media Studies,Accounting & Finance,Psychology,Computer Science,Civil Engineering,Business & Management,Law,Medicine & Dentistry,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences",False,False,,Reporter,Not Available,55.0
1000477,Reporter,Universidad Nacional de Rafaela (UNRaf),,1000477,,0,,0,,0,,0,,0,Argentina,2183,6.3,0.0,56 : 44,28.0,Universidad Nacional de Rafaela (UNRaf),"Computer Science,Education,Art, Performing Arts & Design,Business & Management,Sport Science,Agriculture & Forestry,Communication & Media Studies",False,False,,Reporter,Not Available,56.0
1000478,Reporter,Nagoya University of Commerce & Business,,1000478,,0,,0,,0,,0,,0,Japan,3815,32.1,10.0,23 : 77,24.0,Nagoya University of Commerce & Business,"Accounting & Finance,Economics & Econometrics,Languages, Literature & Linguistics,Business & Management",False,False,,Reporter,Not Available,23.0
1000479,Reporter,Nakhchivan State University,,1000479,,0,,0,,0,,0,,0,Azerbaijan,7652,7.9,20.0,48 : 52,17.0,Nakhchivan State University,"Architecture,Biological Sciences,Law,Languages, Literature & Linguistics,General Engineering,Physics & Astronomy,Art, Performing Arts & Design,Computer Science,Chemistry,Business & Management,Veterinary Science,Geography,Accounting & Finance,Archaeology,Sport Science,Education,Medicine & Dentistry,Mathematics & Statistics,Psychology,Sociology,Agriculture & Forestry,Chemical Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Mechanical & Aerospace Engineering,Communication & Media Studies",False,False,,Reporter,Not Available,48.0
1000480,Reporter,Nakhon Ratchasima Rajabhat University,,1000480,,0,,0,,0,,0,,0,Thailand,15044,27.8,0.0,68 : 32,21.0,Nakhon Ratchasima Rajabhat University,"Veterinary Science,Other Health,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Accounting & Finance,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Computer Science,Sociology,Architecture,Chemistry,Languages, Literature & Linguistics,Agriculture & Forestry,Law,General Engineering,Communication & Media Studies,Art, Performing Arts & Design,Sport Science,Business & Management,History, Philosophy & Theology,Physics & Astronomy,Education,Electrical & Electronic Engineering,Geography",False,False,,Reporter,Not Available,68.0
1000481,Reporter,Namal University,,1000481,,0,,0,,0,,0,,0,Pakistan,557,15.9,0.0,37 : 63,28.0,Namal University,"Business & Management,Mathematics & Statistics,Computer Science,Electrical & Electronic Engineering",False,False,,Reporter,Not Available,37.0
1000482,Reporter,Namangan Engineering Construction Institute,,1000482,,0,,0,,0,,0,,0,Uzbekistan,7886,20.9,0.0,11 : 89,28.0,Namangan Engineering Construction Institute,"Electrical & Electronic Engineering,Business & Management,Architecture,Computer Science,Economics & Econometrics,Civil Engineering,Accounting & Finance,Agriculture & Forestry,Chemical Engineering,General Engineering,Geology, Environmental, Earth & Marine Sciences",False,False,,Reporter,Not Available,11.0
1000483,Reporter,Namangan Institute of Engineering and Technology,,1000483,,0,,0,,0,,0,,0,Uzbekistan,5094,14.1,0.0,28 : 72,28.0,Namangan Institute of Engineering and Technology,"Art, Performing Arts & Design,Biological Sciences,Agriculture & Forestry,Civil Engineering,Electrical & Electronic Engineering,Computer Science,Business & Management,Chemical Engineering,General Engineering,Economics & Econometrics,Accounting & Finance,Chemistry",False,False,,Reporter,Not Available,28.0
1000484,Reporter,Namangan State University,,1000484,,0,,0,,0,,0,,0,Uzbekistan,24148,25.8,0.0,54 : 46,18.0,Namangan State University,"Law,Medicine & Dentistry,Other Health,Chemistry,Biological Sciences,Sociology,Veterinary Science,Psychology,Physics & Astronomy,History, Philosophy & Theology,Business & Management,Education,Agriculture & Forestry,Art, Performing Arts & Design,Communication & Media Studies,Geography,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Computer Science,Economics & Econometrics,Sport Science,Archaeology,Languages, Literature & Linguistics",False,False,,Reporter,Not Available,54.0
1000485,Reporter,Narxoz University,,1000485,,0,,0,,0,,0,,0,Kazakhstan,3187,13.0,2.0,59 : 41,17.0,Narxoz University,"Computer Science,Agriculture & Forestry,Mathematics & Statistics,Sociology,Psychology,Business & Management,Law,Accounting & Finance,Politics & International Studies (incl Development Studies),Economics & Econometrics",False,False,,Reporter,Not Available,59.0
1000486,Reporter,"Nasarawa State University, Keffi",,1000486,,0,,0,,0,,0,,0,Nigeria,12885,13.2,13.0,42 : 58,23.0,"Nasarawa State University, Keffi","Civil Engineering,Law,Other Health,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Education,History, Philosophy & Theology,Mathematics & Statistics,Geography,Chemical Engineering,Accounting & Finance,Languages, Literature & Linguistics,Physics & Astronomy,Business & Management,Agriculture & Forestry,Chemistry,Psychology,Art, Performing Arts & Design,Computer Science,Economics & Econometrics,Electrical & Electronic Engineering,Sociology,Medicine & Dentistry,Politics & International Studies (incl Development Studies)",False,False,,Reporter,Not Available,42.0
1000487,Reporter,Universidad Nacional Agraria La Molina,,1000487,,0,,0,,0,,0,,0,Peru,8139,13.2,2.0,48 : 52,19.0,Universidad Nacional Agraria La Molina,"Economics & Econometrics,Veterinary Science,General Engineering,Accounting & Finance,Physics & Astronomy,Sociology,Chemical Engineering,Chemistry,Mathematics & Statistics,Agriculture & Forestry,Business & Management,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Civil Engineering",False,False,,Reporter,Not Available,48.0
1000489,Reporter,National Film and Television School,,1000489,,0,,0,,0,,0,,0,United Kingdom,400,7.3,41.0,50 : 50,28.0,National Film and Television School,"Business & Management,Art, Performing Arts & Design",False,False,,Reporter,Not Available,50.0
1000490,Reporter,National University of Food Technologies,,1000490,,0,,0,,0,,0,,0,Ukraine,5361,10.1,0.0,53 : 47,27.0,National University of Food Technologies,"Agriculture & Forestry,Languages, Literature & Linguistics,Computer Science,Civil Engineering,Mechanical & Aerospace Engineering,Business & Management,Economics & Econometrics,Sport Science,Physics & Astronomy,Biological Sciences,Mathematics & Statistics,Accounting & Finance",False,False,,Reporter,Not Available,53.0
1000491,Reporter,National University Odessa Law Academy,,1000491,,0,,0,,0,,0,,0,Ukraine,11600,18.6,1.0,65 : 35,18.0,National University Odessa Law Academy,"Business & Management,Psychology,Sociology,Politics & International Studies (incl Development Studies),Computer Science,Languages, Literature & Linguistics,Communication & Media Studies,History, Philosophy & Theology,Law",False,False,,Reporter,Not Available,65.0
1000492,Reporter,The National University of Ostroh Academy,,1000492,,0,,0,,0,,0,,0,Ukraine,3923,9.8,0.0,48 : 52,23.0,The National University of Ostroh Academy,"Computer Science,Other Health,Education,Archaeology,Accounting & Finance,Law,Communication & Media Studies,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Business & Management,Psychology,Languages, Literature & Linguistics",False,False,,Reporter,Not Available,48.0
1000493,Reporter,National Polytechnic University of Armenia,,1000493,,0,,0,,0,,0,,0,Armenia,5583,7.3,2.0,27 : 73,42.0,National Polytechnic University of Armenia,"Economics & Econometrics,Civil Engineering,Electrical & Electronic Engineering,Chemical Engineering,Art, Performing Arts & Design,Computer Science,Mechanical & Aerospace Engineering,General Engineering,Business & Management",False,False,,Reporter,Not Available,27.0
1000494,Reporter,National University of Quilmes,,1000494,,0,,0,,0,,0,,0,Argentina,42123,32.4,2.0,56 : 44,25.0,National University of Quilmes,"Architecture,Education,Economics & Econometrics,Art, Performing Arts & Design,Languages, Literature & Linguistics,Biological Sciences,Physics & Astronomy,General Engineering,Mathematics & Statistics,Business & Management,Geography,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Chemistry,Sociology,Computer Science,Electrical & Electronic Engineering,Communication & Media Studies,Other Health,Accounting & Finance",False,False,,Reporter,Not Available,56.0
1000495,Reporter,National School of Artificial Intelligence (ENSIA),,1000495,,0,,0,,0,,0,,0,Algeria,200,12.5,0.0,66 : 34,28.0,National School of Artificial Intelligence (ENSIA),"Mathematics & Statistics,Computer Science",False,False,,Reporter,Not Available,66.0
1000496,Reporter,"National University of Science and Technology, Oman",,1000496,,0,,0,,0,,0,,0,Oman,5230,18.2,10.0,58 : 42,28.0,"National University of Science and Technology, Oman","Other Health,Civil Engineering,Medicine & Dentistry,General Engineering,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering",False,False,,Reporter,Not Available,58.0
1000497,Reporter,"National University, Sudan",,1000497,,0,,0,,0,,0,,0,Sudan,6323,15.1,5.0,51 : 49,22.0,"National University, Sudan","Civil Engineering,Architecture,Accounting & Finance,Education,Electrical & Electronic Engineering,General Engineering,Other Health,Medicine & Dentistry,Biological Sciences,Business & Management,Chemistry,Economics & Econometrics,Computer Science,Politics & International Studies (incl Development Studies)",False,False,,Reporter,Not Available,51.0
1000498,Reporter,National Textile University,,1000498,,0,,0,,0,,0,,0,Pakistan,3766,18.8,0.0,29 : 71,37.0,National Textile University,"Mathematics & Statistics,Art, Performing Arts & Design,Physics & Astronomy,General Engineering,Accounting & Finance,Chemistry,Business & Management,Computer Science",False,False,,Reporter,Not Available,29.0
1000499,Reporter,National Transport University,,1000499,,0,,0,,0,,0,,0,Ukraine,6220,10.2,3.0,28 : 72,50.0,National Transport University,"Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mechanical & Aerospace Engineering,Economics & Econometrics,Business & Management,Education,Chemical Engineering,Art, Performing Arts & Design,General Engineering,Law,Civil Engineering,Languages, Literature & Linguistics",False,False,,Reporter,Not Available,28.0
1000500,Reporter,National University of Water and Environmental Engineering,,1000500,,0,,0,,0,,0,,0,Ukraine,6356,16.1,2.0,33 : 67,50.0,National University of Water and Environmental Engineering,"Civil Engineering,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,General Engineering,Psychology,Electrical & Electronic Engineering,Communication & Media Studies,Computer Science,Law,Agriculture & Forestry,Architecture,Mathematics & Statistics,Mechanical & Aerospace Engineering,Other Health,Business & Management",False,False,,Reporter,Not Available,33.0
1000501,Reporter,National University “Yuri Kondratyuk Poltava Polytechnic”,,1000501,,0,,0,,0,,0,,0,Ukraine,5356,8.7,9.0,53 : 47,41.0,National University “Yuri Kondratyuk Poltava Polytechnic”,"Sport Science,Geology, Environmental, Earth & Marine Sciences,Architecture,Business & Management,Other Health,Accounting & Finance,Art, Performing Arts & Design,Education,Electrical & Electronic Engineering,Computer Science,Economics & Econometrics,Civil Engineering,General Engineering,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies)",False,False,,Reporter,Not Available,53.0
1000502,Reporter,Navoi State Pedagogical Institute,,1000502,,0,,0,,0,,0,,0,Uzbekistan,10178,26.4,0.0,61 : 39,22.0,Navoi State Pedagogical Institute,"Biological Sciences,Chemistry,Medicine & Dentistry,Physics & Astronomy,Sport Science,Mathematics & Statistics,Languages, Literature & Linguistics,Psychology,History, Philosophy & Theology,Geography,Computer Science,Art, Performing Arts & Design,Education",False,False,,Reporter,Not Available,61.0
1000503,Reporter,Netaji Subhas University of Technology,,1000503,,0,,0,,0,,0,,0,India,6676,14.6,3.0,14 : 86,43.0,Netaji Subhas University of Technology,"Mechanical & Aerospace Engineering,Business & Management,Biological Sciences,Chemistry,Physics & Astronomy,Languages, Literature & Linguistics,Mathematics & Statistics,Electrical & Electronic Engineering,Computer Science,Architecture,Civil Engineering",False,False,,Reporter,Not Available,14.0
1000504,Reporter,Niger Delta University,,1000504,,0,,0,,0,,0,,0,Nigeria,19323,23.4,0.0,44 : 56,25.0,Niger Delta University,"Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Economics & Econometrics,Computer Science,Communication & Media Studies,Education,Law,Business & Management,Biological Sciences,Chemistry,History, Philosophy & Theology,Accounting & Finance,Psychology,Agriculture & Forestry,Electrical & Electronic Engineering,Physics & Astronomy,Other Health,Mechanical & Aerospace Engineering,Architecture,Languages, Literature & Linguistics,Mathematics & Statistics,Art, Performing Arts & Design,General Engineering,Geography,Civil Engineering,Chemical Engineering,Sociology",False,False,,Reporter,Not Available,44.0
1000505,Reporter,Nihon Pharmaceutical University,,1000505,,0,,0,,0,,0,,0,Japan,1556,17.7,4.0,50 : 50,11.0,Nihon Pharmaceutical University,Other Health,False,False,,Reporter,Not Available,50.0
1000506,Reporter,Niigata University of Health and Welfare,,1000506,,0,,0,,0,,0,,0,Japan,4577,17.3,1.0,51 : 49,8.0,Niigata University of Health and Welfare,"Sport Science,Accounting & Finance,Communication & Media Studies,Languages, Literature & Linguistics,Biological Sciences,Law,Sociology,Computer Science,Psychology,Physics & Astronomy,Mathematics & Statistics,Education,Chemistry,Other Health,Business & Management",False,False,,Reporter,Not Available,51.0
1000507,Reporter,University of Niigata Prefecture,,1000507,,0,,0,,0,,0,,0,Japan,1309,16.0,1.0,73 : 27,9.0,University of Niigata Prefecture,"Other Health,Politics & International Studies (incl Development Studies),Economics & Econometrics,Education",False,False,,Reporter,Not Available,73.0
1000508,Reporter,Ninevah University,,1000508,,0,,0,,0,,0,,0,Iraq,4517,14.6,0.0,42 : 58,28.0,Ninevah University,"Medicine & Dentistry,Electrical & Electronic Engineering,Other Health,Computer Science,Law,Biological Sciences",False,False,,Reporter,Not Available,42.0
1000509,Reporter,Nitte (Deemed to be University),,1000509,,0,,0,,0,,0,,0,India,4551,8.1,1.0,66 : 34,28.0,Nitte (Deemed to be University),"Biological Sciences,Communication & Media Studies,Architecture,Medicine & Dentistry,Other Health",False,False,,Reporter,Not Available,66.0
1000510,Reporter,University of Northampton,,1000510,,0,,0,,0,,0,,0,United Kingdom,10145,17.6,32.0,64 : 36,25.0,University of Northampton,"Politics & International Studies (incl Development Studies),Geography,Law,Accounting & Finance,Sociology,Computer Science,Art, Performing Arts & Design,Biological Sciences,Economics & Econometrics,Sport Science,Education,Electrical & Electronic Engineering,Communication & Media Studies,General Engineering,Languages, Literature & Linguistics,Psychology,Architecture,Mechanical & Aerospace Engineering,Other Health,Business & Management,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences",False,False,,Reporter,Not Available,64.0
1000511,Reporter,Northeast Ohio Medical University,,1000511,,0,,0,,0,,0,,0,United States,989,10.4,0.0,55 : 45,5.0,Northeast Ohio Medical University,"Medicine & Dentistry,Other Health,Biological Sciences",False,False,,Reporter,Not Available,55.0
1000512,Reporter,Northern Border University,,1000512,,0,,0,,0,,0,,0,Saudi Arabia,14875,11.5,2.0,65 : 35,30.0,Northern Border University,"Psychology,Computer Science,Geography,Veterinary Science,Education,Medicine & Dentistry,Agriculture & Forestry,Sociology,Archaeology,Languages, Literature & Linguistics,Other Health,Law,Chemistry,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Civil Engineering,Biological Sciences,Mechanical & Aerospace Engineering,Architecture,History, Philosophy & Theology,Accounting & Finance,Politics & International Studies (incl Development Studies),Communication & Media Studies,Chemical Engineering,General Engineering,Economics & Econometrics,Sport Science,Mathematics & Statistics,Art, Performing Arts & Design,Physics & Astronomy",False,False,,Reporter,Not Available,65.0
1000513,Reporter,Northern Technical University,,1000513,,0,,0,,0,,0,,0,Iraq,24000,30.9,0.0,47 : 53,39.0,Northern Technical University,"Mechanical & Aerospace Engineering,Agriculture & Forestry,General Engineering,Chemistry,Accounting & Finance,Other Health,Economics & Econometrics,Computer Science,Veterinary Science,Medicine & Dentistry,Civil Engineering,Chemical Engineering,Electrical & Electronic Engineering,Law,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Business & Management",False,False,,Reporter,Not Available,47.0
1000514,Reporter,Norwich University of the Arts,,1000514,,0,,0,,0,,0,,0,United Kingdom,2490,15.6,12.0,61 : 39,14.0,Norwich University of the Arts,"Architecture,Business & Management,Computer Science,Art, Performing Arts & Design",False,False,,Reporter,Not Available,61.0
1000515,Reporter,University Centre of El-Bayadh,,1000515,,0,,0,,0,,0,,0,Algeria,8000,33.2,0.0,0 : 100,35.0,University Centre of El-Bayadh,"Biological Sciences,General Engineering,History, Philosophy & Theology,Computer Science,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Sociology,Electrical & Electronic Engineering,Economics & Econometrics,Education,Sport Science,Civil Engineering,Law,Languages, Literature & Linguistics,Business & Management",False,False,,Reporter,Not Available,0.0
1000516,Reporter,University of Nova Gorica,,1000516,,0,,0,,0,,0,,0,Slovenia,405,3.2,55.0,47 : 53,41.0,University of Nova Gorica,"Architecture,Languages, Literature & Linguistics,Chemistry,Business & Management,History, Philosophy & Theology,Biological Sciences,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Education,Agriculture & Forestry,Mathematics & Statistics,Art, Performing Arts & Design,Physics & Astronomy",False,False,,Reporter,Not Available,47.0
1000517,Reporter,Novosibirsk State University of Economics and Management,,1000517,,0,,0,,0,,0,,0,Russian Federation,4093,8.3,18.0,68 : 32,26.0,Novosibirsk State University of Economics and Management,"Sociology,Accounting & Finance,Computer Science,Economics & Econometrics,Business & Management,Psychology,Communication & Media Studies,Mathematics & Statistics,Law,Politics & International Studies (incl Development Studies)",False,False,,Reporter,Not Available,68.0
1000518,Reporter,Nueva Ecija University of Science and Technology (NEUST),,1000518,,0,,0,,0,,0,,0,Philippines,29516,60.0,1.0,56 : 44,23.0,Nueva Ecija University of Science and Technology (NEUST),"Geology, Environmental, Earth & Marine Sciences,Chemistry,Civil Engineering,Architecture,Education,Biological Sciences,Electrical & Electronic Engineering,Other Health,Sociology,Business & Management,Mechanical & Aerospace Engineering,Psychology,Computer Science,Politics & International Studies (incl Development Studies),Agriculture & Forestry",False,False,,Reporter,Not Available,56.0
1000519,Reporter,Universidad Nur,,1000519,,0,,0,,0,,0,,0,Bolivia,3894,9.5,0.0,57 : 43,28.0,Universidad Nur,"Communication & Media Studies,Education,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,History, Philosophy & Theology,Business & Management,General Engineering,Law,Medicine & Dentistry,Psychology,Politics & International Studies (incl Development Studies),Sport Science,Art, Performing Arts & Design,Other Health,Computer Science,Sociology,Accounting & Finance",False,False,,Reporter,Not Available,57.0
1000520,Reporter,October 6 University,,1000520,,0,,0,,0,,0,,0,Egypt,23151,11.9,4.0,48 : 52,17.0,October 6 University,"Civil Engineering,General Engineering,Accounting & Finance,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Computer Science,Other Health,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Education,Biological Sciences,Communication & Media Studies,Medicine & Dentistry,Architecture,Art, Performing Arts & Design,Chemical Engineering,Chemistry,History, Philosophy & Theology,Sociology,Physics & Astronomy,Economics & Econometrics,Mechanical & Aerospace Engineering,Business & Management,Archaeology",False,False,,Reporter,Not Available,48.0
1000521,Reporter,October University for Modern Sciences and Arts (MSA),,1000521,,0,,0,,0,,0,,0,Egypt,11705,9.8,1.0,50 : 50,28.0,October University for Modern Sciences and Arts (MSA),"Languages, Literature & Linguistics,Business & Management,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Accounting & Finance,Biological Sciences,Communication & Media Studies,Computer Science,Medicine & Dentistry,Other Health,Architecture",False,False,,Reporter,Not Available,50.0
1000522,Reporter,Odesa I.I. Mechnikov National University,,1000522,,0,,0,,0,,0,,0,Ukraine,5198,7.2,3.0,71 : 29,36.0,Odesa I.I. Mechnikov National University,"Biological Sciences,Education,Computer Science,Psychology,Mathematics & Statistics,Law,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Archaeology,Sociology,Chemistry,Accounting & Finance,Communication & Media Studies,Physics & Astronomy,Business & Management,Languages, Literature & Linguistics,Geography,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics",False,False,,Reporter,Not Available,71.0
1000523,Reporter,Oguz Han Engineering and Technology University of Turkmenistan,,1000523,,0,,0,,0,,0,,0,Turkmenistan,3057,14.1,0.0,54 : 46,28.0,Oguz Han Engineering and Technology University of Turkmenistan,"Accounting & Finance,Biological Sciences,Mathematics & Statistics,Computer Science,Chemical Engineering,General Engineering,Economics & Econometrics,Education,Electrical & Electronic Engineering,Chemistry,Psychology,Physics & Astronomy,Business & Management",False,False,,Reporter,Not Available,54.0
1000524,Reporter,University of Okara,,1000524,,0,,0,,0,,0,,0,Pakistan,6970,60.6,0.0,53 : 47,35.0,University of Okara,"Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Business & Management,Law,Mathematics & Statistics,Accounting & Finance,Languages, Literature & Linguistics,History, Philosophy & Theology,Computer Science,Sociology,Sport Science,Psychology,Chemistry,Communication & Media Studies,Economics & Econometrics,Education,Geography,Art, Performing Arts & Design,Other Health,Politics & International Studies (incl Development Studies)",False,False,,Reporter,Not Available,53.0
1000525,Reporter,Omsk State Agrarian University,,1000525,,0,,0,,0,,0,,0,Russian Federation,6548,20.3,11.0,55 : 45,27.0,Omsk State Agrarian University,"Agriculture & Forestry,Law,Veterinary Science,Biological Sciences,Business & Management,General Engineering,Computer Science,Accounting & Finance,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering",False,False,,Reporter,Not Available,55.0
1000526,Reporter,Open Christian University,,1000526,,0,,0,,0,,0,,0,South Africa,123,1.6,88.0,16 : 84,28.0,Open Christian University,"Sociology,History, Philosophy & Theology,Psychology,Education,Business & Management",False,False,,Reporter,Not Available,16.0
1000527,Reporter,O.P. Jindal Global University,,1000527,,0,,0,,0,,0,,0,India,7583,9.1,0.0,48 : 52,28.0,O.P. Jindal Global University,"Art, Performing Arts & Design,Business & Management,History, Philosophy & Theology,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Architecture,Economics & Econometrics,Sociology,Languages, Literature & Linguistics,Psychology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Law",False,False,,Reporter,Not Available,48.0
1000528,Reporter,Université d’Oran 2 Mohamed Ben Ahmed,,1000528,,0,,0,,0,,0,,0,Algeria,28522,29.2,1.0,58 : 42,22.0,Université d’Oran 2 Mohamed Ben Ahmed,"Mechanical & Aerospace Engineering,Geography,Psychology,Mathematics & Statistics,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Accounting & Finance,Education,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Sociology,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,General Engineering,Business & Management,Law",False,False,,Reporter,Not Available,58.0
1000529,Reporter,Oran Graduate School of Economics,,1000529,,0,,0,,0,,0,,0,Algeria,967,13.2,0.0,57 : 43,28.0,Oran Graduate School of Economics,"Business & Management,Economics & Econometrics,Accounting & Finance",False,False,,Reporter,Not Available,57.0
1000530,Reporter,Orel State Agrarian University named after N.V. Parahin,,1000530,,0,,0,,0,,0,,0,Russian Federation,1773,10.4,20.0,42 : 58,28.0,Orel State Agrarian University named after N.V. Parahin,"Civil Engineering,Electrical & Electronic Engineering,Agriculture & Forestry,Business & Management,Accounting & Finance,Economics & Econometrics,Veterinary Science",False,False,,Reporter,Not Available,42.0
1000531,Reporter,Orel State University named after I.S. Turgenev,,1000531,,0,,0,,0,,0,,0,Russian Federation,11703,14.9,13.0,54 : 46,27.0,Orel State University named after I.S. Turgenev,"Biological Sciences,Law,History, Philosophy & Theology,Business & Management,Languages, Literature & Linguistics,Sport Science,Accounting & Finance,Other Health,Psychology,Medicine & Dentistry,Chemistry,Architecture,Education,Art, Performing Arts & Design,Civil Engineering,Geography,Computer Science,Physics & Astronomy,Electrical & Electronic Engineering,Sociology,General Engineering,Communication & Media Studies",False,False,,Reporter,Not Available,54.0
1000532,Reporter,ORT Uruguay University,,1000532,,0,,0,,0,,0,,0,Uruguay,4560,6.7,3.0,46 : 54,38.0,ORT Uruguay University,"Biological Sciences,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Education,Communication & Media Studies,Computer Science,Economics & Econometrics,Electrical & Electronic Engineering,Architecture,Languages, Literature & Linguistics,Business & Management,Accounting & Finance",False,False,,Reporter,Not Available,46.0
1000533,Reporter,Osol Al-Deen University College,,1000533,,0,,0,,0,,0,,0,Iraq,3397,28.8,0.0,54 : 46,28.0,Osol Al-Deen University College,"Communication & Media Studies,Medicine & Dentistry,Other Health,Languages, Literature & Linguistics,Law,Business & Management",False,False,,Reporter,Not Available,54.0
1000534,Reporter,University College of Osteopathy,,1000534,,0,,0,,0,,0,,0,United Kingdom,370,10.6,31.0,57 : 43,3.0,University College of Osteopathy,Other Health,False,False,,Reporter,Not Available,57.0
1000535,Reporter,Ostrogradsky National University of Kremenchuk,,1000535,,0,,0,,0,,0,,0,Ukraine,3479,12.5,1.0,47 : 53,40.0,Ostrogradsky National University of Kremenchuk,"Computer Science,Communication & Media Studies,Economics & Econometrics,Languages, Literature & Linguistics,General Engineering,Biological Sciences,Art, Performing Arts & Design,Business & Management,Psychology,Mechanical & Aerospace Engineering,Accounting & Finance,Other Health,Electrical & Electronic Engineering,Law",False,False,,Reporter,Not Available,47.0
1000536,Reporter,University of Oum El Bouaghi,,1000536,,0,,0,,0,,0,,0,Algeria,12759,12.8,0.0,72 : 28,40.0,University of Oum El Bouaghi,"Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Architecture,Geography,Politics & International Studies (incl Development Studies),Sociology,Law,General Engineering,Chemical Engineering,History, Philosophy & Theology,Accounting & Finance,Civil Engineering,Mathematics & Statistics,Psychology,Computer Science,Sport Science,Agriculture & Forestry,Communication & Media Studies,Mechanical & Aerospace Engineering,Physics & Astronomy,Art, Performing Arts & Design,Other Health,Education,Business & Management,Chemistry,Economics & Econometrics,Electrical & Electronic Engineering,Veterinary Science,Medicine & Dentistry",False,False,,Reporter,Not Available,72.0
