university_name,university_name_clean,country_name,country_name_clean,the_rank_2024,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024,university_id
Howard University,howard university,United States,united states,,34.8,48.0,18.8,41.6,39.8,39.3,9.7,5.0,71.0,U1041
University of Ibadan,university of ibadan,Nigeria,nigeria,,34.8,27.6,14.4,59.3,24.4,41.0,19.7,0.0,50.0,U1167
Ilam University of Medical Sciences,ilam university of medical sciences,Iran,iran,,34.8,30.8,12.0,65.7,17.2,23.4,13.2,5.0,52.0,U1889
"Indian Institute of Science Education and Research, Pune","indian institute of science education and research, pune",India,india,,34.8,42.9,25.1,35.7,25.4,38.9,11.1,0.0,31.0,U1890
Indian Institute of Technology Gandhinagar,indian institute of technology gandhinagar,India,india,,34.8,41.1,27.2,39.0,26.5,29.6,14.9,0.0,28.0,U1891
University of Indonesia,university of indonesia,Indonesia,indonesia,,34.8,45.5,23.1,29.2,51.9,60.3,7.9,14.0,70.0,U1892
Indraprastha Institute of Information Technology Delhi,indraprastha institute of information technology delhi,India,india,,34.8,22.8,16.0,66.2,57.8,44.6,23.4,5.0,21.0,U1893
Inha University,inha university,South Korea,south korea,,34.8,31.2,27.2,41.7,83.9,38.8,19.2,8.0,42.0,U0639
Universitat Internacional de Catalunya,universitat internacional de catalunya,Spain,spain,,34.8,22.8,17.6,57.0,21.2,65.9,12.9,27.0,64.0,U1894
"International Islamic University, Islamabad","international islamic university, islamabad",Pakistan,pakistan,,34.8,17.3,11.2,72.7,17.6,60.0,21.8,7.0,54.0,U1895
Isfahan University of Medical Sciences,isfahan university of medical sciences,Iran,iran,,34.8,45.6,13.6,47.0,25.6,25.4,10.2,3.0,60.0,U1896
Islamia College Peshawar,islamia college peshawar,Pakistan,pakistan,,34.8,21.4,11.1,62.9,17.1,55.6,24.4,3.0,27.0,U1897
University of Jaén,university of jaén,Spain,spain,,34.8,20.7,18.8,64.2,41.0,45.4,16.1,7.0,57.0,U1898
Jahangirnagar University,jahangirnagar university,Bangladesh,bangladesh,,34.8,24.1,8.9,71.9,19.5,49.7,17.3,0.0,49.0,U1246
Jaume I University,jaume i university,Spain,spain,,34.8,23.0,20.5,56.5,47.7,45.7,15.2,10.0,59.0,U1899
Jawaharlal Nehru Technological University Anantapur (JNTUA),jawaharlal nehru technological university anantapur (jntua),India,india,,34.8,28.9,14.1,60.7,17.5,19.6,18.1,0.0,41.0,U1900
Jaypee University of Information Technology,jaypee university of information technology,India,india,,34.8,23.2,16.5,70.6,22.5,23.8,18.5,2.0,27.0,U1901
