university_name,university_name_clean,country_name,country_name_clean,the_rank_2024,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024,university_id
Technical University of Košice,technical university of košice,Slovakia,slovakia,,25.5,26.5,17.1,30.2,30.0,44.8,13.1,23.0,27.0,U2295
University of Technology of Compiègne,university of technology of compiègne,France,france,,25.5,26.7,10.9,24.3,48.8,83.8,15.6,19.0,39.0,U2296
Universiti Teknikal Malaysia Melaka,universiti teknikal malaysia melaka,Malaysia,malaysia,,25.5,20.1,11.4,32.6,19.6,44.2,16.1,6.0,38.0,U1364
Institut Teknologi Sepuluh Nopember,institut teknologi sepuluh nopember,Indonesia,indonesia,,25.5,25.3,10.8,25.4,35.4,42.5,7.1,6.0,40.0,U2297
University of Texas Rio Grande Valley,university of texas rio grande valley,United States,united states,,25.5,17.9,8.5,45.1,17.4,46.1,21.7,2.0,61.0,U2298
Tezpur University,tezpur university,India,india,,25.5,31.3,15.3,27.9,33.8,18.4,15.3,1.0,43.0,U2299
Thammasat University,thammasat university,Thailand,thailand,,25.5,26.3,19.1,25.7,30.1,38.1,11.4,1.0,64.0,U0596
Thiagarajar College of Engineering,thiagarajar college of engineering,India,india,,25.5,18.7,8.9,41.9,20.2,18.0,18.3,0.0,36.0,U2300
Toho University,toho university,Japan,japan,,25.5,24.7,15.0,33.7,57.3,21.5,13.7,0.0,53.0,U2301
Tokai University,tokai university,Japan,japan,,25.5,18.3,12.0,36.5,46.0,30.4,16.0,4.0,27.0,U1309
Tokushima University,tokushima university,Japan,japan,,25.5,29.2,24.0,24.4,81.6,26.4,9.7,2.0,35.0,U1108
Tokyo University of Marine Science and Technology,tokyo university of marine science and technology,Japan,japan,,25.5,31.3,15.2,19.7,43.1,44.4,10.4,8.0,33.0,U2302
Tokyo University of Science,tokyo university of science,Japan,japan,,25.5,24.0,26.1,26.4,74.0,29.1,24.0,4.0,25.0,U0757
Tomas Bata University in Zlín,tomas bata university in zlín,Czech Republic,czech republic,,25.5,18.1,21.0,31.8,26.1,51.3,20.1,11.0,56.0,U2303
University of Toyama,university of toyama,Japan,japan,,25.5,27.0,14.6,29.2,61.9,33.1,10.6,3.0,39.0,U2304
Transilvania University of Brașov,transilvania university of brașov,Romania,romania,,25.5,15.4,11.5,49.8,18.7,36.9,20.4,1.0,52.0,U2305
Tribhuvan University,tribhuvan university,Nepal,nepal,,25.5,11.3,8.2,49.5,15.9,46.7,30.9,0.0,52.0,U2306
Tunghai University,tunghai university,Taiwan,taiwan,,25.5,16.5,14.4,37.8,49.4,46.6,20.4,10.0,55.0,U1313
University of Tunis,university of tunis,Tunisia,tunisia,,25.5,30.9,10.3,23.5,16.6,39.2,11.4,2.0,70.0,U2307
Tzu Chi University,tzu chi university,Taiwan,taiwan,,25.5,25.3,26.0,18.3,65.6,27.1,8.9,8.0,60.0,U2308
UNIR – International University of La Rioja,unir – international university of la rioja,Spain,spain,,25.5,11.9,13.9,38.0,15.6,58.6,36.0,37.0,62.0,U2309
Unisinos University,unisinos university,Brazil,brazil,,25.5,30.1,15.4,22.3,25.2,29.3,24.3,0.0,47.0,U2310
Universiti Tun Hussein Onn Malaysia (UTHM),universiti tun hussein onn malaysia (uthm),Malaysia,malaysia,,25.5,22.0,13.5,37.0,18.5,42.1,16.6,6.0,46.0,U2311
University of Valladolid,university of valladolid,Spain,spain,,25.5,25.1,14.4,37.9,43.8,38.1,10.7,6.0,56.0,U2312
Veltech University,veltech university,India,india,,25.5,17.9,9.1,44.4,16.0,27.7,14.4,2.0,16.0,U2313
University of Venda,university of venda,South Africa,south africa,,25.5,20.3,29.2,19.9,16.8,49.0,29.4,1.0,58.0,U2314
"Vietnam National University, Hanoi","vietnam national university, hanoi",Vietnam,vietnam,,25.5,20.9,11.2,46.8,19.1,48.9,15.9,1.0,63.0,U0898
Vilnius Gediminas Technical University (Vilnius Tech),vilnius gediminas technical university (vilnius tech),Lithuania,lithuania,,25.5,22.0,16.3,36.0,57.8,47.2,12.3,11.0,34.0,U2315
"Visvesvaraya National Institute of Technology, Nagpur","visvesvaraya national institute of technology, nagpur",India,india,,25.5,24.5,13.4,41.8,40.4,20.1,15.3,2.0,27.0,U2316
V.N. Karazin Kharkiv National University,v.n. karazin kharkiv national university,Ukraine,ukraine,,25.5,26.4,10.9,8.8,46.6,47.2,8.3,28.0,53.0,U2317
Volgograd State University,volgograd state university,Russian Federation,russian federation,,25.5,24.0,12.9,34.5,15.8,27.9,10.5,5.0,43.0,U2318
VSB - Technical University of Ostrava,vsb - technical university of ostrava,Czech Republic,czech republic,,25.5,26.8,19.7,27.8,31.0,46.9,14.7,13.0,33.0,U1198
Vytautas Magnus University,vytautas magnus university,Lithuania,lithuania,,25.5,22.4,12.3,27.4,20.9,61.9,11.2,15.0,61.0,U0752
Walailak University,walailak university,Thailand,thailand,,25.5,20.9,13.3,35.5,16.3,40.7,13.6,1.0,73.0,U2319
Warsaw University of Life Sciences – SGGW,warsaw university of life sciences – sggw,Poland,poland,,25.5,19.9,11.8,41.6,23.4,34.2,13.4,8.0,58.0,U2320
Warsaw University of Technology,warsaw university of technology,Poland,poland,,25.5,22.0,19.6,33.3,53.5,31.7,17.1,7.0,32.0,U0530
University of West Bohemia,university of west bohemia,Czech Republic,czech republic,,25.5,20.5,18.0,35.2,27.7,32.4,14.8,5.0,54.0,U1391
University of Western Macedonia,university of western macedonia,Greece,greece,,25.5,11.6,17.1,39.3,26.2,27.9,46.2,2.0,51.0,U2321
West University of Timişoara,west university of timişoara,Romania,romania,,25.5,24.3,13.7,40.2,17.4,34.9,23.9,6.0,64.0,U2322
Wrocław University of Environmental and Life Sciences,wrocław university of environmental and life sciences,Poland,poland,,25.5,19.1,13.9,34.3,49.8,29.6,16.7,4.0,67.0,U2323
Wrocław University of Science and Technology,wrocław university of science and technology,Poland,poland,,25.5,19.7,17.4,33.1,54.6,29.7,19.8,4.0,35.0,U2324
Wuhan Textile University,wuhan textile university,China,china,,25.5,15.0,11.0,46.2,36.7,23.5,15.8,1.0,50.0,U2325
Xiangtan University,xiangtan university,China,china,,25.5,17.0,15.9,49.0,33.7,21.8,20.6,0.0,50.0,U2326
Xuzhou Medical University,xuzhou medical university,China,china,,25.5,15.8,16.3,43.5,26.0,21.4,18.6,3.0,53.0,U2327
Yamagata University,yamagata university,Japan,japan,,25.5,28.0,15.3,24.8,72.2,32.3,8.8,2.0,34.0,U2328
Yamaguchi University,yamaguchi university,Japan,japan,,25.5,28.5,13.4,21.4,57.3,33.4,10.9,5.0,37.0,U1397
University of Yamanashi,university of yamanashi,Japan,japan,,25.5,27.8,13.1,25.9,45.4,29.0,6.2,5.0,30.0,U2329
Yarmouk University,yarmouk university,Jordan,jordan,,25.5,19.9,12.9,41.5,20.8,53.1,28.3,11.0,57.0,U1004
Yasouj University,yasouj university,Iran,iran,,25.5,14.7,14.5,52.3,20.1,22.4,25.8,0.0,54.0,U2330
Yokohama National University,yokohama national university,Japan,japan,,25.5,26.0,22.5,19.1,71.2,36.1,13.4,8.0,28.0,U1202
Yuan Ze University,yuan ze university,Taiwan,taiwan,,25.5,18.5,24.1,32.1,69.0,42.8,23.0,8.0,44.0,U1400
Yuriy Fedkovych Chernivtsi National University,yuriy fedkovych chernivtsi national university,Ukraine,ukraine,,25.5,22.8,9.9,8.2,17.6,26.3,10.4,1.0,56.0,U2331
University of Zambia,university of zambia,Zambia,zambia,,25.5,13.2,9.8,45.8,19.9,54.9,24.6,2.0,39.0,U2332
University of Zanjan,university of zanjan,Iran,iran,,25.5,17.1,12.3,42.6,21.5,27.3,23.5,0.0,53.0,U2333
Zanjan University of Medical Sciences,zanjan university of medical sciences,Iran,iran,,25.5,36.4,12.6,35.5,24.2,21.5,10.9,1.0,56.0,U2334
Zhejiang Chinese Medical University,zhejiang chinese medical university,China,china,,25.5,16.5,16.4,34.5,37.2,23.0,31.0,5.0,66.0,U2335
University of Zimbabwe,university of zimbabwe,Zimbabwe,zimbabwe,,25.5,12.9,12.7,37.3,20.9,50.8,22.5,0.0,42.0,U2336
Université 8 Mai 1945 Guelma,université 8 mai 1945 guelma,Algeria,algeria,,16.2,14.7,8.6,25.4,15.9,37.0,20.9,1.0,70.0,U2337
University Abdelhamid Ibn Badis Mostaganem,university abdelhamid ibn badis mostaganem,Algeria,algeria,,16.2,17.7,7.8,8.1,15.7,33.5,19.5,1.0,68.0,U2338
Abdelmalek Essaâdi University,abdelmalek essaâdi university,Morocco,morocco,,16.2,21.6,9.7,30.1,17.2,29.4,91.8,1.0,52.0,U2339
University of Abou Bekr Belkaïd Tlemcen,university of abou bekr belkaïd tlemcen,Algeria,algeria,,16.2,22.7,9.0,11.6,19.6,35.3,21.3,1.0,59.0,U2340
Acıbadem University,acıbadem university,Turkey,turkey,,16.2,25.8,12.0,22.7,24.2,30.3,5.7,3.0,73.0,U2341
Adelphi University,adelphi university,United States,united states,,16.2,24.1,7.7,26.1,16.4,33.0,11.1,7.0,70.0,U2342
Afe Babalola University,afe babalola university,Nigeria,nigeria,,16.2,23.4,11.6,17.2,24.6,43.6,10.7,1.0,57.0,U2343
Akita University,akita university,Japan,japan,,16.2,25.6,13.4,20.8,39.1,26.7,10.7,4.0,35.0,U2344
Aksaray University,aksaray university,Turkey,turkey,,16.2,11.6,8.8,23.5,26.8,28.0,22.2,8.0,49.0,U2345
Alexandru Ioan Cuza University,alexandru ioan cuza university,Romania,romania,,16.2,16.5,12.1,31.6,18.3,40.2,22.3,8.0,56.0,U1204
Altai State University,altai state university,Russian Federation,russian federation,,16.2,20.5,16.5,15.2,25.2,64.4,19.0,27.0,56.0,U0741
Alzahra University,alzahra university,Iran,iran,,16.2,25.4,15.3,24.6,19.6,31.0,28.4,3.0,100.0,U2346
University of Anbar,university of anbar,Iraq,iraq,,16.2,17.7,9.1,39.1,16.9,29.3,15.5,0.0,55.0,U2347
Universitas Andalas,universitas andalas,Indonesia,indonesia,,16.2,24.7,12.7,16.5,36.1,33.2,22.0,1.0,58.0,U1491
"University of the Andes, Venezuela","university of the andes, venezuela",Venezuela,venezuela,,16.2,21.9,8.6,8.8,27.7,50.2,10.1,2.0,61.0,U2348
Andhra University,andhra university,India,india,,16.2,38.2,10.4,18.7,26.1,24.1,14.8,5.0,46.0,U2349
Universidad Andrés Bello (UNAB),universidad andrés bello (unab),Chile,chile,,16.2,15.1,10.4,33.5,20.7,50.6,18.4,2.0,53.0,U2350
Ankara University,ankara university,Turkey,turkey,,16.2,18.2,11.6,30.5,36.6,34.4,27.6,6.0,53.0,U2351
Ankara Yildirim Beyazit University,ankara yildirim beyazit university,Turkey,turkey,,16.2,19.2,12.6,23.1,17.3,35.4,23.3,12.0,54.0,U2352
Annamalai University,annamalai university,India,india,,16.2,35.5,9.6,20.0,22.2,20.1,13.6,0.0,48.0,U2353
Antonio Nariño University,antonio nariño university,Colombia,colombia,,16.2,16.6,7.9,33.1,16.0,51.5,14.1,2.0,55.0,U2354
Aoyama Gakuin University,aoyama gakuin university,Japan,japan,,16.2,20.0,8.9,10.4,22.2,36.2,12.2,3.0,49.0,U1206
Arak University,arak university,Iran,iran,,16.2,19.5,11.2,32.7,20.1,26.3,18.7,5.0,58.0,U2355
Universidad Autónoma de Ciudad Juárez,universidad autónoma de ciudad juárez,Mexico,mexico,,16.2,15.6,8.0,10.2,17.5,37.3,15.0,2.0,56.0,U2356
Universidad Autónoma de Coahuila,universidad autónoma de coahuila,Mexico,mexico,,16.2,21.4,8.0,12.8,18.1,34.4,29.6,0.0,58.0,U2357
Universidad Autónoma del Estado de Hidalgo,universidad autónoma del estado de hidalgo,Mexico,mexico,,16.2,19.2,9.6,11.1,18.1,26.4,19.5,0.0,58.0,U2358
Universidad Autónoma del Estado de Mexico (UAEMex),universidad autónoma del estado de mexico (uaemex),Mexico,mexico,,16.2,22.2,9.3,7.7,17.4,26.9,10.6,1.0,59.0,U2359
Universidad Autónoma del Estado de Morelos,universidad autónoma del estado de morelos,Mexico,mexico,,16.2,17.1,9.1,9.1,28.8,27.4,17.4,0.0,56.0,U2360
Universidad Autónoma de Nuevo León (UANL),universidad autónoma de nuevo león (uanl),Mexico,mexico,,16.2,13.3,9.1,17.1,19.8,33.4,48.0,0.0,47.0,U2361
Universidad Autónoma de Querétaro,universidad autónoma de querétaro,Mexico,mexico,,16.2,19.1,10.5,19.1,23.7,30.0,45.2,1.0,57.0,U2362
Universidad Autónoma de Yucatán,universidad autónoma de yucatán,Mexico,mexico,,16.2,14.9,10.0,14.6,24.1,33.6,19.6,0.0,50.0,U2363
Autonomous University of Baja California,autonomous university of baja california,Mexico,mexico,,16.2,13.0,9.0,12.6,17.0,35.7,21.7,3.0,54.0,U2364
Badji Mokhtar University – Annaba,badji mokhtar university – annaba,Algeria,algeria,,16.2,34.1,16.2,12.5,16.9,35.0,11.9,2.0,63.0,U2365
University of Baghdad,university of baghdad,Iraq,iraq,,16.2,25.1,12.6,19.8,28.5,20.2,13.3,0.0,57.0,U0841
Baku State University,baku state university,Azerbaijan,azerbaijan,,16.2,20.1,8.6,13.8,19.7,35.5,13.2,2.0,66.0,U0956
Başkent University,başkent university,Turkey,turkey,,16.2,20.0,12.2,15.7,29.1,22.0,13.3,3.0,49.0,U2366
University of Basrah,university of basrah,Iraq,iraq,,16.2,23.4,7.8,14.6,16.2,26.1,11.7,0.0,55.0,U1366
University of Batna 2,university of batna 2,Algeria,algeria,,16.2,17.5,7.9,12.2,15.9,30.4,23.7,1.0,51.0,U2367
University of Béjaïa,university of béjaïa,Algeria,algeria,,16.2,13.8,8.3,14.4,20.9,44.9,23.7,1.0,61.0,U2368
Belgorod State National Research University,belgorod state national research university,Russian Federation,russian federation,,16.2,23.4,13.7,10.6,34.1,42.3,15.6,20.0,60.0,U2369
Benemérita Universidad Autónoma de Puebla,benemérita universidad autónoma de puebla,Mexico,mexico,,16.2,15.6,9.5,17.1,19.4,37.7,45.2,1.0,52.0,U1213
University of Benin,university of benin,Nigeria,nigeria,,16.2,15.5,5.7,35.0,16.4,34.7,25.8,0.0,49.0,U2370
Bernardo O’Higgins University,bernardo o’higgins university,Chile,chile,,16.2,13.9,10.3,10.7,20.9,54.0,18.6,6.0,68.0,U2371
Bharath Institute of Higher Education and Research,bharath institute of higher education and research,India,india,,16.2,21.1,7.3,30.2,21.2,35.9,14.0,2.0,56.0,U2372
Bharati Vidyapeeth University,bharati vidyapeeth university,India,india,,16.2,24.8,9.4,13.5,30.4,18.8,7.3,0.0,50.0,U2373
Bialystok University of Technology,bialystok university of technology,Poland,poland,,16.2,23.0,14.9,23.1,20.6,24.3,10.8,3.0,36.0,U2374
Bilecik Şeyh Edebali University,bilecik şeyh edebali university,Turkey,turkey,,16.2,14.5,9.5,22.8,17.8,32.0,16.3,13.0,40.0,U2375
University of Bío-Bío,university of bío-bío,Chile,chile,,16.2,12.9,12.8,13.9,19.1,46.7,25.5,1.0,43.0,U2376
University of Birjand,university of birjand,Iran,iran,,16.2,11.1,9.5,26.7,16.8,26.2,36.9,4.0,53.0,U2377
University of Biskra,university of biskra,Algeria,algeria,,16.2,16.3,8.6,19.3,15.9,38.1,21.5,0.0,64.0,U2378
Blida 1 University,blida 1 university,Algeria,algeria,,16.2,19.6,8.6,14.9,16.7,36.8,20.4,1.0,64.0,U2379
Bolu Abant Izzet Baysal University,bolu abant izzet baysal university,Turkey,turkey,,16.2,15.6,9.3,29.2,17.4,32.4,22.1,9.0,55.0,U2380
Bozok University,bozok university,Turkey,turkey,,16.2,16.1,9.4,30.3,16.9,28.9,14.4,5.0,51.0,U2381
University of Brawijaya,university of brawijaya,Indonesia,indonesia,,16.2,20.5,9.9,17.2,20.4,25.7,14.4,1.0,56.0,U2382
Burapha University,burapha university,Thailand,thailand,,16.2,16.0,9.8,10.3,20.9,27.6,17.4,2.0,66.0,U2383
Bursa Technical University,bursa technical university,Turkey,turkey,,16.2,13.7,9.4,30.4,18.5,29.7,18.5,8.0,48.0,U2384
Bursa Uludağ University,bursa uludağ university,Turkey,turkey,,16.2,18.8,10.4,20.0,31.0,32.3,24.2,10.0,50.0,U2385
University of Caldas,university of caldas,Colombia,colombia,,16.2,10.1,11.0,9.0,53.2,32.2,58.2,0.0,49.0,U2386
Çankırı Karatekin University,çankırı karatekin university,Turkey,turkey,,16.2,12.5,9.5,22.7,15.6,41.0,19.9,20.0,53.0,U2387
Catholic University of Brasília,catholic university of brasília,Brazil,brazil,,16.2,15.4,10.5,11.7,19.0,35.7,22.6,0.0,53.0,U2388
Catholic University of the North,catholic university of the north,Chile,chile,,16.2,14.2,15.2,29.0,18.2,58.0,20.3,3.0,46.0,U2389
Universidad Católica del Maule,universidad católica del maule,Chile,chile,,16.2,13.4,13.4,19.3,15.8,57.5,21.1,3.0,58.0,U2390
Universidad Católica de la Santísima Concepción,universidad católica de la santísima concepción,Chile,chile,,16.2,13.2,14.9,22.9,16.9,48.9,22.9,0.0,56.0,U2391
University of Caxias do Sul,university of caxias do sul,Brazil,brazil,,16.2,15.9,9.4,11.8,22.3,21.6,30.4,0.0,53.0,U2392
Ceará State University,ceará state university,Brazil,brazil,,16.2,21.1,11.4,8.9,17.9,20.2,14.7,0.0,54.0,U2393
Manisa Celal Bayar University,manisa celal bayar university,Turkey,turkey,,16.2,14.9,5.2,21.6,16.7,22.0,17.9,3.0,48.0,U2394
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca (CEFET-RJ),centro federal de educação tecnológica celso suckow da fonseca (cefet-rj),Brazil,brazil,,16.2,12.4,9.7,18.2,16.7,30.6,21.0,0.0,38.0,U2395
CES University,ces university,Colombia,colombia,,16.2,19.2,9.1,5.8,16.4,37.1,13.6,3.0,69.0,U2396
Chaoyang University of Technology,chaoyang university of technology,Taiwan,taiwan,,16.2,14.1,18.2,28.2,47.0,38.9,37.5,5.0,55.0,U1218
College of Charleston,college of charleston,United States,united states,,16.2,17.4,7.9,30.4,23.2,29.8,16.3,1.0,68.0,U2397
Chelyabinsk State University,chelyabinsk state university,Russian Federation,russian federation,,16.2,12.3,10.7,10.7,17.0,25.9,24.3,2.0,62.0,U2398
Chiba Institute of Technology,chiba institute of technology,Japan,japan,,16.2,14.8,8.8,13.0,26.1,20.9,24.4,2.0,15.0,U2399
Chinese Culture University,chinese culture university,Taiwan,taiwan,,16.2,13.9,10.0,16.8,26.1,29.8,23.5,6.0,50.0,U2400
Université Chouaïb Doukkali,université chouaïb doukkali,Morocco,morocco,,16.2,13.4,10.8,28.8,18.9,26.7,34.5,2.0,58.0,U2401
Chubu University,chubu university,Japan,japan,,16.2,17.1,11.9,15.9,33.4,34.1,17.1,2.0,27.0,U2402
Chuo University,chuo university,Japan,japan,,16.2,18.7,12.7,15.5,27.2,30.4,35.6,4.0,38.0,U2403
University of Colima,university of colima,Mexico,mexico,,16.2,21.6,8.0,12.4,20.0,31.6,9.3,0.0,55.0,U2404
Comillas Pontifical University,comillas pontifical university,Spain,spain,,16.2,18.3,15.7,26.3,31.4,44.2,21.0,7.0,55.0,U2405
Communication University of China,communication university of china,China,china,,16.2,27.5,17.3,15.5,37.6,23.4,15.3,3.0,70.0,U2406
Cracow University of Technology,cracow university of technology,Poland,poland,,16.2,21.2,10.7,30.4,28.2,27.3,12.2,5.0,36.0,U2407
University of Craiova,university of craiova,Romania,romania,,16.2,18.3,11.5,25.2,18.4,24.0,20.9,4.0,50.0,U1496
Damghan University,damghan university,Iran,iran,,16.2,17.7,11.4,27.0,17.9,27.9,15.9,0.0,69.0,U2408
University of Dar es Salaam,university of dar es salaam,Tanzania,tanzania,,16.2,14.4,10.3,28.2,21.7,49.5,21.1,0.0,47.0,U2409
De La Salle University,de la salle university,Philippines,philippines,,16.2,19.6,12.8,31.3,17.4,29.3,14.5,3.0,50.0,U0645
University for Development Studies,university for development studies,Ghana,ghana,,16.2,11.1,9.9,31.1,18.9,51.5,27.4,0.0,43.0,U2410
Dicle University,dicle university,Turkey,turkey,,16.2,30.3,16.9,12.7,53.0,21.9,17.5,4.0,45.0,U2411
Diponegoro University,diponegoro university,Indonesia,indonesia,,16.2,27.1,15.4,19.1,42.9,35.1,18.0,2.0,56.0,U0726
Dokkyo Medical University,dokkyo medical university,Japan,japan,,16.2,26.7,10.3,22.0,37.9,19.1,1.2,1.0,53.0,U2412
Doshisha University,doshisha university,Japan,japan,,16.2,17.9,10.9,11.1,30.7,35.5,18.6,4.0,42.0,U1228
Dumlupinar University,dumlupinar university,Turkey,turkey,,16.2,10.9,7.8,23.3,19.8,38.5,44.4,19.0,40.0,U2413
Dunarea de Jos University of Galati,dunarea de jos university of galati,Romania,romania,,16.2,19.8,9.2,17.5,16.4,46.1,16.0,22.0,58.0,U2414
EAFIT University,eafit university,Colombia,colombia,,16.2,17.0,11.0,16.5,16.5,44.7,18.8,1.0,44.0,U2415
El Bosque University,el bosque university,Colombia,colombia,,16.2,23.7,9.3,20.0,16.9,46.6,6.8,2.0,62.0,U2416
Erzincan Binali Yıldırım University,erzincan binali yıldırım university,Turkey,turkey,,16.2,12.0,8.7,37.6,16.6,23.7,21.9,4.0,49.0,U2417
Escuela Politécnica Nacional,escuela politécnica nacional,Ecuador,ecuador,,16.2,18.2,9.4,29.0,18.6,52.1,13.2,1.0,28.0,U1230
Eskişehir Osmangazi University,eskişehir osmangazi university,Turkey,turkey,,16.2,21.5,16.6,20.5,19.2,27.0,17.5,7.0,45.0,U2418
Universidade do Estado de Santa Catarina,universidade do estado de santa catarina,Brazil,brazil,,16.2,26.5,11.0,15.7,17.0,21.2,11.5,1.0,54.0,U1484
Universidade Estadual do Norte Fluminense Darcy Ribeiro,universidade estadual do norte fluminense darcy ribeiro,Brazil,brazil,,16.2,21.1,10.9,21.6,22.3,34.5,22.8,0.0,61.0,U2419
Universidade Estadual de Maringá,universidade estadual de maringá,Brazil,brazil,,16.2,28.9,13.8,20.2,21.2,22.0,12.2,0.0,53.0,U2420
Universidade Estadual do Oeste do Paraná (Unioeste),universidade estadual do oeste do paraná (unioeste),Brazil,brazil,,16.2,27.6,9.8,7.4,17.2,20.4,9.9,0.0,60.0,U2421
"Federal University of Agriculture, Abeokuta","federal university of agriculture, abeokuta",Nigeria,nigeria,,16.2,15.6,8.0,24.5,17.0,31.4,26.5,0.0,52.0,U2422
Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),universidade federal de ciências da saúde de porto alegre (ufcspa),Brazil,brazil,,16.2,21.2,12.8,25.1,21.2,26.1,11.6,1.0,70.0,U2423
Federal University of Itajubá,federal university of itajubá,Brazil,brazil,,16.2,17.7,9.6,21.3,20.5,28.0,17.3,1.0,30.0,U2424
Universidade Federal de Juiz de Fora,universidade federal de juiz de fora,Brazil,brazil,,16.2,18.5,12.1,27.5,18.6,29.8,16.6,0.0,50.0,U2425
Universidade Federal do Maranhão (UFMA),universidade federal do maranhão (ufma),Brazil,brazil,,16.2,15.2,10.3,14.5,18.7,23.2,19.2,0.0,51.0,U2426
Federal University of Mato Grosso do Sul,federal university of mato grosso do sul,Brazil,brazil,,16.2,21.4,11.7,22.3,33.0,28.9,15.0,1.0,55.0,U2427
Universidade Federal de Ouro Preto (UFOP),universidade federal de ouro preto (ufop),Brazil,brazil,,16.2,22.1,12.0,20.7,25.5,24.7,16.3,1.0,49.0,U2428
Federal University of Pará,federal university of pará,Brazil,brazil,,16.2,22.6,11.7,21.3,21.7,26.8,17.7,0.0,52.0,U2429
Federal Rural University of Pernambuco,federal rural university of pernambuco,Brazil,brazil,,16.2,25.0,11.0,19.1,20.0,23.4,12.3,0.0,49.0,U2430
Universidade Federal Rural do Semi-Arido,universidade federal rural do semi-arido,Brazil,brazil,,16.2,19.1,9.0,5.7,16.6,18.3,12.4,0.0,49.0,U2431
Universidade Federal de Sergipe,universidade federal de sergipe,Brazil,brazil,,16.2,17.0,10.4,36.4,18.1,28.1,16.0,0.0,52.0,U2432
Fluminense Federal University,fluminense federal university,Brazil,brazil,,16.2,21.0,13.1,27.8,22.5,30.8,20.8,1.0,47.0,U2433
University of Fortaleza (UNIFOR),university of fortaleza (unifor),Brazil,brazil,,16.2,14.3,9.4,33.6,16.9,37.8,20.3,0.0,51.0,U2434
Université Frères Mentouri Constantine 1,université frères mentouri constantine 1,Algeria,algeria,,16.2,20.2,8.1,13.5,18.2,38.3,16.2,1.0,65.0,U2435
Universidad de las Fuerzas Armadas – ESPE,universidad de las fuerzas armadas – espe,Ecuador,ecuador,,16.2,15.9,8.6,11.6,16.3,40.6,14.5,1.0,39.0,U2436
University of Fukui,university of fukui,Japan,japan,,16.2,26.0,12.4,16.4,37.9,26.5,7.6,2.0,27.0,U2437
Fukuoka University,fukuoka university,Japan,japan,,16.2,23.5,9.7,17.9,37.1,24.4,8.7,1.0,40.0,U2438
Université de Gabès,université de gabès,Tunisia,tunisia,,16.2,20.8,9.4,28.9,16.7,42.8,12.4,1.0,74.0,U2439
Gaziantep University,gaziantep university,Turkey,turkey,,16.2,15.6,10.8,33.0,20.1,39.5,38.1,12.0,47.0,U2440
Georgian Technical University,georgian technical university,Georgia,georgia,,16.2,32.4,9.3,22.2,16.1,40.8,15.0,2.0,1.0,U0908
German University in Cairo,german university in cairo,Egypt,egypt,,16.2,18.6,8.7,34.0,16.8,48.6,12.8,2.0,43.0,U1235
Gheorghe Asachi Technical University of Iaşi,gheorghe asachi technical university of iaşi,Romania,romania,,16.2,15.9,9.6,23.2,26.2,32.1,20.8,9.0,29.0,U2441
GITAM University,gitam university,India,india,,16.2,19.6,9.3,20.8,19.0,25.2,13.9,1.0,37.0,U2442
Goa University,goa university,India,india,,16.2,32.1,12.4,23.0,18.6,24.1,11.8,3.0,65.0,U2443
Grigore T. Popa University of Medicine and Pharmacy,grigore t. popa university of medicine and pharmacy,Romania,romania,,16.2,22.5,10.1,18.9,22.5,42.1,10.8,26.0,68.0,U2444
University of Guadalajara,university of guadalajara,Mexico,mexico,,16.2,16.3,8.8,13.7,18.0,31.2,19.3,0.0,55.0,U2445
University of Guanajuato,university of guanajuato,Mexico,mexico,,16.2,16.2,9.3,13.4,20.5,36.4,21.4,2.0,55.0,U2446
Gubkin Russian State University of Oil and Gas,gubkin russian state university of oil and gas,Russian Federation,russian federation,,16.2,23.4,10.5,12.5,38.2,26.8,12.2,7.0,33.0,U2447
Hanoi University of Science and Technology,hanoi university of science and technology,Vietnam,vietnam,,16.2,15.7,15.7,27.4,43.4,39.7,34.1,0.0,20.0,U1236
Hasanuddin University,hasanuddin university,Indonesia,indonesia,,16.2,18.8,11.2,25.8,27.5,19.8,16.6,0.0,51.0,U2448
Université Hassan 1er,université hassan 1er,Morocco,morocco,,16.2,24.9,10.3,19.2,16.6,23.6,88.2,2.0,48.0,U2449
Hassiba Benbouali University of Chlef,hassiba benbouali university of chlef,Algeria,algeria,,16.2,15.5,12.3,20.7,32.7,41.9,22.0,1.0,72.0,U2450
University of Havana,university of havana,Cuba,cuba,,16.2,28.1,11.8,10.8,33.9,53.0,9.0,5.0,64.0,U2451
Hellenic Open University,hellenic open university,Greece,greece,,16.2,22.4,8.5,34.2,15.8,26.2,6.8,1.0,60.0,U2452
Herzen State Pedagogical University of Russia,herzen state pedagogical university of russia,Russian Federation,russian federation,,16.2,20.2,11.5,9.8,17.6,39.2,15.4,18.0,75.0,U2453
Hindustan Institute of Technology and Science,hindustan institute of technology and science,India,india,,16.2,21.9,9.3,33.6,16.3,23.4,11.3,1.0,47.0,U2454
Hitit University,hitit university,Turkey,turkey,,16.2,15.2,9.8,15.1,16.5,22.8,22.6,4.0,48.0,U2455
Hosei University,hosei university,Japan,japan,,16.2,15.2,11.0,34.0,23.9,38.3,37.7,5.0,38.0,U2456
