University,Country,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,QS_International_Research_Network,QS_Employment_Outcomes,QS_Sustainability,QS_Normalized_Rank,THE_Rank,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,THE_Number_Students,THE_Student_Staff_Ratio,THE_International_Students,THE_Female_Male_Ratio,THE_Year,THE_Normalized_Rank,THE_Female_Percentage,THE_Male_Percentage
The University of Sydney,Australia,18.0,87.3,96.4,90.0,10.9,93.7,99.9,100.0,95.8,93.1,99.6,97.14285714285714,61.0,73.72449999999999,53.2,67.7,92.1,99.5,90.5,53079.0,27.5,51.0,57 : 43,2025,97.13055954088952,57,43
The University of Tennessee Knoxville,United States,481.0,25.0,10.1,8.2,9.5,76.3,4.9,2.4,77.3,11.0,15.0,19.327731092436977,351.0,51.03049999999999,37.8,31.8,79.1,71.0,54.5,29284.0,17.3,4.0,,2025,83.26159732185558,,
The University of Tokyo,Japan,32.0,82.1,100.0,99.8,89.3,57.3,10.1,29.7,87.4,99.9,98.3,94.78991596638654,28.0,83.3475,94.1,94.2,68.3,100.0,50.4,26438.0,10.4,17.0,,2025,98.70875179340028,,
The University of Warwick,United Kingdom,69.0,68.2,72.2,86.4,35.5,37.7,98.1,99.1,94.2,65.7,89.7,88.57142857142857,106.0,65.75250000000001,47.9,51.5,89.0,69.3,96.2,25490.0,14.2,45.0,50 : 50,2025,94.97847919655668,50,50
The University of Western Australia,Australia,77.0,65.2,55.5,41.8,13.1,98.8,100.0,99.8,94.2,78.0,50.8,87.22689075630252,149.0,62.026,37.8,47.2,87.6,98.3,93.0,19214.0,22.9,26.0,51 : 49,2025,92.9220468675275,51,49
Tianjin University,China,269.0,38.6,17.2,13.5,38.8,99.5,24.8,25.4,65.2,32.4,16.9,54.957983193277315,213.0,57.9405,46.8,47.7,73.4,99.6,57.3,27081.0,8.9,15.0,,2025,89.86131037780966,,
Tilburg University,Netherlands,347.0,32.8,14.7,32.5,10.5,55.1,98.4,60.6,56.8,14.3,15.2,41.84873949579832,302.0,53.64849999999999,28.2,43.8,76.6,80.5,85.7,12738.0,24.5,23.0,52 : 48,2025,85.6049736967958,52,48
Tohoku University,Japan,107.0,58.8,73.8,82.8,97.8,23.9,14.1,11.4,68.3,22.6,78.6,82.18487394957982,120.0,64.9615,69.0,69.6,53.1,100.0,59.9,17218.0,12.3,12.0,28 : 72,2025,94.3089430894309,28,72
Tokyo Institute of Technology,Japan,84.0,63.7,75.1,94.1,84.1,43.1,23.4,30.5,61.2,23.7,62.2,86.05042016806723,195.0,59.1255,61.1,63.9,47.5,100.0,57.6,9908.0,9.9,16.0,16 : 84,2025,90.7221425155428,16,84
Tomsk State University,Russian Federation,431.0,27.6,22.0,13.5,99.0,4.2,21.6,91.6,64.1,4.4,1.4,27.73109243697479,591.0,43.58449999999999,51.3,40.9,28.7,55.5,76.8,7996.0,11.6,37.0,,2025,71.78383548541369,,
Tongji University,China,192.0,46.9,31.8,16.9,29.1,96.9,54.5,26.5,72.9,24.0,81.4,67.89915966386555,154.0,61.7365,51.6,53.3,72.8,99.0,70.1,31767.0,11.3,20.0,41 : 59,2025,92.6829268292683,41,59
Tsinghua University,China,20.0,86.5,99.2,97.7,95.0,99.1,18.1,13.4,79.2,92.3,40.4,96.80672268907563,12.0,92.464,95.4,98.4,93.5,100.0,49.8,38289.0,11.0,9.0,,2025,99.47393591582974,,
Tufts University,United States,344.0,32.9,16.9,7.7,53.5,45.7,23.5,38.1,60.2,56.1,81.0,42.35294117647059,179.0,59.854,50.7,36.3,89.1,72.7,63.1,12647.0,11.0,17.0,58 : 42,2025,91.48732663797226,58,42
UCL,United Kingdom,9.0,91.6,99.5,98.3,95.9,72.2,99.0,100.0,99.9,70.3,74.8,98.65546218487395,22.0,87.73349999999999,77.6,86.2,98.4,74.9,97.7,41935.0,11.1,61.0,60 : 40,2025,98.99569583931134,60,40
Ulsan National Institute of Science and Technology,South Korea,280.0,38.0,13.6,13.5,87.9,98.1,29.3,9.6,24.8,3.3,16.1,53.109243697478995,218.0,57.662,48.0,39.8,83.2,97.0,41.6,3803.0,11.6,9.0,28 : 72,2025,89.62219033955046,28,72
