university_id,university_name,country_name,openalex_id,openalex_display_name,openalex_country_code,openalex_country,openalex_ror,openalex_works_count,openalex_works_2023,openalex_works_2024,openalex_works_2025
U0082,the university of adelaide,Australia,https://openalex.org/I5681781,The University of Adelaide,AU,Australia,https://ror.org/00892tw58,153892.0,8422.0,8948.0,8924.0
U0083,university of leeds,United Kingdom,https://openalex.org/I130828816,University of Leeds,GB,United Kingdom,https://ror.org/024mrxd33,198718.0,10168.0,10423.0,10494.0
U0084,ruprecht-karls-universität heidelberg,Germany,https://openalex.org/I223822909,Heidelberg University,DE,Germany,https://ror.org/038t36y30,323850.0,16986.0,15837.0,16105.0
U0085,tokyo institute of technology (tokyo tech),Japan,https://openalex.org/I114531698,Tokyo Institute of Technology,JP,Japan,https://ror.org/0112mx960,168189.0,6448.0,4961.0,3516.0
U0086,osaka university,Japan,https://openalex.org/I98285908,The University of Osaka,JP,Japan,https://ror.org/035t8zc32,292178.0,9790.0,9592.0,8780.0
U0087,"trinity college dublin, the university of dublin",Ireland,https://openalex.org/I205274468,Trinity College Dublin,IE,Ireland,https://ror.org/02tyrky19,99352.0,6038.0,6088.0,5873.0
U0088,university of technology sydney,Australia,https://openalex.org/I114017466,University of Technology Sydney,AU,Australia,https://ror.org/03f0f6041,101292.0,7034.0,6974.0,7033.0
U0089,durham university,United Kingdom,,,,,,,,,
U0090,pennsylvania state university,United States,,,,,,,,,
U0091,purdue university,United States,,,,,,,,,
U0092,universidade de são paulo,Brazil,,,,,,,,,
U0093,pontificia universidad católica de chile (uc),Chile,,,,,,,,,
U0094,lomonosov moscow state university,Russia,,,,,,,,,
U0095,universidad nacional autónoma de méxico (unam),Mexico,,,,,,,,,
U0096,university of alberta,Canada,,,,,,,,,
U0097,freie universitaet berlin,Germany,,,,,,,,,
U0098,pohang university of science and technology (postech),South Korea,,,,,,,,,
U0099,rwth aachen university,Germany,,,,,,,,,
U0100,university of copenhagen,Denmark,,,,,,,,,
U0101,king fahd university of petroleum & minerals,Saudi Arabia,,,,,,,,,
U0102,"kit, karlsruhe institute of technology",Germany,,,,,,,,,
U0103,uppsala university,Sweden,,,,,,,,,
U0104,university of st andrews,United Kingdom,,,,,,,,,
U0105,the university of sheffield,United Kingdom,,,,,,,,,
U0106,utrecht university,Netherlands,,,,,,,,,
U0107,tohoku university,Japan,,,,,,,,,
U0108,university of nottingham,United Kingdom,,,,,,,,,
