university_id,university_name,country_code,country_name,country_name_canonical,wb_country_code,wb_region,wb_income_group
U0200,arizona state university,US,United States,united states,USA,North America,High income: OECD
U0201,king saud university,SA,Saudi Arabia,saudi arabia,SAU,Middle East & North Africa,High income: nonOECD
U0202,american university of sharjah,AE,United Arab Emirates,united arab emirates,ARE,Middle East & North Africa,High income: nonOECD
U0203,université catholique de louvain (uclouvain),BE,Belgium,belgium,BEL,Europe & Central Asia,High income: OECD
U0204,university of minnesota twin cities,US,United States,united states,USA,North America,High income: OECD
U0205,ecole des ponts paristech,FR,France,france,FRA,Europe & Central Asia,High income: OECD
U0206,queen's university belfast,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0207,universitas indonesia,ID,Indonesia,indonesia,IDN,East Asia & Pacific,Lower middle income
U0208,the ohio state university,US,United States,united states,USA,North America,High income: OECD
U0209,tel aviv university,IL,Israel,israel,ISR,Middle East & North Africa,High income: OECD
U0210,national tsing hua university,TW,Taiwan,taiwan,,,
U0211,indian institute of science,IN,India,india,IND,South Asia,Lower middle income
U0212,albert-ludwigs-universitaet freiburg,DE,Germany,germany,DEU,Europe & Central Asia,High income: OECD
U0213,queensland university of technology (qut),AU,Australia,australia,AUS,East Asia & Pacific,High income: OECD
U0214,university of otago,NZ,New Zealand,new zealand,NZL,East Asia & Pacific,High income: OECD
U0215,national cheng kung university (ncku),TW,Taiwan,taiwan,,,
U0216,university of florida,US,United States,united states,USA,North America,High income: OECD
U0217,la trobe university,AU,Australia,australia,AUS,East Asia & Pacific,High income: OECD
U0218,"university of maryland, college park",US,United States,united states,USA,North America,High income: OECD
U0219,national yang ming chiao tung university,TW,Taiwan,taiwan,,,
U0220,universidad nacional de colombia,CO,Colombia,colombia,COL,Latin America & Caribbean,Upper middle income
U0221,vrije universiteit amsterdam,NL,Netherlands,netherlands,NLD,Europe & Central Asia,High income: OECD
U0222,eberhard karls universität tübingen,DE,Germany,germany,DEU,Europe & Central Asia,High income: OECD
U0223,indian institute of technology kharagpur (iit-kgp),IN,India,india,IND,South Asia,Lower middle income
U0224,friedrich-alexander-universität erlangen-nürnberg,DE,Germany,germany,DEU,Europe & Central Asia,High income: OECD
U0225,loughborough university,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0226,university of lausanne,CH,Switzerland,switzerland,CHE,Europe & Central Asia,High income: OECD
