University Rank,Name of University,Location,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score,University_Name_Standardized,Country_Standardized,Country_ID,University_ID
151,Penn State (Main campus),United States,"46,863",14.0,16%,47 : 53,57.7,47.8,53.8,75.2,41.6,48.3,penn state main campus,united states,C110,U0152
151,Tufts University,United States,"11,399",10.0,16%,56 : 44,57.7,47.1,36.7,92.2,43.4,51.4,tufts university,united states,C110,U0153
154,University of Rochester,United States,"10,364",7.7,36%,50 : 50,57.6,42.0,40.5,87.0,49.3,73.8,university of rochester,united states,C110,U0154
155,KTH Royal Institute of Technology,Sweden,"13,329",16.4,20%,34 : 66,57.5,43.5,53.8,68.4,68.1,81.1,kth royal institute of technology,sweden,C098,U0155
156,Arizona State University (Tempe),,"50,027",19.6,17%,45 : 55,57.4,44.8,47.9,79.6,40.2,62.5,arizona state university tempe,,,U0156
156,Technical University of Berlin,Germany,"20,243",48.1,27%,35 : 65,57.4,48.8,55.7,62.0,92.6,67.8,technical university of berlin,germany,C033,U0157
156,TU Dresden,Germany,"30,382",30.8,16%,45 : 55,57.4,48.8,50.7,69.1,92.4,60.5,tu dresden,germany,C033,U0158
156,University of Virginia (Main campus),United States,"25,810",9.0,13%,53 : 47,57.4,48.1,39.8,86.6,45.8,52.5,university of virginia main campus,united states,C110,U0159
160,University of Cape Town,,"21,069",12.8,15%,54 : 46,57.2,33.9,43.8,88.7,53.3,78.8,university of cape town,,,U0160
161,University of Bologna,,"69,831",24.4,12%,56 : 44,57.0,52.1,40.8,80.2,46.4,51.6,university of bologna,,,U0161
161,Trinity College Dublin,,"17,764",21.0,28%,60 : 40,57.0,36.0,47.3,79.4,47.1,93.7,trinity college dublin,,,U0162
163,University of Leicester,United Kingdom,"14,650",14.1,34%,54 : 46,56.9,31.4,32.9,98.7,41.9,92.5,university of leicester,united kingdom,C109,U0163
163,Pohang University of Science and Technology (POSTECH),,"3,260",10.0,3%,,56.9,54.7,51.4,67.7,96.2,31.8,pohang university of science and technology postech,,,U0164
166,Southern University of Science and Technology (SUSTech),,"5,137",8.8,1%,,56.8,29.8,42.9,95.5,77.9,59.0,southern university of science and technology sustech,,,U0165
166,Technical University of Denmark,Denmark,"9,599",6.9,26%,32 : 68,56.8,40.4,44.9,73.2,86.0,94.0,technical university of denmark,denmark,C024,U0166
168,Medical University of Graz,Austria,"3,722",14.1,27%,53 : 47,56.6,29.4,34.4,96.8,98.1,79.0,medical university of graz,austria,C006,U0167
168,"Northeastern University, US",United States,"21,211",14.6,36%,48 : 52,56.6,39.9,30.2,96.2,40.1,76.3,northeastern university us,united states,C110,U0168
170,Indiana University,United States,"66,637",12.6,13%,53 : 47,56.5,45.5,39.4,85.5,53.6,54.3,indiana university,united states,C110,U0169
170,UniversitÃ© Catholique de Louvain,Belgium,"24,523",36.0,20%,54 : 46,56.5,39.9,50.4,72.8,57.7,82.3,universitã catholique de louvain,belgium,C009,U0170
170,Sungkyunkwan University (SKKU),,"23,399",19.4,18%,,56.5,52.8,54.0,59.4,98.3,56.4,sungkyunkwan university skku,,,U0171
173,Wuhan University,China,"55,412",15.2,6%,,56.4,43.5,40.5,89.2,69.4,35.3,wuhan university,china,C017,U0172
174,Ulsan National Institute of Science and Technology (UNIST),,"3,896",13.6,9%,27 : 73,56.3,41.3,42.0,85.9,89.9,43.7,ulsan national institute of science and technology unist,,,U0173
175,Macquarie University,Australia,"30,561",69.0,27%,52 : 48,56.2,38.7,44.6,76.1,64.9,89.8,macquarie university,australia,C005,U0174
176,Huazhong University of Science and Technology,China,"57,167",16.2,4%,,56.1,42.2,42.6,88.8,83.2,25.5,huazhong university of science and technology,china,C017,U0175
176,University of Liverpool,,"26,350",14.2,36%,55 : 45,56.1,33.2,37.7,89.4,39.6,94.1,university of liverpool,,,U0176
176,Stockholm University,Sweden,"30,365",20.7,7%,,56.1,29.7,50.4,87.1,38.3,66.3,stockholm university,sweden,C098,U0177
179,University of Mannheim,Germany,"7,684",58.2,13%,,56.0,40.0,48.2,79.0,61.0,57.4,university of mannheim,germany,C033,U0178
180,University of Arizona,United States,"39,797",17.0,9%,54 : 46,55.9,45.8,47.0,78.7,52.1,41.3,university of arizona,united states,C110,U0179
181,Texas A&M University,United States,"62,931",21.3,8%,47 : 53,55.8,50.2,54.8,63.2,45.1,56.0,texas am university,united states,C110,U0180
