RANK_2025,RANK_2024,Institution_Name,Location,Region,SIZE,FOCUS,RES.,STATUS,Academic_Reputation_Score,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Score,Faculty_Student_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_Rank,International_Students_Score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,Overall_Score,RANK_2025_Original,Rank_Type,University_Name_Standardized,Country_Standardized,Country_ID,University_ID
485,,American University of Ras Al Khaimah ( AURAK ),United Arab Emirates,Asia,S,FO,VH,A,4.6,601+,3.3,601+,35.5,446,46.8,293,100.0,10,100.0,15,15.4,701+,4.1,701+,1.1,701+,24.8,485,Exact,american university of ras al khaimah aurak ,united arab emirates,C100,U0035
485,505,National Sun Yat-sen University,Taiwan,Asia,M,CO,VH,A,26.5,334,24.9,383,32.0,493,22.1,529,22.7,563,10.8,701+,35.6,701+,11.4,701+,48.9,324=,24.8,485,Exact,national sun yatsen university,taiwan,C094,U0515
487,454,Universität Mannheim,Germany,Europe,M,FO,VH,A,15.3,572,53.9,157,3.0,701+,31.0,427,42.4,406,22.7,506,27.9,701+,34.9,363,1.5,701+,24.7,487,Exact,universität mannheim,germany,C033,U1397
488,386,University of Hawai?i at Manoa,United States,Americas,L,FC,VH,A,15.2,576,6.6,601+,29.7,525,41.7,332,41.7,412,12.0,679,82.9,278,7.9,701+,30.1,443=,24.6,488,Exact,university of hawaii at manoa,united states,C102,U1167
489,561,Chongqing University,China (Mainland),Asia,XL,SP,VH,A,7.6,601+,4.6,601+,12.1,701+,81.4,105,21.3,582,2.1,701+,59.6,637,13.6,701+,4.1,701+,24.5,489,Exact,chongqing university,china (mainland),C017,U0146
489,494,Chung-Ang University (CAU),South Korea,Asia,L,FC,VH,B,16.0,555,31.9,296,67.8,195,9.3,701+,14.2,680,37.8,371,29.9,701+,13.5,701+,49.5,322=,24.5,489,Exact,chungang university cau,south korea,C087,U0151
489,,Isfahan University of Technology,"Iran, Islamic Republic of",Asia,M,FO,VH,,4.9,601+,15.7,541,5.1,701+,92.2,68,2.3,701+,1.4,701+,43.5,701+,5.6,701+,1.1,701+,24.5,489,Exact,isfahan university of technology,"iran, islamic republic of",C043,U0334
489,514,Shanghai University,China (Mainland),Asia,XL,FO,VH,A,20.3,435,13.1,601+,50.8,303,30.5,429,40.9,415,5.3,701+,58.7,649,8.9,701+,10.5,655=,24.5,489,Exact,shanghai university,china (mainland),C017,U0671
489,419,UNESP,Brazil,Americas,XL,FC,VH,A,41.1,207,25.8,368,13.0,701+,16.2,619,5.9,701+,2.7,701+,70.9,469,1.5,701+,14.5,600=,24.5,489,Exact,unesp,brazil,C012,U0838
489,446,University of Jyväskylä,Finland,Europe,M,FO,VH,A,16.2,548,11.4,601+,87.7,96,12.1,687,44.0,400,2.6,701+,81.2,303,10.4,701+,16.3,570=,24.5,489,Exact,university of jyväskylä,finland,C030,U1187
495,590,Central Queensland University (CQUniversity Australia),Australia,Oceania,S,FO,VH,A,9.0,601+,6.7,601+,29.4,528,20.9,548,97.1,128,97.8,72,44.0,701+,3.1,701+,49.8,319=,24.4,495,Exact,central queensland university cquniversity australia,australia,C003,U0127
495,514,Duy Tan University,Vietnam,Asia,L,CO,VH,C,11.9,601+,25.3,376,3.9,701+,49.0,273,37.7,428,1.4,701+,83.5,273,4.4,701+,29.0,453=,24.4,495,Exact,duy tan university,vietnam,C106,U0202
497,502,Jilin University,China (Mainland),Asia,XL,FC,VH,A,12.1,601+,46.1,200,37.4,428,27.4,472,11.6,701+,2.1,701+,62.2,601,23.2,492,9.1,686=,24.2,497,Exact,jilin university,china (mainland),C017,U0355
497,461,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),Russia,Europe,M,FO,VH,A,9.2,601+,11.8,601+,98.9,39,8.1,701+,45.8,391,89.5,125,32.9,701+,14.6,675,1.1,701+,24.2,497,Exact,national research nuclear university mephi moscow engineering physics institute,russia,C080,U0511
497,544,Universidad de Costa Rica,Costa Rica,Americas,XL,CO,HI,A,35.4,248,24.3,397,32.3,487,1.6,701+,2.4,701+,2.0,701+,45.5,701+,81.6,115,16.9,563=,24.2,497,Exact,universidad de costa rica,costa rica,C019,U0885
497,404,"University of California, Riverside",United States,Americas,L,FC,VH,A,16.3,546,9.4,601+,6.6,701+,50.9,256,47.9,375,10.4,701+,77.3,372,3.7,701+,21.3,521=,24.2,497,Exact,university of california riverside,united states,C102,U1113
202,230,Khalifa University of Science and Technology,United Arab Emirates,Asia,S,SP,VH,A,22.7,393,21.0,437,80.0,137,60.7,199,100.0,12,78.9,174,78.8,341,9.3,701+,61.6,263=,46.1,202,Exact,khalifa university of science and technology,united arab emirates,C100,U0383
501,465,Colorado School of Mines,United States,Americas,M,FO,VH,A,6.8,601+,12.5,601+,15.8,701+,72.0,148,29.7,496,7.4,701+,30.9,701+,17.7,604,18.0,555=,24.1,501,Exact,colorado school of mines,united states,C102,U0163
501,511,East China Normal University,China (Mainland),Asia,L,CO,VH,A,13.3,601+,4.7,601+,16.2,701+,63.5,180,24.1,546,9.0,701+,72.0,450,9.0,701+,6.8,701+,24.1,501,Exact,east china normal university,china (mainland),C017,U0203
501,464,Johannes Gutenberg Universität Mainz,Germany,Europe,L,FO,VH,A,22.3,400,11.4,601+,57.8,254,11.5,701+,42.0,411,15.5,614,87.0,215,11.4,701+,16.3,570=,24.1,501,Exact,johannes gutenberg universität mainz,germany,C033,U0357
501,567,University of Huddersfield,United Kingdom,Europe,L,CO,VH,A,12.7,601+,12.4,601+,7.5,701+,19.4,564,63.7,308,85.6,148,73.0,441,1.3,701+,72.3,205=,24.1,501,Exact,university of huddersfield,united kingdom,C101,U1173
506,498,University of Delaware,United States,Americas,L,CO,VH,A,9.4,601+,7.9,601+,6.6,701+,53.9,237,30.0,495,12.6,665,66.5,530,16.9,617,65.3,239=,24,506,Exact,university of delaware,united states,C102,U1138
506,429,University of Trento,Italy,Europe,L,CO,VH,A,24.9,352,10.5,601+,22.0,639,32.7,402,29.6,497,6.1,701+,85.8,234,4.4,701+,19.0,547,24,506,Exact,university of trento,italy,C047,U1342
508,530,Aristotle University of Thessaloniki,Greece,Europe,XL,FC,VH,A,28.2,313,26.1,365,4.3,701+,15.8,623,1.7,701+,4.1,701+,90.5,164,38.3,335,44.3,348=,23.9,508,Exact,aristotle university of thessaloniki,greece,C035,U0049
508,595,Shenzhen University,China (Mainland),Asia,XL,CO,VH,A,7.7,601+,3.2,601+,42.1,369,64.5,175,11.0,701+,1.4,701+,65.1,555,15.8,637,7.4,701+,23.9,508,Exact,shenzhen university,china (mainland),C017,U0675
508,511,SOAS University of London,United Kingdom,Europe,M,SP,VH,A,17.1,528,9.4,601+,14.8,701+,15.1,635,100.0,60,98.7,61,16.9,701+,22.4,513,39.1,378,23.9,508,Exact,soas university of london,united kingdom,C101,U0690
511,498,Ewha Womans University,South Korea,Asia,L,FC,HI,B,22.1,401,21.2,434,76.3,157,6.9,701+,7.0,701+,24.4,483,31.3,701+,23.0,496,34.2,413=,23.8,511,Exact,ewha womans university,south korea,C087,U0222
511,621-630,Zhengzhou University,China (Mainland),Asia,XL,FC,VH,A,5.4,601+,22.0,422,4.9,701+,80.3,108,,,2.4,701+,56.3,674,5.7,701+,2.4,701+,23.8,511,Exact,zhengzhou university,china (mainland),C017,U1500
513,595,Imam Abdulrahman Bin Faisal University (IAU) (formerly UNIVERSITY OF DAMMAM),Saudi Arabia,Asia,L,FC,HI,A,10.5,601+,11.4,601+,89.5,87,2.6,701+,98.2,118,19.7,548,68.3,509,2.4,701+,18.4,549=,23.7,513,Exact,imam abdulrahman bin faisal university iau formerly university of dammam,saudi arabia,C081,U0296
513,590,Prince Mohammad Bin Fahd university,Saudi Arabia,Asia,S,SP,HI,B,20.3,436,23.0,409,23.1,621,27.8,468,100.0,11,18.8,570,23.3,701+,2.8,701+,1.2,701+,23.7,513,Exact,prince mohammad bin fahd university,saudi arabia,C081,U0600
513,481,University of Milano-Bicocca,Italy,Europe,L,FO,VH,A,20.4,432,10.9,601+,3.3,701+,54.1,236,3.5,701+,4.3,701+,81.1,307,11.5,701+,14.8,596,23.7,513,Exact,university of milanobicocca,italy,C047,U1225
516,563,Ateneo de Manila University,Philippines,Asia,L,SP,VH,B,21.4,410,64.5,122,24.4,601,1.8,701+,2.9,701+,2.5,701+,23.0,701+,70.6,156,15.6,584,23.6,516,Exact,ateneo de manila university,philippines,C074,U0056
516,529,Edith Cowan University,Australia,Oceania,L,CO,VH,A,8.5,601+,6.8,601+,4.8,701+,49.8,265,78.5,245,57.7,256,64.5,565,4.7,701+,5.8,701+,23.6,516,Exact,edith cowan university,australia,C003,U0210
516,556,INTI International University,Malaysia,Asia,S,CO,HI,C,7.7,601+,19.9,453,89.1,90,1.7,701+,95.4,143,92.9,102,7.0,701+,4.4,701+,1.1,701+,23.6,516,Exact,inti international university,malaysia,C059,U0328
516,520,Kyungpook National University,South Korea,Asia,L,FC,VH,A,11.1,601+,16.7,514,66.9,196,20.5,551,11.1,701+,25.7,470,52.0,701+,10.6,701+,60.6,266=,23.6,516,Exact,kyungpook national university,south korea,C087,U0419
516,526,Sabanci University,Turkey,Asia,S,CO,VH,B,19.5,457,44.6,206,38.2,416,19.4,565,32.0,483,14.2,637,25.9,701+,7.2,701+,7.9,701+,23.6,516,Exact,sabanci university,turkey,C097,U0642
516,523,University of Hull,United Kingdom,Europe,L,FC,HI,A,8.9,601+,4.5,601+,14.3,701+,21.5,537,63.3,309,81.5,166,76.9,380,20.5,555,68.0,228=,23.6,516,Exact,university of hull,united kingdom,C101,U1174
516,473,Ural Federal University - UrFU,Russia,Europe,XL,CO,VH,A,19.6,455,14.2,577,95.5,60,2.1,701+,5.4,701+,25.3,475,86.6,220,1.9,701+,12.7,615=,23.6,516,Exact,ural federal university urfu,russia,C080,U1440
621-630,701-710,Zayed University,United Arab Emirates,Asia,M,SP,VH,A,17.6,515,18.4,479,24.3,604,8.6,701+,100.0,15,1.9,701+,50.8,701+,20.9,550,2.9,701+,-,621-630,Range,zayed university,united arab emirates,C100,U1498
524,611-620,Pusan National University,South Korea,Asia,L,FC,VH,A,18.7,482,16.5,516,43.5,359,19.5,562,10.5,701+,13.7,646,57.7,657,13.8,700,65.0,241=,23.4,524,Exact,pusan national university,south korea,C087,U0608
524,520,Universidad Austral,Argentina,Americas,M,FC,MD,B,20.9,420,36.2,259,79.7,139,1.9,701+,2.7,701+,7.5,701+,10.2,701+,65.9,174,1.3,701+,23.4,524,Exact,universidad austral,argentina,C001,U0845
526,461,Universität Jena,Germany,Europe,L,FC,VH,A,17.2,525,5.7,601+,99.9,23,8.8,701+,,,20.2,535,94.7,82,3.9,701+,13.1,613=,23.3,526,Exact,universität jena,germany,C033,U1394
527,480,Missouri University of Science and Technology,United States,Americas,M,CO,VH,A,4.0,601+,6.1,601+,5.7,701+,86.2,90,35.2,455,12.8,663,30.5,701+,4.8,701+,1.7,701+,23.2,527,Exact,missouri university of science and technology,united states,C102,U0480
527,479,Universität Leipzig,Germany,Europe,L,FC,VH,A,23.5,378,9.7,601+,74.8,167,8.4,701+,,,14.2,638,84.3,257,10.5,701+,21.3,521=,23.2,527,Exact,universität leipzig,germany,C033,U1396
527,509,University of Bayreuth,Germany,Europe,M,CO,VH,A,10.2,601+,15.7,544,50.3,307,25.8,489,54.8,339,21.2,525,75.1,407,9.0,701+,11.3,636=,23.2,527,Exact,university of bayreuth,germany,C033,U1093
527,571,Warsaw University of Technology,Poland,Europe,L,FO,VH,A,23.3,380,51.9,168,42.6,366,4.7,701+,2.4,701+,10.3,701+,60.6,627,9.8,701+,1.4,701+,23.2,527,Exact,warsaw university of technology,poland,C075,U1465
526,571,Coventry University,United Kingdom,Europe,XL,CO,VH,A,9.9,601+,10.4,601+,16.9,701+,7.1,701+,77.0,253,99.9,35,82.6,283,10.0,701+,64.4,243=,23.3,526,Exact,coventry university,united kingdom,C101,U0172
