university_id,university_name,country_name,openalex_id,openalex_display_name,openalex_country_code,openalex_country,openalex_ror,openalex_works_count,openalex_works_2023,openalex_works_2024,openalex_works_2025,normalized_university_name,normalized_openalex_name,name_similarity,country_match,publication_match_status
U2419,Universidade Estadual do Norte Fluminense Darcy Ribeiro,Brazil,,,,,,,,,,universidade estadual do norte fluminense darcy ribeiro,,0.0,False,Unmatched
U2420,Universidade Estadual de Maringá,Brazil,,,,,,,,,,universidade estadual de maringa,,0.0,False,Unmatched
U2421,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,,,,,,,,,,universidade estadual do oeste do parana,,0.0,False,Unmatched
U2422,"Federal University of Agriculture, Abeokuta",Nigeria,,,,,,,,,,federal university of agriculture abeokuta,,0.0,False,Unmatched
U2423,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,,,,,,,,,,universidade federal de ciencias da saude de porto alegre,,0.0,False,Unmatched
U2424,Federal University of Itajubá,Brazil,,,,,,,,,,federal university of itajuba,,0.0,False,Unmatched
U2425,Universidade Federal de Juiz de Fora,Brazil,,,,,,,,,,universidade federal de juiz de fora,,0.0,False,Unmatched
U2426,Universidade Federal do Maranhão (UFMA),Brazil,,,,,,,,,,universidade federal do maranhao,,0.0,False,Unmatched
U2427,Federal University of Mato Grosso do Sul,Brazil,,,,,,,,,,federal university of mato grosso do sul,,0.0,False,Unmatched
U2428,Universidade Federal de Ouro Preto (UFOP),Brazil,,,,,,,,,,universidade federal de ouro preto,,0.0,False,Unmatched
U2429,Federal University of Pará,Brazil,,,,,,,,,,federal university of para,,0.0,False,Unmatched
U2430,Federal Rural University of Pernambuco,Brazil,,,,,,,,,,federal rural university of pernambuco,,0.0,False,Unmatched
U2431,Universidade Federal Rural do Semi-Arido,Brazil,,,,,,,,,,universidade federal rural do semi arido,,0.0,False,Unmatched
U2432,Universidade Federal de Sergipe,Brazil,,,,,,,,,,universidade federal de sergipe,,0.0,False,Unmatched
U2433,Fluminense Federal University,Brazil,,,,,,,,,,fluminense federal university,,0.0,False,Unmatched
U2434,University of Fortaleza (UNIFOR),Brazil,,,,,,,,,,university of fortaleza,,0.0,False,Unmatched
U2435,Université Frères Mentouri Constantine 1,Algeria,,,,,,,,,,universite freres mentouri constantine 1,,0.0,False,Unmatched
U2436,Universidad de las Fuerzas Armadas – ESPE,Ecuador,,,,,,,,,,universidad de las fuerzas armadas espe,,0.0,False,Unmatched
U2437,University of Fukui,Japan,,,,,,,,,,university of fukui,,0.0,False,Unmatched
U2438,Fukuoka University,Japan,,,,,,,,,,fukuoka university,,0.0,False,Unmatched
U2439,Université de Gabès,Tunisia,,,,,,,,,,universite de gabes,,0.0,False,Unmatched
U2440,Gaziantep University,Turkey,,,,,,,,,,gaziantep university,,0.0,False,Unmatched
U2441,Gheorghe Asachi Technical University of Iaşi,Romania,,,,,,,,,,gheorghe asachi technical university of iasi,,0.0,False,Unmatched
U2442,GITAM University,India,,,,,,,,,,gitam university,,0.0,False,Unmatched
U2443,Goa University,India,,,,,,,,,,goa university,,0.0,False,Unmatched
U2444,Grigore T. Popa University of Medicine and Pharmacy,Romania,,,,,,,,,,grigore t popa university of medicine and pharmacy,,0.0,False,Unmatched
U2445,University of Guadalajara,Mexico,,,,,,,,,,university of guadalajara,,0.0,False,Unmatched
U2446,University of Guanajuato,Mexico,,,,,,,,,,university of guanajuato,,0.0,False,Unmatched
U2447,Gubkin Russian State University of Oil and Gas,Russian Federation,,,,,,,,,,gubkin russian state university of oil and gas,,0.0,False,Unmatched
U2448,Hasanuddin University,Indonesia,,,,,,,,,,hasanuddin university,,0.0,False,Unmatched
U2449,Université Hassan 1er,Morocco,,,,,,,,,,universite hassan 1er,,0.0,False,Unmatched
U2450,Hassiba Benbouali University of Chlef,Algeria,,,,,,,,,,hassiba benbouali university of chlef,,0.0,False,Unmatched
U2451,University of Havana,Cuba,,,,,,,,,,university of havana,,0.0,False,Unmatched
U2452,Hellenic Open University,Greece,,,,,,,,,,hellenic open university,,0.0,False,Unmatched
U2453,Herzen State Pedagogical University of Russia,Russian Federation,,,,,,,,,,herzen state pedagogical university of russia,,0.0,False,Unmatched
U2454,Hindustan Institute of Technology and Science,India,,,,,,,,,,hindustan institute of technology and science,,0.0,False,Unmatched
U2455,Hitit University,Turkey,,,,,,,,,,hitit university,,0.0,False,Unmatched
U2456,Hosei University,Japan,,,,,,,,,,hosei university,,0.0,False,Unmatched
U2457,University of Hyogo,Japan,,,,,,,,,,university of hyogo,,0.0,False,Unmatched
U2458,Ibaraki University,Japan,,,,,,,,,,ibaraki university,,0.0,False,Unmatched
U2459,Universidad Industrial de Santander (UIS),Colombia,,,,,,,,,,universidad industrial de santander,,0.0,False,Unmatched
U2460,Industrial University of Tyumen,Russian Federation,,,,,,,,,,industrial university of tyumen,,0.0,False,Unmatched
U2461,Inönü University,Turkey,,,,,,,,,,inonu university,,0.0,False,Unmatched
U2462,International Hellenic University,Greece,,,,,,,,,,international hellenic university,,0.0,False,Unmatched
U2463,Irkutsk National Research Technical University,Russian Federation,,,,,,,,,,irkutsk national research technical university,,0.0,False,Unmatched
U2464,Islamic University of Indonesia,Indonesia,,,,,,,,,,islamic university of indonesia,,0.0,False,Unmatched
U2465,Istanbul Aydın University,Turkey,,,,,,,,,,istanbul ayd n university,,0.0,False,Unmatched
U2466,Istanbul Medipol University,Turkey,,,,,,,,,,istanbul medipol university,,0.0,False,Unmatched
U2467,Ivanovo State University of Chemistry and Technology,Russian Federation,,,,,,,,,,ivanovo state university of chemistry and technology,,0.0,False,Unmatched
U2468,Iwate University,Japan,,,,,,,,,,iwate university,,0.0,False,Unmatched
U2469,Izmir University of Economics,Turkey,,,,,,,,,,izmir university of economics,,0.0,False,Unmatched
U2470,Jan Evangelista Purkyně University,Czech Republic,,,,,,,,,,jan evangelista purkyne university,,0.0,False,Unmatched
U2471,Jan Kochanowski University in Kielce,Poland,,,,,,,,,,jan kochanowski university in kielce,,0.0,False,Unmatched
U2472,Jean Moulin University – Lyon 3,France,,,,,,,,,,jean moulin university lyon 3,,0.0,False,Unmatched
U2473,Jember University,Indonesia,,,,,,,,,,jember university,,0.0,False,Unmatched
U2474,Jianghan University,China,,,,,,,,,,jianghan university,,0.0,False,Unmatched
U2475,University of Jijel,Algeria,,,,,,,,,,university of jijel,,0.0,False,Unmatched
U2476,Kanagawa University,Japan,,,,,,,,,,kanagawa university,,0.0,False,Unmatched
U2477,Kanazawa Medical University,Japan,,,,,,,,,,kanazawa medical university,,0.0,False,Unmatched
U2478,Kansai University,Japan,,,,,,,,,,kansai university,,0.0,False,Unmatched
U2479,Karadeniz Technical University,Turkey,,,,,,,,,,karadeniz technical university,,0.0,False,Unmatched
U2480,Université Kasdi Merbah Ouargla,Algeria,,,,,,,,,,universite kasdi merbah ouargla,,0.0,False,Unmatched
U2481,Kastamonu University,Turkey,,,,,,,,,,kastamonu university,,0.0,False,Unmatched
U2482,Kazan National Research Technical University,Russian Federation,,,,,,,,,,kazan national research technical university,,0.0,False,Unmatched
U2483,Kazan State Medical University,Russian Federation,,,,,,,,,,kazan state medical university,,0.0,False,Unmatched
U2484,University of Kelaniya,Sri Lanka,,,,,,,,,,university of kelaniya,,0.0,False,Unmatched
U2485,Kemerovo State University,Russian Federation,,,,,,,,,,kemerovo state university,,0.0,False,Unmatched
U2486,University of Kerbala,Iraq,,,,,,,,,,university of kerbala,,0.0,False,Unmatched
U2487,King Mongkut’s Institute of Technology Ladkrabang,Thailand,,,,,,,,,,king mongkut s institute of technology ladkrabang,,0.0,False,Unmatched
U2488,Kirikkale University,Turkey,,,,,,,,,,kirikkale university,,0.0,False,Unmatched
U2489,Kırşehir Ahi Evran University,Turkey,,,,,,,,,,k rsehir ahi evran university,,0.0,False,Unmatched
