world_rank,university_name,national_rank,total_score,alumni,award,hici,ns,pub,pcp,year,university_id
101.0,University of Iowa,54-71,,0.0,0.0,31.4,22.7,50.8,20.9,2005,UNI_01091
101.0,University of Leeds,12-15,,22.6,0.0,11.1,22.9,45.0,23.0,2005,UNI_00917
101.0,University of Liverpool,12-15,,23.5,15.8,13.6,18.1,42.4,22.6,2005,UNI_00916
101.0,University of Massachusetts Amherst,54-71,,17.7,0.0,33.3,24.3,38.0,23.0,2005,UNI_01230
101.0,University of Miami,54-71,,0.0,0.0,26.1,16.4,41.7,23.4,2005,UNI_01089
101.0,University of Milan,2-3,,22.6,0.0,15.7,14.2,49.7,19.1,2005,UNI_00492
101.0,University of Muenster,6-11,,25.1,15.8,11.1,14.8,38.3,20.7,2005,UNI_01260
101.0,University of Pisa,2-3,,18.8,24.1,11.1,8.7,40.6,18.4,2005,UNI_00505
101.0,University of Sao Paulo,1,,0.0,0.0,11.1,11.0,63.5,27.8,2005,UNI_01261
101.0,University of Sussex,12-15,,0.0,23.2,19.2,15.9,28.8,19.0,2005,UNI_00882
101.0,University of Sydney,3-4,,19.8,0.0,19.2,17.8,54.5,19.7,2005,UNI_00025
101.0,University of Tsukuba,6-9,,0.0,20.4,13.6,12.7,42.9,21.3,2005,UNI_00589
101.0,University of Tuebingen,6-11,,29.4,0.0,15.7,22.4,43.7,23.6,2005,UNI_01262
101.0,University of Virginia,54-71,,0.0,0.0,29.4,23.6,47.9,24.0,2005,UNI_01035
101.0,University of Wuerzburg,6-11,,25.1,9.1,22.2,16.9,37.9,21.7,2005,UNI_01263
101.0,Weizmann Institute of Science,2-4,,0.0,0.0,26.1,35.1,33.6,23.4,2005,UNI_00470
153.0,Autonomous University of Madrid,1-2,,19.8,0.0,13.6,11.4,36.3,18.2,2005,UNI_00759
153.0,Brandeis University,72-90,,25.1,0.0,7.9,26.1,20.3,27.4,2005,UNI_01077
153.0,Cardiff University,16-19,,0.0,0.0,13.6,17.0,42.5,20.3,2005,UNI_00914
153.0,Colorado State University,72-90,,0.0,0.0,27.2,14.8,37.6,21.7,2005,UNI_01006
153.0,Erasmus University,5-7,,0.0,15.8,15.7,11.0,29.8,17.0,2005,UNI_01264
153.0,Florida State University,72-90,,0.0,0.0,22.2,17.1,37.9,18.4,2005,UNI_01141
153.0,Iowa State University,72-90,,0.0,0.0,24.8,11.5,45.0,18.4,2005,UNI_01063
153.0,Joseph Fourier University (Grenoble 1),6-8,,0.0,15.8,11.1,14.4,32.5,17.2,2005,UNI_01265
153.0,Mount Sinai School of Medicine,72-90,,0.0,0.0,19.2,18.3,34.0,18.3,2005,UNI_01266
153.0,National Autonomous University of Mexico,1,,16.6,0.0,7.9,15.1,49.0,22.6,2005,UNI_00627
153.0,National Taiwan University,1,,15.4,0.0,7.9,7.3,53.2,15.8,2005,UNI_00852
153.0,Oregon Health and Science University,72-90,,0.0,0.0,17.6,23.9,35.2,19.6,2005,UNI_01140
153.0,Queen's University,6-8,,0.0,0.0,19.2,17.0,35.2,18.5,2005,UNI_00099
153.0,Rensselaer Polytechnic Institute,72-90,,16.6,0.0,19.2,12.2,26.8,24.7,2005,UNI_01075
153.0,Swiss Federal Institute of Technology of Lausanne,5-6,,0.0,0.0,17.6,18.1,38.7,38.7,2005,UNI_01267
153.0,Technical University of Denmark,3,,8.9,12.9,17.6,11.8,30.6,16.9,2005,UNI_00249
153.0,The University of Alabama at Birmingham,72-90,,0.0,0.0,17.6,14.2,43.5,23.2,2005,UNI_01212
153.0,The University of Calgary,6-8,,0.0,0.0,11.1,16.0,44.2,20.5,2005,UNI_00098
153.0,The University of Connecticut - Storrs,72-90,,15.4,0.0,17.6,12.0,37.8,19.6,2005,UNI_01268
153.0,The University of Texas Health Science Center at Houston,72-90,,0.0,15.8,17.6,16.8,29.7,17.6,2005,UNI_01232
153.0,The University of Texas M. D. Anderson Cancer Center,72-90,,0.0,0.0,23.6,12.4,39.5,20.2,2005,UNI_01218
153.0,The University of Western Australia,5-6,,0.0,0.0,20.8,13.8,40.1,21.0,2005,UNI_00019
153.0,Tsinghua University,1,,14.0,0.0,0.0,9.9,55.7,19.1,2005,UNI_00157
153.0,University of Barcelona,1-2,,0.0,0.0,11.1,14.1,46.3,21.1,2005,UNI_00787
153.0,University of Bern,5-6,,16.6,0.0,11.1,23.5,35.5,26.8,2005,UNI_00815
153.0,University of Cincinnati,72-90,,0.0,0.0,24.8,12.1,44.8,20.6,2005,UNI_01132
153.0,University of Delaware,72-90,,14.0,0.0,20.8,15.9,36.2,17.9,2005,UNI_01137
153.0,University of East Anglia,16-19,,17.7,0.0,17.6,20.2,25.1,16.5,2005,UNI_00931
153.0,University of Gothenburg,5,,0.0,15.8,0.0,18.6,40.4,13.9,2005,UNI_00800
153.0,University of Kiel,12-16,,15.4,15.8,11.1,14.6,33.5,18.2,2005,UNI_00347
153.0,University of Koeln,12-16,,0.0,12.9,7.9,19.1,36.6,18.7,2005,UNI_01269
153.0,University of Leicester,16-19,,0.0,0.0,19.2,19.9,35.4,19.1,2005,UNI_00913
153.0,University of Leipzig,12-16,,17.7,15.8,0.0,10.0,37.3,18.5,2005,UNI_01270
153.0,University of Mainz,12-16,,0.0,8.3,15.7,13.5,37.9,18.7,2005,UNI_01271
153.0,University of Marburg,12-16,,17.7,0.0,15.7,12.6,34.7,17.9,2005,UNI_00379
153.0,"University of Maryland, Baltimore",72-90,,0.0,0.0,19.2,18.6,38.4,19.9,2005,UNI_01214
153.0,University of Montreal,6-8,,15.4,0.0,7.9,12.1,50.4,22.7,2005,UNI_00115
153.0,University of Nebraska - Lincoln,72-90,,17.7,0.0,15.7,17.2,36.8,18.2,2005,UNI_00998
153.0,University of New South Wales,5-6,,0.0,0.0,19.2,14.3,47.0,17.6,2005,UNI_00023
153.0,University of Notre Dame,72-90,,16.6,0.0,11.1,18.9,34.1,20.0,2005,UNI_01004
153.0,University of Padua,4-5,,0.0,0.0,13.6,13.7,46.3,16.9,2005,UNI_00480
153.0,University of Paris Descartes (Paris 5),6-8,,16.0,12.2,11.1,12.4,27.8,15.5,2005,UNI_01272
153.0,University of Paris Diderot (Paris 7),6-8,,18.2,14.1,11.1,15.6,34.5,18.6,2005,UNI_01273
153.0,University of Southampton,16-19,,0.0,0.0,20.8,11.9,43.4,21.0,2005,UNI_00902
153.0,University of Tennessee - Knoxville,72-90,,14.0,0.0,20.8,18.0,39.3,17.1,2005,UNI_01082
153.0,University of Turin,4-5,,21.7,0.0,11.1,10.8,38.2,16.8,2005,UNI_00502
153.0,University of Wageningen,5-7,,0.0,0.0,23.6,17.0,35.2,23.8,2005,UNI_01274
153.0,Virginia Commonwealth University,72-90,,14.0,14.4,20.8,7.7,33.4,17.4,2005,UNI_01229
153.0,Virginia Polytechnic Institute and State University,72-90,,15.4,0.0,17.6,12.4,40.3,17.0,2005,UNI_01084
153.0,VU University Amsterdam,5-7,,0.0,0.0,17.6,15.8,42.7,21.6,2005,UNI_00632
203.0,Chalmers University of Technology,6-9,,0.0,0.0,17.6,9.8,31.0,18.1,2005,UNI_00802
203.0,Charles University in Prague,1,,15.4,0.0,0.0,11.3,37.1,17.1,2005,UNI_00238
203.0,Claude Bernard University Lyon 1,9-13,,15.4,0.0,0.0,11.5,36.5,16.9,2005,UNI_00285
203.0,Complutense University of Madrid,3,,0.0,0.0,0.0,12.6,41.3,18.3,2005,UNI_00797
203.0,Dalhousie University,9-17,,0.0,0.0,15.7,18.1,34.8,18.0,2005,UNI_00110
203.0,Delft University of Technology,8-9,,15.4,0.0,0.0,21.9,36.2,15.8,2005,UNI_00640
203.0,Ecole Polytechnique,9-13,,22.6,0.0,7.9,14.1,28.4,15.4,2005,UNI_01275
203.0,George Mason University,91-119,,0.0,32.9,11.1,0.0,24.3,18.3,2005,UNI_01073
203.0,Georgetown University,91-119,,0.0,0.0,7.9,13.5,34.8,19.7,2005,UNI_01131
203.0,Hiroshima University,10-13,,0.0,0.0,7.9,10.4,40.6,19.2,2005,UNI_00599
203.0,Kansas State University,91-119,,0.0,0.0,11.1,12.7,31.8,15.8,2005,UNI_01008
203.0,Keio University,10-13,,0.0,0.0,7.9,14.2,36.5,17.0,2005,UNI_00537
203.0,Kobe University,10-13,,0.0,0.0,13.6,15.0,33.1,16.9,2005,UNI_00557
203.0,Lancaster University,20-30,,0.0,0.0,17.6,10.2,28.4,14.8,2005,UNI_00949
