university_name,university_name_clean,country_name,country_name_clean,the_rank_2024,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024
Wroclaw Medical University,wroclaw medical university,Poland,poland,,39.4,40.7,13.3,66.9,36.5,37.7,10.9,14.0,72.0
University of Wyoming,university of wyoming,United States,united states,,39.4,35.9,20.3,62.1,58.6,37.7,14.1,4.0,52.0
Xi’an Jiaotong-Liverpool University,xi’an jiaotong-liverpool university,China,china,,39.4,18.6,15.1,70.8,20.9,77.3,19.9,4.0,51.0
Xidian University,xidian university,China,china,,39.4,24.3,25.0,61.0,77.5,25.9,15.3,1.0,26.0
Yeungnam University,yeungnam university,South Korea,south korea,,39.4,24.1,18.0,66.8,47.0,54.9,14.7,5.0,50.0
Zhejiang Normal University,zhejiang normal university,China,china,,39.4,20.3,19.0,75.4,54.1,35.6,12.2,5.0,53.0
Zhengzhou University,zhengzhou university,China,china,,39.4,18.7,19.8,82.5,35.8,25.2,15.6,4.0,48.0
University of the Aegean,university of the aegean,Greece,greece,,34.8,18.3,21.9,54.4,80.0,33.9,63.5,1.0,55.0
Ahvaz Jundishapur University of Medical Sciences (AJUMS),ahvaz jundishapur university of medical sciences (ajums),Iran,iran,,34.8,38.1,10.7,58.1,20.1,21.8,11.7,3.0,67.0
Al-Azhar University,al-azhar university,Egypt,egypt,,34.8,19.2,10.9,69.2,20.4,57.4,22.0,9.0,42.0
University of Alcalá,university of alcalá,Spain,spain,,34.8,27.8,15.1,55.0,41.9,64.4,10.4,24.0,59.0
Alexandria University,alexandria university,Egypt,egypt,,34.8,17.9,17.7,58.2,27.2,51.4,28.7,4.0,52.0
University of Algarve,university of algarve,Portugal,portugal,,34.8,18.5,19.5,52.3,25.3,66.4,15.0,19.0,56.0
American University in Cairo,american university in cairo,Egypt,egypt,,34.8,26.7,24.0,51.1,23.0,70.3,14.2,4.0,58.0
Amity University,amity university,India,india,,34.8,23.6,14.0,62.3,20.0,31.1,17.1,7.0,52.0
Amrita Vishwa Vidyapeetham,amrita vishwa vidyapeetham,India,india,,34.8,28.4,20.5,60.8,41.1,36.9,11.8,5.0,53.0
"University of the Andes, Colombia","university of the andes, colombia",Colombia,colombia,,34.8,24.4,19.6,48.4,28.5,60.8,13.5,2.0,45.0
Arak University of Medical Sciences,arak university of medical sciences,Iran,iran,,34.8,31.7,10.2,66.4,18.9,21.2,7.4,2.0,55.0
Aristotle University of Thessaloniki,aristotle university of thessaloniki,Greece,greece,,34.8,22.3,16.8,66.3,52.7,38.1,18.2,5.0,58.0
Arts et Métiers,arts et métiers,France,france,,34.8,31.1,19.5,35.2,67.7,67.0,16.3,12.0,18.0
Aswan University,aswan university,Egypt,egypt,,34.8,16.7,12.1,75.6,18.4,50.4,45.4,1.0,51.0
Athens University of Economics and Business,athens university of economics and business,Greece,greece,,34.8,18.1,23.6,53.3,57.8,44.5,53.7,5.0,45.0
Bahçeşehir University,bahçeşehir university,Turkey,turkey,,34.8,19.5,24.4,59.4,39.6,61.2,47.9,22.0,50.0
Bahria University,bahria university,Pakistan,pakistan,,34.8,14.2,9.7,77.3,16.2,48.7,20.3,1.0,45.0
University of the Balearic Islands,university of the balearic islands,Spain,spain,,34.8,26.8,15.1,56.4,32.0,58.1,9.4,8.0,60.0
