University,Country,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,QS_International_Research_Network,QS_Employment_Outcomes,QS_Sustainability,THE_Rank,THE_Overall_Score,THE_Teaching,THE_Research,THE_Citations,THE_Industry_Income,THE_International_Outlook,THE_Number_Students,THE_Student_Staff_Ratio,THE_International_Students,THE_Female_Male_Ratio,QS_Rank_Numeric,THE_Rank_Numeric,THE_Overall_Score_Numeric,university_id,country_id,kpi1_global_ranking_score,kpi2_research_impact_score,kpi3_students_per_staff_num,kpi3_faculty_to_student_ratio,kpi4_international_student_pct,kpi5_academic_reputation_score,kpi6_research_productivity_index
Dokuz Eylül Üniversitesi,Turkey,1201-1400,,6.8,7.8,3.5,2.1,2.5,10.7,34.7,6.0,18.8,,,,,,,,,,,,1201.0,,,U0329,TU,,2.1,,,,6.8,14.02
Dokuz Eylül University,Turkey,,,,,,,,,,,,1201–1500,22.8–28.2,19.4,18.2,25.5,67.1,25.5,"56,667",23.7,3%,46 : 54,,1201.0,25.5,U0330,TU,25.5,25.5,23.7,1:23.7,3%,,16.83
 Don State Technical University,Russian Federation,1401+,,3.5,3.5,12.8,1.4,1.6,14.9,11.4,1.9,1.0,1001–1200,28.3–32.6,20.6,9.0,54.9,17.9,31.7,"26,030",12.4,12%,,1401.0,1001.0,30.450000000000003,U0331,RU,30.450000000000003,1.4,12.4,1:12.4,12%,3.5,6.2
Dongguk University ,South Korea,701-710,,7.9,10.5,83.6,9.7,9.0,23.8,36.5,4.8,20.8,,,,,,,,,,,,701.0,,,U0332,SO,,9.7,,,,7.9,16.33
Donghua University,China,851-900,,3.8,1.6,25.5,47.3,2.2,3.1,31.1,3.7,1.1,501–600,41.9–45.3,27.8,22.1,72.8,85.3,39.9,"23,099",14.7,6%,44 : 56,851.0,501.0,43.599999999999994,U0333,CH,43.599999999999994,47.3,14.7,1:14.7,6%,3.8,28.96
Doshisha University,Japan,1201-1400,,8.6,11.4,5.2,1.8,17.6,3.7,18.7,19.1,1.0,1501+,9.7–22.7,17.9,10.9,11.1,30.7,35.5,"27,624",18.6,4%,42 : 58,1201.0,1501.0,16.2,U0334,JA,16.2,1.8,18.6,1:18.6,4%,8.6,8.24
Dow University of Health Sciences,Pakistan,,,,,,,,,,,,1201–1500,22.8–28.2,24.2,10.0,46.5,18.7,43.2,"11,555",7.7,3%,63 : 37,,1201.0,25.5,U0335,PA,25.5,46.5,7.7,1:7.7,3%,,23.17
Dr B.R. Ambedkar National Institute of Technology Jalandhar,India,,,,,,,,,,,,1001–1200,28.3–32.6,25.4,13.2,54.6,22.2,17.8,"5,462",24.1,1%,36 : 64,,1001.0,30.450000000000003,U0336,IN,30.450000000000003,54.6,24.1,1:24.1,1%,,21.16
Drexel University,United States,721-730,,8.1,4.5,22.4,28.7,12.6,23.8,73.4,25.1,8.3,301–350,51.1–53.0,44.1,26.0,79.6,75.6,62.2,"16,910",11.0,15%,51 : 49,721.0,301.0,52.05,U0337,UN,52.05,28.7,11.0,1:11.0,15%,8.1,30.76
Dublin City University,Ireland,421,28.3,20.1,26.0,25.8,10.7,75.0,22.6,75.4,35.3,82.5,401–500,45.4–49.0,24.5,35.2,77.1,62.8,73.9,"14,325",26.1,12%,58 : 42,421.0,401.0,47.2,U0338,IR,28.3,10.7,26.1,1:26.1,12%,20.1,32.96
Duke University,United States,61,70.8,86.0,74.7,100.0,35.1,16.3,61.0,93.3,85.5,75.0,26,83.9,79.3,76.1,96.2,100.0,74.8,"15,527",3.9,18%,52 : 48,61.0,26.0,83.9,U0339,UN,70.8,35.1,3.9,1:3.9,18%,86.0,62.0
Dumlupinar University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,10.9,7.8,23.3,19.8,38.5,"44,749",44.4,19%,40 : 60,,1501.0,16.2,U0340,TU,16.2,23.3,44.4,1:44.4,19%,,13.85
