University,Country,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,QS_International_Research_Network,QS_Employment_Outcomes,QS_Sustainability,THE_Rank,THE_Overall_Score,THE_Teaching,THE_Research,THE_Citations,THE_Industry_Income,THE_International_Outlook,THE_Number_Students,THE_Student_Staff_Ratio,THE_International_Students,THE_Female_Male_Ratio,QS_Rank_Numeric,THE_Rank_Numeric,THE_Overall_Score_Numeric,university_id,country_id,kpi1_global_ranking_score,kpi2_research_impact_score,kpi3_students_per_staff_num,kpi3_faculty_to_student_ratio,kpi4_international_student_pct,kpi5_academic_reputation_score,kpi6_research_productivity_index
University of Murcia,Spain,901-950,,11.7,2.9,24.5,6.8,1.7,3.9,79.8,3.7,44.9,801–1000,32.7–36.9,25.2,19.9,52.6,61.4,38.9,"28,862",17.7,5%,62 : 38,901.0,801.0,34.8,U2144,SP,34.8,6.8,17.7,1:17.7,5%,11.7,15.29
University of Mysore,India,,,,,,,,,,,,1501+,9.7–22.7,28.2,9.0,23.2,22.3,42.3,"10,130",25.8,8%,33 : 67,,1501.0,16.2,U2145,IN,16.2,23.2,25.8,1:25.8,8%,,15.37
University of Nairobi,Kenya,901-950,,10.0,11.7,20.1,1.8,,,50.1,92.5,1.8,1201–1500,22.8–28.2,12.0,10.6,45.9,18.8,49.8,"52,678",34.5,2%,24 : 76,901.0,1201.0,25.5,U2146,KE,25.5,1.8,34.5,1:34.5,2%,10.0,11.54
University of Namibia,Namibia,,,,,,,,,,,,1201–1500,22.8–28.2,13.1,8.6,51.3,15.8,62.8,"28,916",21.6,3%,63 : 37,,1201.0,25.5,U2147,NA,25.5,51.3,21.6,1:21.6,3%,,28.63
University of Namur,Belgium,,,,,,,,,,,,601–800,37.0–41.8,24.4,27.2,53.7,62.8,69.7,"6,616",22.2,12%,58 : 42,,601.0,39.4,U2148,BE,39.4,53.7,22.2,1:22.2,12%,,40.78
University of Naples - Federico II,Italy,347,32.8,36.6,19.7,4.2,65.1,2.2,1.1,92.5,7.3,20.1,351–400,49.1–51.0,36.7,28.3,86.9,72.0,35.4,"56,127",19.5,2%,56 : 44,347.0,351.0,50.05,U2149,IT,32.8,65.1,19.5,1:19.5,2%,36.6,36.51
University of Naples Parthenope,Italy,1001-1200,,3.8,1.9,3.3,42.4,1.7,2.1,30.8,1.7,3.0,,,,,,,,,,,,1001.0,,,U2150,IT,,42.4,,,,3.8,26.24
University of Navarra,Spain,249,40.7,30.6,68.0,49.6,14.7,24.8,73.8,63.6,75.8,42.3,301–350,51.1–53.0,35.6,30.4,82.3,79.1,74.4,"11,969",14.3,26%,54 : 46,249.0,301.0,52.05,U2151,SP,40.7,14.7,14.3,1:14.3,26%,30.6,31.77
University of Nebraska - Lincoln,United States,701-710,,10.6,5.8,16.9,30.4,21.5,7.1,73.1,7.2,33.0,401–500,45.4–49.0,33.8,31.1,71.5,67.0,65.9,"23,920",16.6,9%,49 : 51,701.0,401.0,47.2,U2152,UN,47.2,30.4,16.6,1:16.6,9%,10.6,34.84
University of Nebraska Medical Center,United States,,,,,,,,,,,,501–600,41.9–45.3,36.9,16.4,77.8,66.1,41.3,"3,318",2.0,7%,71 : 29,,501.0,43.599999999999994,U2153,UN,43.599999999999994,77.8,2.0,1:2.0,7%,,35.55
University of Neuchâtel,Switzerland,,,,,,,,,,,,401–500,45.4–49.0,31.8,26.4,67.2,53.5,85.9,"4,379",11.8,21%,61 : 39,,401.0,47.2,U2154,SW,47.2,67.2,11.8,1:11.8,21%,,48.37
"University of Nevada, Las Vegas",United States,,,,,,,,,,,,601–800,37.0–41.8,29.3,25.6,64.7,51.5,38.3,"26,730",23.2,4%,57 : 43,,601.0,39.4,U2155,UN,39.4,64.7,23.2,1:23.2,4%,,35.68
University of New Brunswick,Canada,681-690,,4.9,8.3,19.9,27.5,61.0,34.1,48.7,17.3,29.0,,,,,,,,,,,,681.0,,,U2156,CA,,27.5,,,,4.9,21.72
University of New Brunswick UNB,Canada,,,,,,,,,,,,601–800,37.0–41.8,24.3,25.0,62.4,64.0,81.1,"8,308",15.0,14%,53 : 47,,601.0,39.4,U2157,CA,39.4,62.4,15.0,1:15.0,14%,,45.02
University of New England Australia,Australia,1001-1200,,10.7,7.2,3.7,14.7,4.6,3.3,62.9,9.8,10.8,,,,,,,,,,,,1001.0,,,U2158,AU,,14.7,,,,10.7,17.84
University of New Hampshire,United States,1001-1200,,5.0,4.1,12.2,16.9,7.0,2.5,41.7,7.1,5.5,,,,,,,,,,,,1001.0,,,U2159,UN,,16.9,,,,5.0,18.51
University of New Mexico,United States,791-800,,10.5,8.0,43.5,14.9,8.2,4.0,73.1,7.3,11.0,,,,,,,,,,,,791.0,,,U2160,UN,,14.9,,,,10.5,17.9
The University of New South Wales (UNSW Sydney),Australia,19,87.1,90.5,90.4,20.6,94.9,100.0,99.4,98.3,97.7,99.2,,,,,,,,,,,,19.0,,,U2161,AU,87.1,94.9,,,,90.5,42.15
University of Newcastle,Australia,,,,,,,,,,,,201–250,55.9–58.6,33.8,38.8,85.5,76.5,83.4,"24,608",31.3,16%,57 : 43,,201.0,57.25,U2162,AU,57.25,85.5,31.3,1:31.3,16%,,59.81
"The University of Newcastle, Australia (UON)",Australia,179,48.7,28.3,24.5,28.7,91.7,99.9,24.2,82.0,14.8,92.4,,,,,,,,,,,,179.0,,,U2163,AU,48.7,91.7,,,,28.3,41.18
University of Niš,Serbia,1201-1400,,5.0,5.5,12.5,2.4,,5.7,49.0,4.0,1.0,,,,,,,,,,,,1201.0,,,U2164,SE,,2.4,,,,5.0,14.12
University of Nicosia,Cyprus,,,,,,,,,,,,501–600,41.9–45.3,22.6,21.0,76.1,26.3,91.2,"4,754",13.0,54%,53 : 47,,501.0,43.599999999999994,U2165,CY,43.599999999999994,76.1,13.0,1:13.0,54%,,49.51
University of Nigeria Nsukka,Nigeria,,,,,,,,,,,,1201–1500,22.8–28.2,29.1,10.6,30.3,17.3,37.0,"43,108",11.7,1%,46 : 54,,1201.0,25.5,U2166,NI,25.5,30.3,11.7,1:11.7,1%,,17.08
University of North Carolina at Chapel Hill,United States,,,,,,,,,,,,72,71.2,63.4,60.3,93.9,75.8,50.9,"30,782",7.7,8%,60 : 40,,72.0,71.2,U2167,UN,71.2,93.9,7.7,1:7.7,8%,,65.76
University of North Carolina at Charlotte,United States,1001-1200,,5.1,5.8,5.0,13.4,8.7,6.2,65.0,7.8,4.2,601–800,37.0–41.8,23.2,22.1,74.4,58.7,37.0,"26,819",20.6,6%,49 : 51,1001.0,601.0,39.4,U2168,UN,39.4,13.4,20.6,1:20.6,6%,5.1,17.98
University of North Carolina at Greensboro,United States,1201-1400,,2.6,2.4,8.9,10.1,5.9,3.4,50.7,1.5,1.6,,,,,,,,,,,,1201.0,,,U2169,UN,,10.1,,,,2.6,16.45
"University of North Carolina, Chapel Hill",United States,155,51.6,61.4,36.5,72.9,47.2,23.5,11.1,91.6,55.2,44.6,,,,,,,,,,,,155.0,,,U2170,UN,51.6,47.2,,,,61.4,27.69
University of North Texas,United States,1001-1200,,6.9,5.0,3.1,17.2,3.5,24.8,58.0,21.1,3.8,,,,,,,,,,,,1001.0,,,U2171,UN,,17.2,,,,6.9,18.6
The University of Northampton,United Kingdom,1001-1200,,3.2,2.7,5.2,2.6,36.3,96.6,8.4,4.1,1.0,,,,,,,,,,,,1001.0,,,U2172,UN,,2.6,,,,3.2,14.18
University of Northern British Columbia (UNBC),Canada,,,,,,,,,,,,801–1000,32.7–36.9,21.1,21.8,51.7,21.4,52.0,"2,937",16.5,12%,61 : 39,,801.0,34.8,U2173,CA,34.8,51.7,16.5,1:16.5,12%,,33.06
University of Notre Dame,United States,316,34.7,25.8,25.2,60.8,29.2,22.3,18.4,70.1,60.2,68.9,=199,58.7,51.9,42.6,76.1,72.9,69.9,"12,576",10.9,12%,47 : 53,316.0,199.0,58.7,U2174,UN,34.7,29.2,10.9,1:10.9,12%,25.8,41.47
"The University of Notre Dame, Australia",Australia,1401+,,3.0,3.7,3.5,7.2,21.4,2.2,10.6,1.7,1.0,,,,,,,,,,,,1401.0,,,U2175,AU,,7.2,,,,3.0,15.57
University of Nottingham,United Kingdom,108,58.5,61.1,65.8,32.8,37.6,89.4,70.5,98.0,38.0,97.0,=130,63.8,45.6,45.9,90.6,71.2,92.8,"33,520",16.0,27%,54 : 46,108.0,130.0,63.8,U2176,UN,58.5,37.6,16.0,1:16.0,27%,61.1,51.29
University of Novi Sad,Serbia,1001-1200,,8.4,5.9,8.8,3.6,,,79.4,21.3,1.2,1501+,9.7–22.7,19.0,11.7,29.1,36.4,33.6,"47,978",15.1,1%,57 : 43,1001.0,1501.0,16.2,U2177,SE,16.2,3.6,15.1,1:15.1,1%,8.4,8.74
"University of Occupational and Environmental Health, Japan",Japan,,,,,,,,,,,,1001–1200,28.3–32.6,30.2,11.7,54.8,46.8,22.5,"1,164",2.5,1%,52 : 48,,1001.0,30.450000000000003,U2178,JA,30.450000000000003,54.8,2.5,1:2.5,1%,,21.57
University of Oklahoma,United States,701-710,,10.2,9.8,15.6,31.1,21.8,5.7,69.3,22.3,17.7,,,,,,,,,,,,701.0,,,U2179,UN,,31.1,,,,10.2,22.81
University of Oradea,Romania,1401+,,5.6,2.2,4.0,1.9,1.5,5.2,34.5,6.2,2.3,1201–1500,22.8–28.2,16.7,14.6,35.0,16.9,41.0,"15,820",17.5,6%,56 : 44,1401.0,1201.0,25.5,U2180,RO,25.5,1.9,17.5,1:17.5,6%,5.6,11.54
University of Oregon,United States,801-850,,18.3,9.4,9.4,18.5,7.6,3.6,53.4,23.3,16.1,401–500,45.4–49.0,31.1,30.5,79.4,70.2,43.2,"21,185",13.0,6%,55 : 45,801.0,401.0,47.2,U2181,UN,47.2,18.5,13.0,1:13.0,6%,18.3,25.43
University of Oslo,Norway,119,56.1,55.6,16.0,73.8,55.7,91.6,31.7,97.3,80.9,72.1,127,64.3,45.6,50.6,92.1,72.3,75.6,"20,967",12.5,15%,66 : 34,119.0,127.0,64.3,U2182,NO,56.1,55.7,12.5,1:12.5,15%,55.6,55.07
University of Ostrava,Czech Republic,1201-1400,,6.3,1.1,15.6,3.6,27.7,16.6,27.0,2.9,1.0,1501+,9.7–22.7,19.5,16.3,23.2,18.2,46.2,"8,526",16.0,9%,71 : 29,1201.0,1501.0,16.2,U2183,CZ,16.2,3.6,16.0,1:16.0,9%,6.3,14.2
University of Otago,New Zealand,214,44.4,45.0,24.6,12.8,38.8,100.0,37.6,79.5,59.1,96.0,301–350,51.1–53.0,35.6,35.1,75.8,68.8,81.8,"19,350",20.6,16%,61 : 39,214.0,301.0,52.05,U2184,NE,44.4,38.8,20.6,1:20.6,16%,45.0,43.33
University of Ottawa,Canada,189,47.3,26.2,23.3,3.5,81.3,91.7,77.8,93.0,39.8,92.9,=177,60.2,39.6,46.5,84.4,80.2,86.9,"38,366",27.2,26%,59 : 41,189.0,177.0,60.2,U2185,CA,47.3,81.3,27.2,1:27.2,26%,26.2,63.42
University of Oulu,Finland,344,32.9,15.1,13.5,25.3,59.4,65.3,8.6,89.4,21.7,68.6,251–300,53.1–55.8,33.1,38.2,84.1,66.0,59.5,"10,719",20.8,8%,55 : 45,344.0,251.0,54.45,U2186,FI,32.9,59.4,20.8,1:20.8,8%,15.1,45.8
University of Oviedo,Spain,,,,,,,,,,,,801–1000,32.7–36.9,29.0,18.5,49.2,40.6,37.8,"18,657",9.2,4%,54 : 46,,801.0,34.8,U2187,SP,34.8,49.2,9.2,1:9.2,4%,,27.14
University of Oxford,United Kingdom,3,96.9,100.0,100.0,100.0,84.8,98.1,97.7,100.0,100.0,85.0,1,98.5,96.6,100.0,99.0,98.7,97.5,"21,750",10.9,42%,49 : 51,3.0,1.0,98.5,U2188,UN,96.9,84.8,10.9,1:10.9,42%,100.0,95.08
University of Pécs,Hungary,,,,,,,,,,,,1001–1200,28.3–32.6,39.1,16.5,29.9,32.0,54.3,"16,267",13.7,24%,59 : 41,,1001.0,30.450000000000003,U2189,HU,30.450000000000003,29.9,13.7,1:13.7,24%,,24.23
University of Padua,Italy,,,,,,,,,,,,201–250,55.9–58.6,46.1,38.5,84.1,77.1,53.1,"44,401",26.5,7%,56 : 44,,201.0,57.25,U2190,IT,57.25,84.1,26.5,1:26.5,7%,,51.9
University of Palermo,Italy,851-900,,11.1,2.3,4.4,32.2,2.4,1.9,81.6,4.5,5.7,601–800,37.0–41.8,18.9,22.5,69.8,47.2,34.8,"33,972",22.0,1%,59 : 41,851.0,601.0,39.4,U2191,IT,39.4,32.2,22.0,1:22.0,1%,11.1,23.36
University of Pannonia,Hungary,1201-1400,,4.2,4.0,22.0,8.5,3.3,8.3,44.7,4.0,1.0,1501+,9.7–22.7,22.2,15.6,21.5,45.5,37.9,"5,241",19.5,7%,48 : 52,1201.0,1501.0,16.2,U2192,HU,16.2,8.5,19.5,1:19.5,7%,4.2,13.31
University of Pardubice,Czech Republic,1201-1400,,4.5,2.3,44.5,3.1,9.7,8.8,18.7,1.7,1.0,1501+,9.7–22.7,21.1,17.7,17.7,30.0,39.8,"7,375",13.5,10%,56 : 44,1201.0,1501.0,16.2,U2193,CZ,16.2,3.1,13.5,1:13.5,10%,4.5,13.23
University of Parma,Italy,951-1000,,9.5,2.7,2.9,25.4,3.8,9.1,69.4,9.2,2.3,601–800,37.0–41.8,19.4,22.6,72.2,65.9,38.7,"29,840",33.4,6%,58 : 42,951.0,601.0,39.4,U2194,IT,39.4,25.4,33.4,1:33.4,6%,9.5,22.29
University of Passau,Germany,,,,,,,,,,,,401–500,45.4–49.0,31.5,36.5,66.5,62.2,58.2,"8,536",58.2,13%,60 : 40,,401.0,47.2,U2195,GE,47.2,66.5,58.2,1:58.2,13%,,46.75
University of Patras,Greece,761-770,,11.7,17.1,2.7,27.0,1.4,4.8,60.6,3.7,44.9,801–1000,32.7–36.9,19.0,17.8,56.2,68.4,35.1,"31,172",29.4,5%,51 : 49,761.0,801.0,34.8,U2196,GR,34.8,27.0,29.4,1:29.4,5%,11.7,19.39
University of Pau and Pays de l’Adour,France,,,,,,,,,,,,1201–1500,22.8–28.2,23.4,12.4,21.6,28.5,79.9,"14,105",13.9,15%,53 : 47,,1201.0,25.5,U2197,FR,25.5,21.6,13.9,1:13.9,15%,,25.76
University of Pavia,Italy,,,,,,,,,,,,301–350,51.1–53.0,37.6,32.3,82.7,80.4,50.4,"17,701",31.5,9%,54 : 46,,301.0,52.05,U2198,IT,52.05,82.7,31.5,1:31.5,9%,,47.57
University of Pecs,Hungary,771-780,,14.3,11.9,41.4,2.8,9.3,64.3,40.3,4.0,11.3,,,,,,,,,,,,771.0,,,U2199,HU,,2.8,,,,14.3,14.24
University of Pennsylvania,United States,11,90.3,96.3,91.9,99.8,74.0,90.9,66.2,91.9,100.0,93.0,16,91.0,87.7,89.7,97.6,97.7,78.8,"21,312",6.2,22%,54 : 46,11.0,16.0,91.0,U2200,UN,90.3,74.0,6.2,1:6.2,22%,96.3,81.89
University of Peradeniya ,Sri Lanka,1201-1400,,9.0,11.6,12.0,2.0,1.0,1.3,22.7,10.9,5.8,1001–1200,28.3–32.6,18.4,9.2,58.6,23.3,39.8,"22,336",13.9,1%,65 : 35,1201.0,1001.0,30.450000000000003,U2201,SR,30.450000000000003,2.0,13.9,1:13.9,1%,9.0,8.45
University of Pernambuco,Brazil,,,,,,,,,,,,1501+,9.7–22.7,16.0,10.3,15.2,18.3,26.4,"21,435",16.9,0%,,,1501.0,16.2,U2202,BR,16.2,15.2,16.9,1:16.9,0%,,9.78
University of Peshawar,Pakistan,901-950,,6.9,9.9,34.3,21.4,,1.9,42.9,15.3,1.1,1001–1200,28.3–32.6,19.4,12.2,61.0,17.4,47.3,"20,494",42.7,0%,18 : 82,901.0,1001.0,30.450000000000003,U2203,PA,30.450000000000003,21.4,42.7,1:42.7,0%,6.9,17.71
University of Petroleum and Energy Studies (UPES),India,801-850,,21.8,6.1,39.5,3.4,18.2,1.2,56.9,1.9,1.0,,,,,,,,,,,,801.0,,,U2204,IN,,3.4,,,,21.8,14.42
University of Phayao,Thailand,,,,,,,,,,,,1501+,9.7–22.7,14.9,9.4,39.3,16.3,25.9,"17,256",17.1,0%,66 : 34,,1501.0,16.2,U2205,TH,16.2,39.3,17.1,1:17.1,0%,,16.49
University of Pisa,Italy,382,30.7,40.4,15.1,8.6,38.8,5.9,4.2,88.3,15.0,56.7,401–500,45.4–49.0,31.1,31.2,80.5,68.7,43.2,"31,567",20.9,5%,52 : 48,382.0,401.0,47.2,U2206,IT,30.7,38.8,20.9,1:20.9,5%,40.4,31.95
University of Pittsburgh,United States,275,38.2,35.0,12.7,96.3,31.3,9.5,13.5,91.7,42.6,53.5,,,,,,,,,,,,275.0,,,U2207,UN,38.2,31.3,,,,35.0,22.87
University of Pittsburgh-Pittsburgh campus,United States,,,,,,,,,,,,=145,62.5,49.1,46.1,92.4,76.1,50.9,"26,305",5.4,10%,56 : 44,,145.0,62.5,U2208,UN,62.5,92.4,5.4,1:5.4,10%,,57.86
University of Plymouth,United Kingdom,661-670,,8.9,8.9,11.6,25.9,49.8,36.2,80.1,7.3,21.5,401–500,45.4–49.0,24.4,21.9,79.5,66.1,80.6,"15,675",17.1,16%,59 : 41,661.0,401.0,47.2,U2209,UN,47.2,25.9,17.1,1:17.1,16%,8.9,32.21
University of Port Harcourt,Nigeria,,,,,,,,,,,,1501+,9.7–22.7,23.1,14.4,15.4,21.8,32.0,"31,493",17.1,0%,35 : 65,,1501.0,16.2,U2210,NI,16.2,15.4,17.1,1:17.1,0%,,13.35
University of Porto,Portugal,278,38.1,41.3,17.9,10.8,59.6,6.6,19.8,95.1,39.1,53.1,401–500,45.4–49.0,31.3,35.4,71.1,66.3,57.9,"36,386",16.9,17%,54 : 46,278.0,401.0,47.2,U2211,PO,38.1,59.6,16.9,1:16.9,17%,41.3,44.01
University of Portsmouth,United Kingdom,631-640,,8.1,7.3,8.6,15.1,74.0,85.3,75.4,8.9,21.1,401–500,45.4–49.0,20.0,20.0,84.5,40.6,94.7,"23,625",16.8,29%,47 : 53,631.0,401.0,47.2,U2212,UN,47.2,15.1,16.8,1:16.8,29%,8.1,31.35
University of Potsdam,Germany,,,,,,,,,,,,201–250,55.9–58.6,37.3,44.7,80.4,91.0,68.5,"14,330",38.1,16%,57 : 43,,201.0,57.25,U2213,GE,57.25,80.4,38.1,1:38.1,16%,,57.75
University of Pretoria,South Africa,354,32.2,23.9,48.8,4.0,15.5,33.3,8.2,98.1,80.1,79.6,501–600,41.9–45.3,31.2,34.3,56.7,69.9,61.4,"37,315",22.1,6%,59 : 41,354.0,501.0,43.599999999999994,U2214,SO,32.2,15.5,22.1,1:22.1,6%,23.9,30.92
University of Primorska,Slovenia,1201-1400,,3.7,2.5,8.9,4.1,25.0,26.4,46.3,4.2,1.0,1501+,9.7–22.7,16.4,14.9,26.5,21.9,61.8,"5,805",15.3,18%,77 : 23,1201.0,1501.0,16.2,U2215,SL,16.2,4.1,15.3,1:15.3,18%,3.7,17.39
University of Prishtina,Kosovo,,,,,,,,,,,,1501+,9.7–22.7,11.8,10.7,13.7,18.4,38.9,"28,532",31.4,1%,65 : 35,,1501.0,16.2,U2216,KO,16.2,13.7,31.4,1:31.4,1%,,12.56
University of Puerto Rico,Puerto Rico,,,,,,,,,,,,1201–1500,22.8–28.2,25.0,11.4,40.8,37.6,44.4,"43,535",15.2,1%,58 : 42,,1201.0,25.5,U2217,PU,25.5,40.8,15.2,1:15.2,1%,,22.47
University of Qom,Iran,,,,,,,,,,,,1201–1500,22.8–28.2,22.2,12.1,35.1,17.3,48.6,"11,828",43.0,33%,44 : 56,,1201.0,25.5,U2218,IR,25.5,35.1,43.0,1:43.0,33%,,22.12
The University of Queensland,Australia,40,80.2,86.7,74.0,21.2,90.2,100.0,100.0,96.7,56.7,96.7,70,72.0,52.9,64.3,89.1,99.8,94.0,"42,847",39.1,42%,55 : 45,40.0,70.0,72.0,U2219,AU,80.2,90.2,39.1,1:39.1,42%,86.7,77.16
University of Rajshahi,Bangladesh,,,,,,,,,,,,1001–1200,28.3–32.6,15.9,9.3,59.3,17.6,39.6,"22,042",20.4,0%,34 : 66,,1001.0,30.450000000000003,U2220,BA,30.450000000000003,59.3,20.4,1:20.4,0%,,25.81
University of Reading,United Kingdom,172,49.9,32.2,41.7,13.1,65.7,86.2,78.6,91.7,47.8,94.0,201–250,55.9–58.6,37.5,40.6,84.1,70.8,95.5,"15,945",16.6,31%,55 : 45,172.0,201.0,57.25,U2221,UN,49.9,65.7,16.6,1:16.6,31%,32.2,57.68
University of Regina,Canada,951-1000,,3.3,2.5,3.9,21.0,7.3,38.3,39.1,4.1,44.6,801–1000,32.7–36.9,17.8,19.5,62.9,36.1,71.0,"14,167",24.6,26%,49 : 51,951.0,801.0,34.8,U2222,CA,34.8,21.0,24.6,1:24.6,26%,3.3,27.15
University of Rennes 1,France,,,,,,,,,,,,801–1000,32.7–36.9,32.1,17.9,44.7,64.0,63.8,"27,592",17.5,12%,52 : 48,,801.0,34.8,U2223,FR,34.8,44.7,17.5,1:17.5,12%,,31.75
University of Rhode Island ,United States,1001-1200,,5.6,3.5,6.7,16.2,5.2,2.6,48.9,11.8,54.1,601–800,37.0–41.8,26.3,20.5,57.4,50.0,53.7,"15,886",14.5,3%,57 : 43,1001.0,601.0,39.4,U2224,UN,39.4,16.2,14.5,1:14.5,3%,5.6,22.03
University of Rijeka,Croatia,1201-1400,,6.1,4.3,13.8,4.3,2.5,1.8,45.8,12.0,2.9,1501+,9.7–22.7,18.7,16.7,29.9,25.8,29.2,"13,163",15.6,3%,58 : 42,1201.0,1501.0,16.2,U2225,CR,16.2,4.3,15.6,1:15.6,3%,6.1,10.51
University of Rochester,United States,236,42.3,22.6,20.8,99.1,33.6,63.9,93.8,64.3,40.4,63.7,133,63.6,50.8,42.9,88.3,89.0,81.7,"9,855",7.3,34%,50 : 50,236.0,133.0,63.6,U2226,UN,42.3,33.6,7.3,1:7.3,34%,22.6,45.82
University of Roehampton,United Kingdom,,,,,,,,,,,,801–1000,32.7–36.9,23.0,21.5,52.0,35.8,85.0,"8,245",19.6,36%,67 : 33,,801.0,34.8,U2227,UN,34.8,52.0,19.6,1:19.6,36%,,40.97
University of Rome II – Tor Vergata,Italy,,,,,,,,,,,,301–350,51.1–53.0,39.9,33.5,74.3,77.5,66.9,"18,480",24.0,20%,58 : 42,,301.0,52.05,U2228,IT,52.05,74.3,24.0,1:24.0,20%,,49.64
University of Rome III,Italy,,,,,,,,,,,,601–800,37.0–41.8,23.1,25.3,58.3,49.5,45.4,"33,611",46.5,5%,60 : 40,,601.0,39.4,U2229,IT,39.4,58.3,46.5,1:46.5,5%,,35.3
"University of Rome ""Tor Vergata""",Italy,393,29.9,31.3,15.4,9.0,47.2,9.6,30.8,69.1,6.3,57.7,,,,,,,,,,,,393.0,,,U2230,IT,29.9,47.2,,,,31.3,27.69
University of Rzeszów,Poland,1201-1400,,5.2,1.8,15.1,2.7,,1.7,28.3,3.0,1.0,,,,,,,,,,,,1201.0,,,U2231,PO,,2.7,,,,5.2,14.21
University of São Paulo,Brazil,,,,,,,,,,,,201–250,55.9–58.6,59.8,60.7,57.3,68.2,42.5,"83,182",13.9,2%,47 : 53,,201.0,57.25,U2232,BR,57.25,57.3,13.9,1:13.9,2%,,52.85
University of Salamanca,Spain,539,22.8,26.9,14.6,26.0,6.2,6.9,14.9,80.0,23.4,69.5,801–1000,32.7–36.9,32.0,21.8,50.4,39.9,53.6,"24,707",14.7,13%,61 : 39,539.0,801.0,34.8,U2233,SP,22.8,6.2,14.7,1:14.7,13%,26.9,19.66
University of Salento,Italy,,,,,,,,,,,,601–800,37.0–41.8,30.1,21.8,64.5,52.2,34.5,"14,304",24.7,2%,62 : 38,,601.0,39.4,U2234,IT,39.4,64.5,24.7,1:24.7,2%,,32.71
University of Salerno,Italy,801-850,,8.6,2.4,5.6,37.1,3.3,1.6,87.4,4.0,19.2,501–600,41.9–45.3,21.9,24.4,79.2,52.4,37.4,"26,142",26.5,2%,55 : 45,801.0,501.0,43.599999999999994,U2235,IT,43.599999999999994,37.1,26.5,1:26.5,2%,8.6,26.47
University of Salford,United Kingdom,901-950,,6.8,3.9,6.4,6.9,36.7,69.8,63.6,9.6,5.8,801–1000,32.7–36.9,18.8,15.0,61.1,46.9,82.2,"20,010",20.3,23%,55 : 45,901.0,801.0,34.8,U2236,UN,34.8,6.9,20.3,1:20.3,23%,6.8,23.22
University of San Carlos,Philippines,1401+,,7.2,9.4,3.3,1.8,2.1,2.1,6.4,9.6,1.0,,,,,,,,,,,,1401.0,,,U2237,PH,,1.8,,,,7.2,13.93
University of San Diego,United States,1201-1400,,6.2,7.0,25.5,2.7,3.1,6.8,5.5,12.2,1.0,,,,,,,,,,,,1201.0,,,U2238,UN,,2.7,,,,6.2,14.21
University of San Francisco,United States,1201-1400,,5.9,4.4,18.7,3.6,2.3,20.2,6.0,29.5,1.2,,,,,,,,,,,,1201.0,,,U2239,UN,,3.6,,,,5.9,14.48
University of Sannio,Italy,,,,,,,,,,,,601–800,37.0–41.8,23.6,20.5,63.6,71.1,29.3,"2,751",13.4,1%,49 : 51,,601.0,39.4,U2240,IT,39.4,63.6,13.4,1:13.4,1%,,30.5
"University of Santiago, Chile (USACH)",Chile,,,,,,,,,,,,1501+,9.7–22.7,15.8,15.4,29.8,27.7,45.9,"24,717",20.8,2%,45 : 55,,1501.0,16.2,U2241,CH,16.2,29.8,20.8,1:20.8,2%,,21.59
University of Santiago de Compostela,Spain,,,,,,,,,,,,601–800,37.0–41.8,29.7,21.1,58.7,69.6,46.6,"24,872",14.6,6%,65 : 35,,601.0,39.4,U2242,SP,39.4,58.7,14.6,1:14.6,6%,,33.51
University of Santo Tomas,Philippines,851-900,,12.8,39.9,12.5,1.3,34.9,5.8,18.1,14.1,2.4,1501+,9.7–22.7,19.6,9.5,25.8,20.7,67.0,"31,813",13.3,7%,51 : 49,851.0,1501.0,16.2,U2243,PH,16.2,1.3,13.3,1:13.3,7%,12.8,14.97
University of Sarajevo ,Bosnia and Herzegovina,1001-1200,,4.4,1.6,4.6,1.9,,2.8,46.5,83.6,1.0,1501+,9.7–22.7,16.4,10.8,18.6,23.6,27.7,"25,468",15.6,0%,64 : 36,1001.0,1501.0,16.2,U2244,BO,16.2,1.9,15.6,1:15.6,0%,4.4,6.33
University of Sargodha,Pakistan,,,,,,,,,,,,1001–1200,28.3–32.6,27.6,11.9,50.5,17.7,48.1,"19,172",24.3,0%,55 : 45,,1001.0,30.450000000000003,U2245,PA,30.450000000000003,50.5,24.3,1:24.3,0%,,26.56
University of Saskatchewan,Canada,340,33.2,11.1,5.3,18.2,57.0,77.3,49.5,82.3,32.1,90.7,351–400,49.1–51.0,39.0,35.1,62.9,95.8,78.9,"17,924",18.1,21%,56 : 44,340.0,351.0,50.05,U2246,CA,33.2,57.0,18.1,1:18.1,21%,11.1,48.14
University of Sassari,Italy,,,,,,,,,,,,601–800,37.0–41.8,31.1,24.7,66.3,45.7,41.9,"15,207",38.1,2%,63 : 37,,601.0,39.4,U2247,IT,39.4,66.3,38.1,1:38.1,2%,,36.56
University of Science and Technology Beijing,China,430,27.7,11.8,4.2,10.2,99.4,3.1,2.8,56.8,4.9,3.6,,,,,,,,,,,,430.0,,,U2248,CH,27.7,99.4,,,,11.8,43.51
University of Science and Technology of China,China,133,54.1,50.0,23.7,94.7,97.7,11.6,5.1,75.7,31.9,11.9,57,74.8,74.3,66.3,88.2,95.6,45.4,"20,252",8.1,5%,,133.0,57.0,74.8,U2249,CH,54.1,97.7,8.1,1:8.1,5%,50.0,68.73
