University,Country,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,QS_International_Research_Network,QS_Employment_Outcomes,QS_Sustainability,THE_Rank,THE_Overall_Score,THE_Teaching,THE_Research,THE_Citations,THE_Industry_Income,THE_International_Outlook,THE_Number_Students,THE_Student_Staff_Ratio,THE_International_Students,THE_Female_Male_Ratio
The University of Georgia,US,587,21.1,20.6,18.6,9.8,24.4,6.7,4.5,83.7,21.5,30.7,351–400,49.1–51.0,41.2,40.5,68.2,69.8,43.9,"37,565",15.7,6%,58 : 42
University of Ghana,GH,851-900,-,11.5,7.6,1.9,5.3,4.5,1.7,72.8,95.4,7.6,1001–1200,28.3–32.6,14.9,21.3,42.1,37.3,52.3,"59,744",35.9,1%,49 : 51
University of Girona,Spain,,,,,,,,,,,,801–1000,32.7–36.9,20.8,22.4,56.3,55.0,56.8,"14,158",21.0,14%,58 : 42
University of Glasgow,UK,78,65,77.4,67.7,38.0,32.5,95.7,99.4,97.6,33.5,98.5,=87,68.2,48.1,51.8,96.8,69.7,96.1,"32,270",14.4,43%,59 : 41
University of Gloucestershire,United Kingdom,,,,,,,,,,,,801–1000,32.7–36.9,17.4,14.0,57.6,34.5,65.7,"6,880",17.0,12%,59 : 41
University of Gothenburg,SE,194,46.7,35.4,18.3,60.9,33.6,90.0,78.2,94.2,63.1,92.8,201–250,55.9–58.6,34.0,43.4,90.2,75.4,65.7,"21,698",11.9,13%,
University of Granada,ES,431,27.6,44.4,14.1,5.7,26.2,3.1,14.8,96.3,4.9,26.3,501–600,41.9–45.3,28.5,26.6,65.7,52.2,52.6,"55,523",14.7,9%,59 : 41
University of Graz,Austria,,,,,,,,,,,,501–600,41.9–45.3,29.2,21.8,66.9,51.2,81.3,"12,830",12.6,17%,66 : 34
University of Greenwich,UK,691-700,-,4.7,4.1,4.1,11.7,91.5,100.0,78.2,14.9,5.4,501–600,41.9–45.3,17.8,17.5,81.2,40.9,97.2,"17,095",21.8,46%,58 : 42
University of Greifswald,Germany,,,,,,,,,,,,401–500,45.4–49.0,35.5,29.9,73.8,60.2,57.1,"10,366",21.1,8%,59 : 41
University of Groningen,NL,159,51.3,52.3,34.4,49.3,41.2,93.2,83.5,94.1,40.0,40.1,79,70.0,47.5,57.2,94.5,99.9,93.4,"31,942",28.8,29%,53 : 47
University of Guadalajara,Mexico,,,,,,,,,,,,1501+,9.7–22.7,16.3,8.8,13.7,18.0,31.2,"140,348",19.3,0%,55 : 45
University of Guanajuato,Mexico,,,,,,,,,,,,1501+,9.7–22.7,16.2,9.3,13.4,20.5,36.4,"30,317",21.4,2%,55 : 45
University of Guelph,CA,456,26.3,12.8,12.8,5.0,50.1,46.4,14.3,65.2,11.2,82.9,401–500,45.4–49.0,32.6,36.2,66.2,78.1,64.5,"22,936",27.3,10%,59 : 41
University of Guilan,Iran,,,,,,,,,,,,1201–1500,22.8–28.2,21.2,17.5,46.2,27.9,23.4,"19,023",34.3,1%,58 : 42
University of Gujrat,Pakistan,,,,,,,,,,,,1001–1200,28.3–32.6,13.4,11.3,69.5,16.0,45.8,"14,741",24.7,0%,58 : 42
University of Haifa,IL,671-680,-,13.0,5.9,14.6,32.1,13.4,3.6,67.2,22.9,37.3,601–800,37.0–41.8,23.9,30.1,68.4,64.5,34.5,"17,353",18.4,3%,66 : 34
University of Hail,SA,901-950,-,5.2,1.9,39.4,2.4,100.0,3.0,43.3,2.3,1.5,601–800,37.0–41.8,22.1,10.5,72.3,23.5,76.8,"19,400",11.2,3%,61 : 39
University of Hamburg,Germany,,,,,,,,,,,,=136,63.0,44.7,53.3,84.8,98.6,65.7,"29,240",58.5,13%,58 : 42
University of Havana,Cuba,,,,,,,,,,,,1501+,9.7–22.7,28.1,11.8,10.8,33.9,53.0,"15,584",9.0,5%,64 : 36
University of Hawai?i at M?noa,US,488,24.6,15.2,6.6,29.7,41.7,41.7,12.0,82.9,7.9,30.1,201–250,55.9–58.6,42.0,42.5,75.8,68.3,77.3,"14,936",11.3,10%,57 : 43
University of Helsinki,FI,117,56.8,62.3,29.1,59.4,49.6,73.4,5.7,96.9,90.5,94.5,121,65.1,48.1,57.6,90.6,69.2,56.7,"22,887",15.9,5%,67 : 33
University of Hertfordshire,UK,851-900,-,4.4,3.7,5.9,5.2,62.0,100.0,58.8,10.1,2.1,601–800,37.0–41.8,18.6,13.4,67.2,33.9,91.6,"20,480",16.3,40%,52 : 48
University of Hohenheim,DE,601-610,-,8.6,6.1,12.0,47.5,25.2,25.9,76.9,5.0,19.2,251–300,53.1–55.8,35.0,35.5,85.7,80.5,61.7,"8,369",37.7,14%,57 : 43
The University of Hong Kong,HK,17,87.6,97.4,59.4,81.2,86.4,100.0,99.3,81.4,99.7,89.2,35,80.3,65.6,72.3,96.4,95.2,96.8,"18,103",18.3,43%,55 : 45
University of Hormozgan,Iran,,,,,,,,,,,,1201–1500,22.8–28.2,24.6,14.1,37.6,22.8,26.4,"5,338",24.4,0%,58 : 42
University of Houston,US,651-660,-,12.7,11.4,5.0,24.6,23.9,19.8,71.6,50.3,19.7,501–600,41.9–45.3,33.8,29.7,65.8,70.2,50.8,"47,963",26.3,7%,52 : 48
University of Hradec Králové,Czech Republic,,,,,,,,,,,,1201–1500,22.8–28.2,19.7,15.2,40.8,23.5,60.4,"6,334",12.8,3%,64 : 36
University of Hradec Kralove,CZ,1001-1200,-,5.0,2.5,22.4,5.4,51.4,3.2,41.3,4.2,1.0,,,,,,,,,,,
University of Huddersfield,UK,501,24.1,12.7,12.4,7.5,19.4,63.7,85.6,73.0,1.3,72.3,501–600,41.9–45.3,28.3,25.0,66.3,44.4,88.4,"14,270",19.8,26%,58 : 42
University of Hull,UK,516,23.6,8.9,4.5,14.3,21.5,63.3,81.5,76.9,20.5,68.0,401–500,45.4–49.0,27.4,24.3,74.3,59.8,85.4,"12,305",18.0,21%,56 : 44
University of Hyderabad,IN,801-850,-,13.2,3.0,14.5,41.5,1.9,2.0,27.0,3.1,1.2,,,,,,,,,,,
University of Hyogo,Japan,,,,,,,,,,,,1501+,9.7–22.7,22.5,13.2,11.8,56.5,24.6,"6,540",12.4,3%,41 : 59
University of Ibadan,NG,1001-1200,-,9.9,7.8,5.2,3.5,,,65.8,69.3,2.2,801–1000,32.7–36.9,27.6,14.4,59.3,24.4,41.0,"41,269",19.7,0%,50 : 50
University of Iceland,IS,547,22.6,6.8,2.5,99.9,6.7,25.7,10.3,73.5,83.2,5.9,501–600,41.9–45.3,23.4,34.0,70.6,75.6,55.8,"9,899",17.0,12%,68 : 32
University of Idaho,US,1001-1200,-,3.1,1.4,9.9,32.6,4.6,5.9,32.5,3.5,3.4,,,,,,,,,,,
University of Žilina,SK,1001-1200,-,6.6,1.8,60.1,6.6,2.0,6.0,19.3,4.6,1.0,1001–1200,28.3–32.6,27.7,18.0,48.2,30.6,31.8,"7,154",14.0,3%,32 : 68
University of Illinois at Chicago (UIC),US,365,31.6,38.5,28.3,31.1,23.3,8.0,19.3,83.8,30.5,34.8,,,,,,,,,,,
University of Illinois at Urbana-Champaign,US,69,68.2,83.9,75.7,6.4,77.5,14.0,56.3,90.4,81.7,65.0,42,77.9,69.5,81.5,85.2,85.3,64.0,"50,250",19.6,23%,51 : 49
University of Illinois Chicago,United States,,,,,,,,,,,,201–250,55.9–58.6,50.3,33.9,80.0,76.7,61.0,"28,868",11.4,18%,54 : 46
University of Ilorin,Nigeria,,,,,,,,,,,,1201–1500,22.8–28.2,20.6,10.9,46.1,18.1,40.1,"52,921",39.2,0%,51 : 49
University of Indonesia,Indonesia,,,,,,,,,,,,801–1000,32.7–36.9,45.5,23.1,29.2,51.9,60.3,"41,222",7.9,14%,70 : 30
University of Innsbruck,Austria,,,,,,,,,,,,301–350,51.1–53.0,34.4,33.1,70.3,79.6,94.7,"15,315",23.7,48%,55 : 45
University of Insubria,Italy,,,,,,,,,,,,601–800,37.0–41.8,19.7,22.7,80.4,43.2,42.4,"10,244",27.5,5%,56 : 44
University of International Business and Economics,CN,1201-1400,-,3.7,2.3,9.7,3.0,7.0,30.3,5.3,14.0,1.1,,,,,,,,,,,
University of Ioannina,GR,1001-1200,-,7.2,3.8,1.5,19.5,1.7,2.5,61.3,3.6,2.0,1001–1200,28.3–32.6,14.0,12.4,55.9,47.4,43.2,"32,155",32.6,5%,54 : 46
University of Iowa,US,596,20.8,18.4,8.7,41.7,19.1,15.5,3.7,75.6,26.6,20.8,201–250,55.9–58.6,46.1,37.0,79.9,88.6,55.8,"28,583",10.9,6%,55 : 45
University of Isfahan,Iran,,,,,,,,,,,,1001–1200,28.3–32.6,30.4,16.8,40.9,26.2,35.5,"17,182",24.0,8%,58 : 42
University of Jaén,Spain,,,,,,,,,,,,801–1000,32.7–36.9,20.7,18.8,64.2,41.0,45.4,"13,321",16.1,7%,57 : 43
University of Jeddah,Saudi Arabia,,,,,,,,,,,,1001–1200,28.3–32.6,17.4,9.2,51.5,16.0,73.2,"28,561",14.6,2%,67 : 33
University of Jijel,Algeria,,,,,,,,,,,,1501+,9.7–22.7,12.8,8.8,12.7,16.0,37.5,"23,690",22.4,0%,72 : 28
University of Johannesburg,ZA,312,35,17.7,17.9,40.3,24.9,96.5,51.4,98.0,63.1,65.6,401–500,45.4–49.0,28.6,36.3,66.8,44.8,81.0,"31,721",26.5,13%,55 : 45
University of Jordan,JO,368,31.4,32.9,46.7,19.5,3.5,21.2,43.5,67.0,82.1,39.5,601–800,37.0–41.8,27.8,13.4,62.7,30.8,67.1,"25,631",10.3,20%,69 : 31
University of Jyväskylä,FI,489,24.5,16.2,11.4,87.7,12.1,44.0,2.6,81.2,10.4,16.3,401–500,45.4–49.0,31.4,34.1,78.2,53.0,49.7,"10,702",13.8,3%,62 : 38
University of Kaiserslautern,Germany,,,,,,,,,,,,601–800,37.0–41.8,38.7,28.7,44.4,83.0,56.7,"6,912",22.0,19%,34 : 66
University of Kansas,US,452,26.4,14.4,12.6,86.7,9.2,60.3,7.2,84.6,28.2,32.4,351–400,49.1–51.0,42.7,25.9,73.1,79.9,58.6,"23,410",9.5,7%,53 : 47
University of Karachi,PK,1001-1200,-,11.6,16.1,1.6,4.9,3.5,1.1,36.8,42.8,1.2,1501+,9.7–22.7,14.1,10.6,19.5,24.5,44.4,"47,337",39.3,0%,60 : 40
University of Kashan,Iran,,,,,,,,,,,,601–800,37.0–41.8,27.1,19.9,74.7,21.9,24.8,"8,654",28.4,2%,55 : 45
University of Kelaniya,Sri Lanka,,,,,,,,,,,,1501+,9.7–22.7,16.8,8.1,12.0,17.2,36.2,"17,699",15.6,3%,66 : 34
University of Kent,UK,380,30.8,15.4,10.0,14.6,45.7,95.1,49.8,78.8,34.0,40.4,401–500,45.4–49.0,27.6,29.0,77.6,51.9,93.5,"16,515",18.0,27%,53 : 47
University of Kentucky,US,791-800,-,11.1,9.8,15.3,23.5,12.9,3.3,75.4,13.9,10.1,401–500,45.4–49.0,41.3,30.8,71.8,70.9,46.8,"27,540",11.3,3%,58 : 42
University of Kerbala,Iraq,,,,,,,,,,,,1501+,9.7–22.7,18.3,7.7,10.7,15.8,22.6,"21,735",15.8,0%,54 : 46
University of Khartoum,SD,1001-1200,-,6.1,4.0,6.7,2.6,,1.4,45.0,74.1,1.0,,,,,,,,,,,
University of Kiel,Germany,,,,,,,,,,,,301–350,51.1–53.0,33.3,33.3,81.6,63.0,62.9,"29,463",23.9,8%,54 : 46
University of Klagenfurt,AT,611-620,-,5.7,3.7,51.3,11.3,96.0,87.8,35.6,9.2,1.6,501–600,41.9–45.3,31.2,19.4,72.4,48.1,87.6,"3,479",10.0,31%,67 : 33
University of Konstanz,Germany,,,,,,,,,,,,251–300,53.1–55.8,39.8,44.4,71.5,97.4,76.4,"7,594",34.5,11%,58 : 42
University of Kragujevac,RS,1201-1400,-,3.9,3.0,8.5,3.7,1.0,1.1,44.1,9.3,1.0,1001–1200,28.3–32.6,23.8,10.7,60.0,21.2,31.8,"16,543",13.7,1%,63 : 37
University of Kufa,IQ,1201-1400,-,4.4,12.8,29.0,1.4,4.4,1.1,16.4,4.2,1.0,1501+,9.7–22.7,20.0,8.7,18.0,16.7,29.5,"28,175",12.3,0%,65 : 35
University of Kurdistan,Iran,,,,,,,,,,,,801–1000,32.7–36.9,16.8,14.7,70.8,19.0,35.9,"12,714",32.2,4%,54 : 46
University of Kwazulu-Natal,ZA,587,21.1,12.6,10.2,5.5,24.5,24.5,1.6,93.7,71.2,37.9,501–600,41.9–45.3,31.5,34.8,63.7,39.7,55.9,"33,039",27.6,2%,60 : 40
University of L’Aquila,Italy,,,,,,,,,,,,501–600,41.9–45.3,32.1,22.8,73.2,70.9,36.4,"18,822",31.7,5%,55 : 45
University of la Costa,Colombia,,,,,,,,,,,,801–1000,32.7–36.9,13.2,10.7,74.2,16.3,54.9,"12,000",18.1,1%,42 : 58
University of La Frontera,Chile,,,,,,,,,,,,1201–1500,22.8–28.2,17.6,12.3,32.7,22.8,51.3,"12,157",23.2,1%,51 : 49
University of La Laguna,Spain,,,,,,,,,,,,1001–1200,28.3–32.6,21.9,15.8,54.7,28.7,50.7,"19,228",13.3,5%,58 : 42
University of La Sabana,Colombia,,,,,,,,,,,,1501+,9.7–22.7,17.4,10.9,19.7,16.6,44.3,"11,838",17.1,2%,56 : 44
University of La Serena,Chile,,,,,,,,,,,,1201–1500,22.8–28.2,12.3,9.9,49.2,16.4,50.4,"8,170",26.4,1%,51 : 49
University of Laghouat,Algeria,,,,,,,,,,,,1501+,9.7–22.7,14.0,8.6,17.2,15.9,39.7,"30,088",29.8,0%,46 : 54
University of Lagos,NG,1001-1200,-,8.4,7.5,2.2,2.6,,,34.0,87.6,1.3,1001–1200,28.3–32.6,14.6,14.4,65.5,20.9,41.5,"41,048",27.5,0%,51 : 49
The University of Lahore,PK,951-1000,-,11.1,19.4,12.3,3.3,4.0,3.0,61.4,2.7,19.7,801–1000,32.7–36.9,17.6,10.2,68.8,20.3,52.6,"26,010",13.5,2%,38 : 62
University of Lampung,ID,1401+,-,4.7,2.3,5.1,1.3,1.2,1.0,3.4,2.2,1.0,1501+,9.7–22.7,17.1,8.1,26.3,16.8,18.4,"34,807",13.1,0%,60 : 40
University of Las Palmas de Gran Canaria,Spain,,,,,,,,,,,,1001–1200,28.3–32.6,19.8,16.1,45.6,25.2,42.1,"15,681",17.0,6%,57 : 43
University of Latvia,LV,781-790,-,11.5,16.7,5.9,5.3,12.1,5.1,71.5,90.4,9.8,1001–1200,28.3–32.6,18.6,27.1,40.3,42.5,47.6,"12,125",30.2,7%,69 : 31
University of Lausanne,CH,224,43.6,28.4,18.8,36.8,61.0,100.0,54.2,79.8,51.8,51.2,=143,62.7,41.7,46.3,87.3,99.5,90.4,"14,478",10.5,23%,
University of León,Spain,,,,,,,,,,,,1001–1200,28.3–32.6,23.2,13.6,46.7,70.3,36.5,"10,410",12.1,4%,53 : 47
University of Leeds,UK,82,63.8,70.5,75.9,36.4,39.8,82.5,88.5,98.8,50.9,71.8,129,63.9,46.1,49.1,87.3,68.8,94.6,"33,450",14.4,32%,59 : 41
University of Leicester,UK,285,37.2,19.8,13.7,30.8,43.4,80.0,95.3,88.8,22.7,75.0,201–250,55.9–58.6,33.4,34.2,95.5,67.9,95.1,"14,000",13.9,31%,54 : 46
University of Leoben,Austria,,,,,,,,,,,,1001–1200,28.3–32.6,35.2,13.7,31.6,58.8,77.4,"2,496",4.2,17%,26 : 74
University of Lethbridge,Canada,,,,,,,,,,,,1201–1500,22.8–28.2,20.3,14.1,31.2,34.6,61.4,"7,181",13.4,12%,
University of Liège,Belgium,,,,,,,,,,,,301–350,51.1–53.0,33.5,38.7,72.7,95.5,73.6,"23,545",29.2,20%,58 : 42
University of Life Sciences in Lublin,Poland,,,,,,,,,,,,1501+,9.7–22.7,20.2,11.7,30.3,19.1,20.7,"7,355",11.6,2%,65 : 35
University of Lille,France,,,,,,,,,,,,601–800,37.0–41.8,32.5,23.2,58.6,67.2,68.0,"79,372",31.5,13%,61 : 39
University of Limerick,IE,421,28.3,18.3,25.5,15.7,23.0,87.1,30.8,72.5,8.0,76.4,401–500,45.4–49.0,27.1,32.6,64.1,75.9,76.1,"14,640",27.1,15%,50 : 50
University of Lincoln,UK,851-900,-,5.9,4.7,7.9,9.9,74.0,47.2,58.5,4.8,10.1,501–600,41.9–45.3,19.9,18.7,82.2,24.7,80.2,"15,020",16.1,13%,55 : 45
University of Lisbon ,PT,260,39.6,44.0,20.7,10.7,36.5,9.0,39.4,98.2,94.0,70.9,401–500,45.4–49.0,29.6,38.0,69.9,64.7,56.9,"49,847",18.0,16%,53 : 47
University of Liverpool,UK,165,50.7,46.1,39.4,37.8,36.6,88.3,85.4,97.2,36.3,95.6,=168,60.8,38.4,40.2,93.4,64.9,96.4,"25,955",14.2,32%,54 : 46
University of Ljubljana,SI,596,20.8,19.9,9.2,33.3,5.9,4.2,9.7,84.8,97.6,4.9,801–1000,32.7–36.9,24.5,20.1,54.6,69.8,42.4,"40,607",13.8,9%,60 : 40
University of Lleida,Spain,,,,,,,,,,,,801–1000,32.7–36.9,23.5,20.1,58.2,57.3,45.4,"9,474",16.1,10%,59 : 41
University of Lodz,PL,901-950,-,11.5,4.1,39.5,3.4,4.0,11.3,70.9,16.3,1.9,,,,,,,,,,,
University of Lorraine,France,,,,,,,,,,,,601–800,37.0–41.8,27.3,18.9,58.0,60.6,72.9,"63,803",20.0,16%,53 : 47
University of Los Lagos,Chile,,,,,,,,,,,,1501+,9.7–22.7,15.9,14.1,25.8,16.0,49.5,"5,995",17.4,0%,60 : 40
University of Louisville,US,1001-1200,-,3.5,3.2,30.5,7.7,24.8,3.2,59.0,5.1,2.4,,,,,,,,,,,
University of Lucknow,India,,,,,,,,,,,,1501+,9.7–22.7,28.4,10.3,26.5,18.0,23.1,"18,173",29.4,2%,45 : 55
University of Luxembourg,LU,355,32.1,9.2,4.5,80.8,25.2,100.0,100.0,70.1,52.8,3.1,201–250,55.9–58.6,39.6,39.4,78.1,63.0,93.2,"5,599",21.3,49%,53 : 47
University of Münster,Germany,,,,,,,,,,,,=193,59.0,43.8,47.3,83.7,81.5,53.5,"27,529",25.1,5%,
University of Macau,MO,245,41.1,11.9,10.5,9.8,99.1,100.0,99.9,57.0,50.3,7.7,=193,59.0,38.4,38.1,90.3,61.9,93.7,"10,908",18.6,41%,54 : 46
University of Macerata (UNIMC),Italy,,,,,,,,,,,,1501+,9.7–22.7,16.2,18.1,24.6,15.6,37.3,"12,042",27.0,4%,75 : 25
University of Malaga,Spain,,,,,,,,,,,,1001–1200,28.3–32.6,21.5,16.0,43.2,51.5,42.2,"35,595",13.3,6%,54 : 46
University of Malakand,Pakistan,,,,,,,,,,,,801–1000,32.7–36.9,16.8,14.0,74.1,26.7,49.2,"8,339",32.1,1%,26 : 74
University of Malaya,Malaysia,,,,,,,,,,,,251–300,53.1–55.8,43.4,35.4,72.6,52.5,84.7,"19,346",10.2,22%,55 : 45
University of Malta,MT,751-760,-,6.1,4.6,31.7,7.2,18.0,19.2,75.9,95.9,1.9,801–1000,32.7–36.9,23.4,16.2,60.6,20.5,53.8,"10,056",12.3,14%,59 : 41
University of Management and Technology,Pakistan,,,,,,,,,,,,801–1000,32.7–36.9,13.8,10.4,80.4,19.1,51.3,"23,418",22.4,2%,50 : 50
The University of Manchester,UK,34,82,95.6,98.1,51.3,45.1,93.1,99.2,99.2,87.6,99.8,51,75.6,61.4,67.1,93.1,73.1,95.6,"40,725",15.6,45%,56 : 44
University of Manitoba,CA,661-670,-,13.6,15.9,29.6,12.0,,43.2,73.1,32.8,16.3,351–400,49.1–51.0,31.8,34.7,76.3,62.3,59.1,"30,316",30.0,21%,54 : 46
University of Mannheim,Germany,,,,,,,,,,,,=187,59.5,36.5,45.4,90.2,93.6,63.7,"7,475",57.1,14%,52 : 48
University of Manouba,Tunisia,,,,,,,,,,,,1201–1500,22.8–28.2,21.8,9.2,44.2,19.4,45.8,"17,175",14.5,2%,64 : 36
University of Maragheh,Iran,,,,,,,,,,,,1001–1200,28.3–32.6,12.1,16.6,55.7,17.5,34.0,"3,452",23.6,0%,55 : 45
University of Marburg,Germany,,,,,,,,,,,,401–500,45.4–49.0,36.7,31.4,68.8,63.1,62.3,"24,644",32.7,14%,56 : 44
University of Maribor,SI,901-950,-,8.0,6.6,29.2,6.8,1.8,13.0,61.0,33.4,9.1,1201–1500,22.8–28.2,20.1,16.9,40.8,36.5,38.9,"12,919",14.4,11%,54 : 46
University of Marrakech Cadi Ayyad,Morocco,,,,,,,,,,,,1201–1500,22.8–28.2,20.5,11.5,36.5,21.6,40.2,"115,156",45.9,1%,51 : 49
"University of Maryland, Baltimore County",US,771-780,-,10.2,6.8,14.1,13.5,49.8,25.8,45.0,4.5,57.7,601–800,37.0–41.8,28.8,24.6,61.5,66.8,50.1,"11,668",17.2,11%,46 : 54
"University of Maryland, College Park",US,218,44,48.6,29.4,32.5,55.0,20.9,16.2,92.3,41.2,54.4,114,65.7,49.4,58.1,92.8,70.2,48.6,"33,988",17.0,9%,49 : 51
University of Mascara,Algeria,,,,,,,,,,,,1501+,9.7–22.7,13.7,7.5,31.4,16.1,43.2,"21,663",23.8,0%,62 : 38
University of Massachusetts,United States,,,,,,,,,,,,=123,64.9,54.0,46.9,87.3,85.6,77.3,"63,500",13.3,14%,50 : 50
University of Massachusetts Amherst,US,275,38.2,38.2,17.2,10.0,48.8,61.0,25.3,79.8,30.6,83.4,,,,,,,,,,,
University of Massachusetts Boston,US,1001-1200,-,11.0,7.7,9.8,19.7,4.5,14.8,32.2,2.9,8.4,,,,,,,,,,,
University of Mataram,ID,1401+,-,6.4,1.7,3.8,1.1,1.5,1.0,3.7,2.2,1.0,,,,,,,,,,,
University of Mauritius,Mauritius,,,,,,,,,,,,1201–1500,22.8–28.2,17.6,13.4,45.3,40.3,35.4,"8,167",22.8,1%,54 : 46
University of Mazandaran,Iran,,,,,,,,,,,,1001–1200,28.3–32.6,27.5,18.9,39.1,24.7,32.1,"13,164",32.3,7%,62 : 38
University of Medicine and Pharmacy Carol Davila,Romania,,,,,,,,,,,,801–1000,32.7–36.9,26.3,11.0,62.6,24.6,38.8,"12,069",8.6,16%,68 : 32
University of Medicine and Pharmacy of Craiova,Romania,,,,,,,,,,,,1201–1500,22.8–28.2,24.3,9.9,37.2,19.2,40.5,"4,298",9.8,14%,63 : 37
The University of Melbourne,AU,13,88.9,98.5,93.9,15.4,93.0,95.1,99.8,97.4,96.5,99.6,37,79.2,64.8,76.4,90.1,98.3,92.7,"51,307",25.1,47%,58 : 42
University of Memphis,US,1201-1400,-,3.1,2.5,12.1,8.0,2.2,8.3,39.4,7.6,2.1,801–1000,32.7–36.9,27.5,19.0,55.0,63.0,35.0,"16,549",14.9,5%,62 : 38
University of Messina (UniME),IT,751-760,-,8.4,2.3,14.2,36.7,1.3,6.0,75.6,1.6,36.6,501–600,41.9–45.3,30.5,25.3,79.1,59.5,34.1,"13,509",21.1,3%,63 : 37
University of Miami,US,324,34.1,19.0,29.5,50.0,39.3,66.7,16.9,81.6,43.8,27.9,201–250,55.9–58.6,48.5,34.7,83.2,80.4,67.5,"17,060",10.4,14%,54 : 46
University of Michigan-Ann Arbor,US,44,79,97.9,92.1,80.3,47.6,65.5,39.2,95.8,94.5,62.2,23,87.4,84.7,87.4,95.5,80.7,69.0,"45,783",8.1,16%,51 : 49
University of Milan,IT,285,37.2,52.8,17.0,6.4,39.6,6.5,6.8,85.5,44.1,74.8,351–400,49.1–51.0,31.3,31.8,87.3,69.5,47.2,"50,995",21.8,7%,60 : 40
University of Milan-Bicocca,Italy,,,,,,,,,,,,351–400,49.1–51.0,27.8,26.0,91.1,66.7,47.0,"29,943",29.8,5%,62 : 38
University of Milano-Bicocca ,IT,513,23.7,20.4,10.9,3.3,54.1,3.5,4.3,81.1,11.5,14.8,,,,,,,,,,,
University of Minho,PT,611-620,-,15.6,7.1,26.5,21.0,15.9,14.9,83.7,8.6,52.1,601–800,37.0–41.8,26.3,30.3,59.3,74.7,51.9,"20,001",19.5,13%,56 : 44
University of Minnesota,United States,,,,,,,,,,,,85,68.7,61.0,58.5,87.2,99.8,48.3,"59,556",11.8,9%,55 : 45
University of Minnesota Twin Cities,US,203,46,56.8,33.1,32.4,41.9,7.7,8.7,91.7,52.5,96.5,,,,,,,,,,,
University of Miskolc ,HU,1201-1400,-,6.6,5.7,18.6,2.4,3.1,3.8,19.2,13.0,1.0,1501+,9.7–22.7,25.6,13.4,16.1,21.7,31.7,"7,808",14.9,5%,48 : 52
University of Mississippi,US,851-900,-,4.2,2.0,83.0,5.5,6.1,2.9,58.0,3.6,1.7,,,,,,,,,,,
"University of Missouri, Columbia",US,641-650,-,14.3,8.0,37.8,16.5,46.7,3.3,66.5,30.5,12.3,,,,,,,,,,,
"University of Missouri, Kansas City",US,1001-1200,-,4.4,4.4,14.3,16.9,4.1,20.0,29.3,6.6,1.8,,,,,,,,,,,
University of Missouri Saint Louis,US,1201-1400,-,4.2,4.2,12.3,10.5,3.4,3.1,9.8,7.7,1.0,,,,,,,,,,,
University of Miyazaki,Japan,,,,,,,,,,,,1501+,9.7–22.7,27.4,11.8,24.3,44.0,27.8,"5,447",7.4,3%,36 : 64
University of Modena and Reggio Emilia,IT,721-730,-,8.6,4.0,2.9,49.7,4.0,3.6,53.3,15.2,23.2,401–500,45.4–49.0,32.0,24.6,79.6,80.3,40.2,"21,836",27.0,5%,54 : 46
University of Mohaghegh Ardabili,Iran,,,,,,,,,,,,801–1000,32.7–36.9,19.3,17.3,71.5,19.7,32.9,"11,773",29.7,0%,55 : 45
University of Monastir,Tunisia,,,,,,,,,,,,1201–1500,22.8–28.2,25.7,10.1,36.2,28.1,46.0,"18,846",8.5,2%,69 : 31
University of Mons ,BE,781-790,-,7.1,7.0,3.4,37.3,35.0,33.7,43.7,6.1,1.6,501–600,41.9–45.3,24.8,32.5,63.9,64.0,71.5,"8,132",28.1,18%,56 : 44
University of Montana Missoula ,US,1401+,-,3.0,2.2,10.6,6.1,1.3,1.9,6.5,3.1,1.0,,,,,,,,,,,
University of Montenegro,Montenegro,,,,,,,,,,,,1501+,9.7–22.7,13.0,12.6,23.8,25.4,41.8,"15,618",20.3,2%,68 : 32
University of Montreal,Canada,,,,,,,,,,,,=111,65.8,51.2,54.1,81.7,96.6,87.7,"39,935",20.5,22%,
University of Mosul,Iraq,,,,,,,,,,,,1501+,9.7–22.7,14.8,9.9,16.3,28.8,20.1,"59,250",20.2,0%,47 : 53
University of Mumbai,IN,711-720,-,9.1,28.8,2.8,30.9,2.0,2.0,18.3,81.4,1.7,,,,,,,,,,,
University of Murcia,ES,901-950,-,11.7,2.9,24.5,6.8,1.7,3.9,79.8,3.7,44.9,801–1000,32.7–36.9,25.2,19.9,52.6,61.4,38.9,"28,862",17.7,5%,62 : 38
University of Mysore,India,,,,,,,,,,,,1501+,9.7–22.7,28.2,9.0,23.2,22.3,42.3,"10,130",25.8,8%,33 : 67
University of Nairobi,KE,901-950,-,10.0,11.7,20.1,1.8,,,50.1,92.5,1.8,1201–1500,22.8–28.2,12.0,10.6,45.9,18.8,49.8,"52,678",34.5,2%,24 : 76
University of Namibia,Namibia,,,,,,,,,,,,1201–1500,22.8–28.2,13.1,8.6,51.3,15.8,62.8,"28,916",21.6,3%,63 : 37
University of Namur,Belgium,,,,,,,,,,,,601–800,37.0–41.8,24.4,27.2,53.7,62.8,69.7,"6,616",22.2,12%,58 : 42
