university_id,university_name,country
UNI_00592,Kitasato University,Japan
UNI_00593,Tokyo Metropolitan University,Japan
UNI_00594,Kyoto Prefectural University of Medicine,Japan
UNI_00595,Toho University,Japan
UNI_00596,Mie University,Japan
UNI_00597,Tokyo Women's Medical University,Japan
UNI_00598,Saga University,Japan
UNI_00599,Hiroshima University,Japan
UNI_00600,Nara Institute of Science and Technology,Japan
UNI_00601,Jichi Medical University,Japan
UNI_00602,Okayama University,Japan
UNI_00603,Kyushu Institute of Technology,Japan
UNI_00604,Kinki University,Japan
UNI_00605,Juntendo University,Japan
UNI_00606,Nagoya Institute of Technology,Japan
UNI_00607,University of Miyazaki,Japan
UNI_00608,Sophia University,Japan
UNI_00609,University of Electro-Communications,Japan
UNI_00610,Tokyo Medical and Dental University (TMDU),Japan
UNI_00611,Jordan University of Science and Technology,Jordan
UNI_00612,University of Jordan,Jordan
UNI_00613,University of Nairobi,Kenya
UNI_00614,University of Latvia,Latvia
UNI_00615,American University of Beirut,Lebanon
UNI_00616,Vilnius University,Lithuania
UNI_00617,University of Luxembourg,Luxembourg
UNI_00618,University of Macau,Macau
UNI_00619,Universiti Teknologi Malaysia,Malaysia
UNI_00620,University of Malaya,Malaysia
UNI_00621,"University of Science, Malaysia",Malaysia
UNI_00622,Universiti Putra Malaysia,Malaysia
UNI_00623,Universiti Kebangsaan Malaysia,Malaysia
UNI_00624,"Putra University, Malaysia",Malaysia
UNI_00625,Universiti Sains Malaysia,Malaysia
UNI_00626,Universiti Teknologi MARA,Malaysia
UNI_00627,National Autonomous University of Mexico,Mexico
UNI_00628,Monterrey Institute of Technology and Higher Education,Mexico
UNI_00629,National Polytechnic Institute,Mexico
UNI_00630,University of Marrakech Cadi Ayyad,Morocco
UNI_00631,Tilburg University,Netherlands
UNI_00632,VU University Amsterdam,Netherlands
UNI_00633,University of Twente,Netherlands
UNI_00634,University of Groningen,Netherlands
UNI_00635,University of Amsterdam,Netherlands
UNI_00636,Leiden University,Netherlands
UNI_00637,Eindhoven University of Technology,Netherlands
UNI_00638,Radboud University Nijmegen,Netherlands
UNI_00639,Utrecht University,Netherlands
UNI_00640,Delft University of Technology,Netherlands
UNI_00641,Wageningen University and Research Centre,Netherlands
UNI_00642,Maastricht University,Netherlands
UNI_00643,Erasmus University Rotterdam,Netherlands
UNI_00644,Wageningen University and Research Center,Netherlands
UNI_00645,Wageningen University & Research,Netherlands
UNI_00646,University of Otago,New Zealand
UNI_00647,University of Canterbury,New Zealand
UNI_00648,University of Waikato,New Zealand
UNI_00649,University of Auckland,New Zealand
UNI_00650,Victoria University of Wellington,New Zealand
UNI_00651,Massey University,New Zealand
UNI_00652,Auckland University of Technology,New Zealand
UNI_00653,University of Ibadan,Nigeria
UNI_00654,UiT The Arctic University of Norway,Norway
UNI_00655,University of Bergen,Norway
UNI_00656,Norwegian University of Science and Technology,Norway
UNI_00657,University of Oslo,Norway
UNI_00658,Norwegian University of Life Sciences,Norway
UNI_00659,University of Tromsø - The Arctic University of Norway,Norway
UNI_00660,Sultan Qaboos University,Oman
UNI_00661,Quaid-i-azam University,Pakistan
UNI_00662,National University of Sciences and Technology,Pakistan
UNI_00663,Adam Mickiewicz University in Poznań,Poland
UNI_00664,Warsaw University of Technology,Poland
UNI_00665,Jagiellonian University,Poland
UNI_00666,AGH University of Science and Technology,Poland
UNI_00667,Gdańsk University of Technology,Poland
UNI_00668,University of Silesia,Poland
UNI_00669,University of Silesia in Katowice,Poland
