country,institute_type,direct_expenditure_type,year,expenditure_pct_gdp
Ireland,Higher Education Institutions ,Public,2005,1.0
Israel,Higher Education Institutions ,Public,2005,1.0
Italy,Higher Education Institutions ,Public,2005,0.6
Japan,Higher Education Institutions ,Public,2005,0.5
"Korea, Republic of",Higher Education Institutions ,Public,2005,0.6
Mexico,Higher Education Institutions ,Public,2005,0.9
Netherlands,Higher Education Institutions ,Public,2005,1.0
New Zealand,Higher Education Institutions ,Public,2005,0.9
Norway,Higher Education Institutions ,Public,2005,1.3
Poland,Higher Education Institutions ,Public,2005,1.2
Portugal,Higher Education Institutions ,Public,2005,0.9
Slovak Republic,Higher Education Institutions ,Public,2005,0.7
Slovenia,Higher Education Institutions ,Public,2005,1.0
Spain,Higher Education Institutions ,Public,2005,0.9
Sweden,Higher Education Institutions ,Public,2005,1.5
Switzerland,Higher Education Institutions ,Public,2005,1.4
United Kingdom,Higher Education Institutions ,Public,2005,0.9
United States,Higher Education Institutions ,Public,2005,1.0
Brazil,Higher Education Institutions ,Public,2005,0.8
Russia,Higher Education Institutions ,Public,2005,0.8
OECD Average,All Institutions ,Public,2009,5.4
Australia,All Institutions ,Public,2009,4.5
Austria,All Institutions ,Public,2009,5.7
Belgium,All Institutions ,Public,2009,6.4
Canada,All Institutions ,Public,2009,5.0
Chile,All Institutions ,Public,2009,4.1
Czech Republic,All Institutions ,Public,2009,4.2
Denmark,All Institutions ,Public,2009,7.5
Estonia,All Institutions ,Public,2009,5.9
Finland,All Institutions ,Public,2009,6.3
France,All Institutions ,Public,2009,5.8
Germany,All Institutions ,Public,2009,4.5
Hungary,All Institutions ,Public,2009,4.8
Iceland,All Institutions ,Public,2009,7.3
Ireland,All Institutions ,Public,2009,6.0
Israel,All Institutions ,Public,2009,5.8
Italy,All Institutions ,Public,2009,4.5
Japan,All Institutions ,Public,2009,3.6
"Korea, Republic of",All Institutions ,Public,2009,4.9
Mexico,All Institutions ,Public,2009,5.0
Netherlands,All Institutions ,Public,2009,5.3
New Zealand,All Institutions ,Public,2009,6.1
Norway,All Institutions ,Public,2009,6.1
Poland,All Institutions ,Public,2009,5.0
Portugal,All Institutions ,Public,2009,5.5
Slovak Republic,All Institutions ,Public,2009,4.1
Slovenia,All Institutions ,Public,2009,5.3
Spain,All Institutions ,Public,2009,4.9
Sweden,All Institutions ,Public,2009,6.6
Switzerland,All Institutions ,Public,2009,5.5
United Kingdom,All Institutions ,Public,2009,5.3
United States,All Institutions ,Public,2009,5.3
Brazil,All Institutions ,Public,2009,5.5
Russia,All Institutions ,Public,2009,4.7
OECD Average,Elementary and Secondary Institutions ,Public,2009,3.7
Australia,Elementary and Secondary Institutions ,Public,2009,3.6
Austria,Elementary and Secondary Institutions ,Public,2009,3.8
Belgium,Elementary and Secondary Institutions ,Public,2009,4.3
Canada,Elementary and Secondary Institutions ,Public,2009,3.4
Chile,Elementary and Secondary Institutions ,Public,2009,3.3
Czech Republic,Elementary and Secondary Institutions ,Public,2009,2.6
Denmark,Elementary and Secondary Institutions ,Public,2009,4.7
Estonia,Elementary and Secondary Institutions ,Public,2009,4.1
Finland,Elementary and Secondary Institutions ,Public,2009,4.1
France,Elementary and Secondary Institutions ,Public,2009,3.8
Germany,Elementary and Secondary Institutions ,Public,2009,2.9
Hungary,Elementary and Secondary Institutions ,Public,2009,3.0
Iceland,Elementary and Secondary Institutions ,Public,2009,5.0
Ireland,Elementary and Secondary Institutions ,Public,2009,4.6
Israel,Elementary and Secondary Institutions ,Public,2009,3.8
Italy,Elementary and Secondary Institutions ,Public,2009,3.3
Japan,Elementary and Secondary Institutions ,Public,2009,2.7
"Korea, Republic of",Elementary and Secondary Institutions ,Public,2009,3.6
Luxembourg,Elementary and Secondary Institutions ,Public,2009,3.2
Mexico,Elementary and Secondary Institutions ,Public,2009,3.3
Netherlands,Elementary and Secondary Institutions ,Public,2009,3.7
New Zealand,Elementary and Secondary Institutions ,Public,2009,4.5
Norway,Elementary and Secondary Institutions ,Public,2009,4.2
Poland,Elementary and Secondary Institutions ,Public,2009,3.5
Portugal,Elementary and Secondary Institutions ,Public,2009,4.0
Slovak Republic,Elementary and Secondary Institutions ,Public,2009,2.7
