university_id,year,citations_per_faculty_score,international_research_network_score,research_score,citation_score,research_impact,source,research_productivity_index
U2799,2025,42.5,95.1,,42.5,42.5,QS 2025,63.17171717171716
U2726,2025,46.8,97.3,,46.8,46.8,QS 2025,66.66666666666666
U3088,2025,65.7,91.7,,65.7,65.7,QS 2025,75.85858585858585
U0802,2025,26.0,77.7,,26.0,26.0,QS 2025,46.14141414141414
U0491,2025,84.7,94.2,,84.7,84.7,QS 2025,88.3838383838384
U2473,2025,59.5,93.1,,59.5,59.5,QS 2025,72.66666666666666
U1297,2025,35.6,82.6,,35.6,35.6,QS 2025,53.93939393939394
U3379,2025,47.7,83.6,,47.7,47.7,QS 2025,61.67676767676768
U2716,2025,97.8,71.2,,97.8,97.8,QS 2025,87.03030303030302
U3014,2025,91.7,82.0,,91.7,91.7,QS 2025,87.6969696969697
U2284,2025,5.9,55.2,,5.9,5.9,QS 2025,24.868686868686872
U2556,2025,40.5,82.9,,40.5,40.5,QS 2025,57.03030303030303
U3377,2025,3.8,66.4,,3.8,3.8,QS 2025,28.12121212121212
U0762,2025,100.0,74.3,,100.0,100.0,QS 2025,89.61616161616162
U3294,2025,40.1,92.5,,40.1,40.1,QS 2025,60.666666666666664
U2085,2025,2.4,56.6,,2.4,2.4,QS 2025,23.313131313131315
U0334,2025,30.0,92.3,,30.0,30.0,QS 2025,54.464646464646464
U0452,2025,93.5,70.3,,93.5,93.5,QS 2025,84.06060606060606
U1075,2025,5.1,57.5,,5.1,5.1,QS 2025,25.313131313131315
U3045,2025,81.3,93.0,,81.3,81.3,QS 2025,85.83838383838383
U2079,2025,73.8,71.6,,73.8,73.8,QS 2025,72.64646464646464
U2590,2025,54.7,93.4,,54.7,54.7,QS 2025,69.87878787878788
U2142,2025,96.9,72.9,,96.9,96.9,QS 2025,87.17171717171718
U1727,2025,42.6,71.2,,42.6,42.6,QS 2025,53.57575757575758
U2825,2025,33.6,94.2,,33.6,33.6,QS 2025,57.41414141414141
U3410,2025,91.9,78.2,,91.9,91.9,QS 2025,86.28282828282829
U0583,2025,78.4,85.6,,78.4,78.4,QS 2025,81.0909090909091
U0511,2025,73.6,82.7,,73.6,73.6,QS 2025,77.01010101010101
U2220,2025,21.0,92.0,,21.0,21.0,QS 2025,48.888888888888886
U2704,2025,40.3,85.2,,40.3,40.3,QS 2025,57.838383838383834
U0159,2025,47.1,95.7,,47.1,47.1,QS 2025,66.20202020202021
U1117,2025,40.0,95.1,,40.0,40.0,QS 2025,61.65656565656565
U0116,2025,23.9,48.1,,23.9,23.9,QS 2025,32.90909090909091
U2487,2025,55.0,89.9,,55.0,55.0,QS 2025,68.64646464646464
U2977,2025,41.9,91.7,,41.9,41.9,QS 2025,61.43434343434344
U0567,2025,62.6,37.3,,62.6,62.6,QS 2025,51.99999999999999
U1728,2025,40.6,92.8,,40.6,40.6,QS 2025,61.090909090909086
U2459,2025,2.1,37.2,,2.1,2.1,QS 2025,15.292929292929294
U1567,2025,31.2,94.6,,31.2,31.2,QS 2025,56.121212121212125
U2092,2025,99.4,77.9,,99.4,99.4,QS 2025,90.70707070707071
U1458,2025,49.6,45.0,,49.6,49.6,QS 2025,47.23232323232323
U0862,2025,99.9,39.1,,99.9,99.9,QS 2025,75.33333333333334
U0064,2025,52.2,92.3,,52.2,52.2,QS 2025,67.91919191919192
U1725,2025,59.9,83.4,,59.9,59.9,QS 2025,68.98989898989899
U3044,2025,38.8,79.5,,38.8,38.8,QS 2025,54.62626262626262
U1418,2025,20.3,58.7,,20.3,20.3,QS 2025,35.01010101010101
U2803,2025,32.1,98.3,,32.1,32.1,QS 2025,58.161616161616166
U1200,2025,77.7,78.6,,77.7,77.7,QS 2025,77.83838383838383
U2954,2025,55.0,92.3,,55.0,55.0,QS 2025,69.6161616161616
U1487,2025,52.7,53.7,,52.7,52.7,QS 2025,52.62626262626263
U2395,2025,3.4,65.9,,3.4,3.4,QS 2025,27.67676767676768
U3365,2025,63.7,89.0,,63.7,63.7,QS 2025,73.55555555555557
U0565,2025,20.5,93.8,,20.5,20.5,QS 2025,49.31313131313131
U0878,2025,90.2,69.3,,90.2,90.2,QS 2025,81.65656565656566
U0671,2025,94.9,87.1,,94.9,94.9,QS 2025,91.6969696969697
U1242,2025,32.4,87.1,,32.4,32.4,QS 2025,53.81818181818181
U2915,2025,61.0,79.8,,61.0,61.0,QS 2025,68.20202020202021
U0879,2025,70.3,37.5,,70.3,70.3,QS 2025,56.74747474747475
U1747,2025,17.2,94.7,,17.2,17.2,QS 2025,47.67676767676768
U0411,2025,7.5,79.6,,7.5,7.5,QS 2025,35.69696969696969
U1253,2025,62.8,80.5,,62.8,62.8,QS 2025,69.57575757575756
U2528,2025,49.9,87.5,,49.9,49.9,QS 2025,64.58585858585857
U2327,2025,24.3,85.4,,24.3,24.3,QS 2025,48.22222222222223
U3243,2025,61.3,87.6,,61.3,61.3,QS 2025,71.53535353535352
U2077,2025,28.5,93.8,,28.5,28.5,QS 2025,54.161616161616166
U3266,2025,84.7,55.1,,84.7,84.7,QS 2025,72.58585858585859
U2523,2025,45.7,94.9,,45.7,45.7,QS 2025,65.03030303030303
U2622,2025,32.0,88.5,,32.0,32.0,QS 2025,54.141414141414145
U3093,2025,33.6,64.3,,33.6,33.6,QS 2025,45.33333333333333
U0688,2025,1.7,38.1,,1.7,1.7,QS 2025,15.414141414141413
U1291,2025,27.4,85.1,,27.4,27.4,QS 2025,49.97979797979798
U1651,2025,51.6,81.4,,51.6,51.6,QS 2025,63.151515151515156
U2062,2025,70.0,65.9,,70.0,70.0,QS 2025,68.04040404040404
U0509,2025,60.6,42.5,,60.6,60.6,QS 2025,52.888888888888886
U3340,2025,32.1,70.7,,32.1,32.1,QS 2025,47.01010101010101
U2937,2025,99.1,57.0,,99.1,99.1,QS 2025,82.08080808080807
U0381,2025,8.0,96.3,,8.0,8.0,QS 2025,42.74747474747475
U3172,2025,56.8,84.7,,56.8,56.8,QS 2025,67.63636363636363
U3330,2025,53.0,78.6,,53.0,53.0,QS 2025,62.86868686868687
U3006,2025,14.7,63.6,,14.7,14.7,QS 2025,33.5959595959596
U0111,2025,28.9,73.1,,28.9,28.9,QS 2025,46.04040404040404
U2055,2025,10.1,41.4,,10.1,10.1,QS 2025,21.838383838383837
U0769,2025,99.8,68.6,,99.8,99.8,QS 2025,87.19191919191918
U0806,2025,61.4,37.0,,61.4,61.4,QS 2025,51.15151515151515
U2831,2025,16.2,95.1,,16.2,16.2,QS 2025,47.232323232323225
U0736,2025,62.5,92.1,,62.5,62.5,QS 2025,74.08080808080808
U0223,2025,2.6,26.3,,2.6,2.6,QS 2025,11.19191919191919
U0784,2025,65.2,75.4,,65.2,65.2,QS 2025,68.96969696969697
U3270,2025,5.5,84.1,,5.5,5.5,QS 2025,36.303030303030305
U0338,2025,61.6,55.6,,61.6,61.6,QS 2025,58.78787878787879
U2927,2025,36.5,98.2,,36.5,36.5,QS 2025,60.787878787878796
U0328,2025,2.7,14.0,,2.7,2.7,QS 2025,6.282828282828284
U2724,2025,31.4,63.0,,31.4,31.4,QS 2025,43.474747474747474
U0877,2025,73.3,38.8,,73.3,73.3,QS 2025,59.09090909090908
U1544,2025,30.4,94.4,,30.4,30.4,QS 2025,55.55555555555556
U2176,2025,3.6,37.6,,3.6,3.6,QS 2025,16.363636363636363
U2482,2025,67.1,74.0,,67.1,67.1,QS 2025,69.55555555555554
U2648,2025,48.1,94.6,,48.1,48.1,QS 2025,66.36363636363637
U3284,2025,30.5,96.8,,30.5,30.5,QS 2025,56.58585858585859
U2109,2025,99.5,65.2,,99.5,99.5,QS 2025,85.63636363636364
U2560,2025,79.0,63.9,,79.0,79.0,QS 2025,72.68686868686868
U0244,2025,92.6,70.8,,92.6,92.6,QS 2025,83.71717171717172
U1729,2025,66.0,93.9,,66.0,66.0,QS 2025,76.92929292929294
U2615,2025,28.5,69.1,,28.5,28.5,QS 2025,44.18181818181819
U2813,2025,13.2,81.3,,13.2,13.2,QS 2025,39.83838383838384
U0502,2025,53.5,77.4,,53.5,53.5,QS 2025,62.68686868686869
U2957,2025,48.8,79.8,,48.8,48.8,QS 2025,60.8080808080808
U3071,2025,31.3,91.7,,31.3,31.3,QS 2025,55.01010101010101
U3076,2025,59.6,95.1,,59.6,59.6,QS 2025,73.53535353535352
U3367,2025,18.2,93.1,,18.2,18.2,QS 2025,47.63636363636363
U2184,2025,98.1,24.8,,98.1,98.1,QS 2025,68.46464646464646
U0780,2025,19.4,77.8,,19.4,19.4,QS 2025,42.18181818181818
U3166,2025,31.8,85.0,,31.8,31.8,QS 2025,52.6060606060606
U2576,2025,2.9,70.3,,2.9,2.9,QS 2025,29.151515151515152
U1950,2025,98.8,48.3,,98.8,98.8,QS 2025,78.38383838383838
U1325,2025,22.3,74.7,,22.3,22.3,QS 2025,42.686868686868685
U2231,2025,4.1,66.3,,4.1,4.1,QS 2025,28.262626262626263
U2746,2025,29.3,90.8,,29.3,29.3,QS 2025,53.43434343434343
U2917,2025,43.4,88.8,,43.4,43.4,QS 2025,61.17171717171716
U2972,2025,39.6,85.5,,39.6,39.6,QS 2025,57.535353535353536
U3171,2025,55.2,86.4,,55.2,55.2,QS 2025,67.35353535353536
U2011,2025,86.5,66.1,,86.5,86.5,QS 2025,78.12121212121211
U2675,2025,28.3,90.7,,28.3,28.3,QS 2025,52.78787878787878
U2650,2025,38.8,94.1,,38.8,38.8,QS 2025,60.525252525252526
U3183,2025,59.8,80.0,,59.8,59.8,QS 2025,67.55555555555556
U3415,2025,89.5,80.5,,89.5,89.5,QS 2025,85.75757575757575
U1978,2025,61.9,94.8,,61.9,61.9,QS 2025,74.8080808080808
U3264,2025,29.1,81.6,,29.1,29.1,QS 2025,49.5959595959596
U0234,2025,1.4,15.2,,1.4,1.4,QS 2025,5.979797979797979
U2008,2025,27.9,82.3,,27.9,27.9,QS 2025,49.15151515151514
U0817,2025,99.9,79.4,,99.9,99.9,QS 2025,91.61616161616163
U0701,2025,14.0,62.5,,14.0,14.0,QS 2025,32.727272727272734
U0242,2025,82.0,68.6,,82.0,82.0,QS 2025,76.4040404040404
U2577,2025,87.0,99.2,,87.0,87.0,QS 2025,91.7979797979798
U1217,2025,45.4,84.6,,45.4,45.4,QS 2025,60.68686868686869
U2360,2025,7.8,79.7,,7.8,7.8,QS 2025,35.91919191919192
U0001,2025,53.2,92.1,,53.2,53.2,QS 2025,68.44444444444444
U2708,2025,40.7,84.1,,40.7,40.7,QS 2025,57.63636363636364
U0039,2025,1.5,40.3,,1.5,1.5,QS 2025,16.18181818181818
U0720,2025,15.9,90.4,,15.9,15.9,QS 2025,45.151515151515156
U2592,2025,9.3,71.5,,9.3,9.3,QS 2025,33.515151515151516
U1518,2025,63.4,78.1,,63.4,63.4,QS 2025,68.96969696969697
U0977,2025,5.5,88.6,,5.5,5.5,QS 2025,38.12121212121212
U2880,2025,24.9,98.0,,24.9,24.9,QS 2025,53.67676767676768
U2602,2025,55.2,70.4,,55.2,55.2,QS 2025,60.88888888888889
U1719,2025,93.6,65.0,,93.6,93.6,QS 2025,81.97979797979798
U1778,2025,2.1,89.7,,2.1,2.1,QS 2025,36.505050505050505
U1876,2025,88.2,64.1,,88.2,88.2,QS 2025,78.34343434343435
U3032,2025,29.2,70.1,,29.2,29.2,QS 2025,45.01010101010101
U1914,2025,36.6,76.8,,36.6,36.6,QS 2025,52.2020202020202
U2748,2025,34.9,86.3,,34.9,34.9,QS 2025,55.01010101010101
U1226,2025,1.4,22.8,,1.4,1.4,QS 2025,9.05050505050505
U1454,2025,76.0,72.7,,76.0,76.0,QS 2025,74.42424242424241
U2422,2025,11.4,81.1,,11.4,11.4,QS 2025,38.66666666666667
U2970,2025,39.3,81.6,,39.3,39.3,QS 2025,55.77777777777778
U3154,2025,49.3,81.1,,49.3,49.3,QS 2025,61.63636363636364
U0499,2025,99.9,12.3,,99.9,99.9,QS 2025,64.5050505050505
U0959,2025,17.0,76.1,,17.0,17.0,QS 2025,40.04040404040404
U1181,2025,15.1,54.5,,15.1,15.1,QS 2025,30.161616161616166
U1789,2025,12.8,78.0,,12.8,12.8,QS 2025,38.26262626262627
U2770,2025,25.9,75.1,,25.9,25.9,QS 2025,45.03030303030303
U2003,2025,49.5,77.4,,49.5,49.5,QS 2025,60.26262626262626
U0016,2025,16.7,27.3,,16.7,16.7,QS 2025,20.14141414141414
U2783,2025,58.7,87.9,,58.7,58.7,QS 2025,70.08080808080808
U2530,2025,41.7,94.9,,41.7,41.7,QS 2025,62.60606060606061
U0882,2025,93.8,44.3,,93.8,93.8,QS 2025,73.73737373737373
U0656,2025,51.8,80.8,,51.8,51.8,QS 2025,63.030303030303024
U1197,2025,97.6,55.6,,97.6,97.6,QS 2025,80.60606060606061
U1902,2025,98.5,71.3,,98.5,98.5,QS 2025,87.4949494949495
U3213,2025,1.9,60.9,,1.9,1.9,QS 2025,24.74747474747475
U3117,2025,57.0,82.3,,57.0,57.0,QS 2025,66.78787878787878
U3145,2025,31.9,85.5,,31.9,31.9,QS 2025,52.868686868686865
U0304,2025,46.5,77.9,,46.5,46.5,QS 2025,58.64646464646465
U1884,2025,99.9,61.4,,99.9,99.9,QS 2025,84.34343434343435
U0872,2025,97.6,51.2,,97.6,97.6,QS 2025,78.82828282828284
U2161,2025,45.7,60.2,,45.7,45.7,QS 2025,51.01010101010102
U3046,2025,59.4,89.4,,59.4,59.4,QS 2025,71.11111111111111
U2111,2025,55.1,56.8,,55.1,55.1,QS 2025,55.33333333333333
U3004,2025,65.1,92.5,,65.1,65.1,QS 2025,75.81818181818181
U3261,2025,62.5,54.2,,62.5,62.5,QS 2025,58.76767676767677
