university_id,year,global_rank,overall_score,academic_reputation_score,employer_reputation_score,source,teaching_score,research_score,citation_score,industry_income_score,international_outlook_score
U3236,2025,377.0,31.1,36.6,22.5,QS 2025,,,,,
U2074,2025,380.0,30.8,4.9,4.8,QS 2025,,,,,
U2890,2025,380.0,30.8,15.4,10.0,QS 2025,,,,,
U3070,2025,382.0,30.7,40.4,15.1,QS 2025,,,,,
U0143,2025,383.0,30.6,10.0,12.0,QS 2025,,,,,
U3388,2025,384.0,30.5,19.9,14.2,QS 2025,,,,,
U1942,2025,385.0,30.4,12.1,6.6,QS 2025,,,,,
U2534,2025,385.0,30.4,20.2,8.8,QS 2025,,,,,
U0252,2025,387.0,30.3,28.4,40.7,QS 2025,,,,,
U2368,2025,388.0,30.2,28.7,21.8,QS 2025,,,,,
U2603,2025,389.0,30.1,3.3,1.8,QS 2025,,,,,
U2764,2025,389.0,30.1,10.0,4.7,QS 2025,,,,,
U3351,2025,389.0,30.1,26.4,26.2,QS 2025,,,,,
U1452,2025,392.0,30.0,27.6,37.9,QS 2025,,,,,
U1412,2025,393.0,29.9,26.7,33.2,QS 2025,,,,,
U2717,2025,393.0,29.9,17.7,5.9,QS 2025,,,,,
U3097,2025,393.0,29.9,31.3,15.4,QS 2025,,,,,
U1522,2025,396.0,29.7,19.2,11.8,QS 2025,,,,,
U1779,2025,396.0,29.7,20.3,8.8,QS 2025,,,,,
U1849,2025,396.0,29.7,10.8,16.1,QS 2025,,,,,
U2504,2025,396.0,29.7,17.0,11.8,QS 2025,,,,,
U3155,2025,396.0,29.7,8.8,5.7,QS 2025,,,,,
U1073,2025,401.0,29.6,23.6,11.4,QS 2025,,,,,
U1152,2025,401.0,29.6,24.3,54.6,QS 2025,,,,,
U0118,2025,403.0,29.5,5.2,20.5,QS 2025,,,,,
