University_Key,University_Name_QS,Country_QS,Country_Code,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student_Score,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,University_Name_THE,Country_THE,THE_Rank,THE_Overall_Score,THE_Teaching_Score,THE_Research_Score,THE_Citations_Score,THE_Industry_Income_Score,THE_International_Outlook,Total_Students,Student_Staff_Ratio,International_Students,Female_Male_Ratio,Year
zhengzhou university,Zhengzhou University,China (Mainland),CN,621-630,-,5.4,19.7,4.7,65.6,,2.5,Zhengzhou University,China,601.0,37.0–41.8,18.7,19.8,82.5,35.8,25.2,"74,052",15.6,4%,48:52:00,2024
ajou university,Ajou University ,South Korea,KR,631-640,-,15.5,15.4,65.1,17.4,6.2,13.7,Ajou University,South Korea,501.0,41.9–45.3,35.6,37.7,52.8,92.3,48.0,"7,714",14.9,17%,41:59:00,2024
boston college,Boston College,United States,US,631-640,-,20.5,12.9,19.3,21.5,12.0,18.3,Boston College,United States,251.0,53.1–55.8,43.5,30.5,84.6,60.7,57.8,"13,156",14.9,10%,55:45:00,2024
jinan university,Jinan University (China),China (Mainland),CN,631-640,-,5.6,2.1,9.4,42.9,36.7,85.2,Jinan University,China,501.0,41.9–45.3,25.9,22.8,73.5,43.6,63.1,"37,555",15.0,30%,60:40:00,2024
palack university olomouc,Palacký University Olomouc,Czech Republic,CZ,631-640,-,15.0,17.9,29.6,8.6,33.3,19.5,Palacký University Olomouc,Czech Republic,801.0,32.7–36.9,23.4,23.9,49.8,36.8,61.8,"19,474",15.2,14%,68:32:00,2024
ritsumeikan university,Ritsumeikan University,Japan,JP,631-640,-,15.2,68.4,8.1,3.8,24.7,10.2,Ritsumeikan University,Japan,1201.0,22.8–28.2,19.8,13.9,27.4,30.3,46.8,"35,119",17.4,10%,37 : 63,2024
far eastern federal university,Far Eastern Federal University,Russia,RU,641-650,-,10.6,3.5,94.9,1.8,14.1,66.1,Far Eastern Federal University,Russian Federation,1201.0,22.8–28.2,31.5,19.6,21.0,26.6,62.7,"15,631",12.9,21%,59:41:00,2024
free university of bozen bolzano,Free University of Bozen-Bolzano,Italy,IT,641-650,-,5.0,1.5,11.0,47.6,74.8,26.3,Free University of Bozen-Bolzano,Italy,351.0,49.1–51.0,31.8,22.8,85.5,45.6,78.6,"4,244",10.7,14%,67:33:00,2024
memorial university of newfoundland,Memorial University of Newfoundland,Canada,CA,641-650,-,7.0,4.6,11.0,28.5,25.3,71.9,Memorial University of Newfoundland,Canada,501.0,41.9–45.3,27.5,24.5,60.9,83.2,85.7,"16,318",15.1,23%,55:45:00,2024
new jersey institute of technology,New Jersey Institute of Technology (NJIT),United States,US,641-650,-,3.9,6.1,14.0,27.5,84.5,69.9,New Jersey Institute of Technology,United States,401.0,45.4–49.0,27.4,23.5,69.2,69.8,93.6,"9,981",14.5,24%,27 : 73,2024
the new school,The New School,United States,US,641-650,-,15.9,14.9,44.3,2.8,6.0,91.7,The New School,United States,801.0,32.7–36.9,29.8,15.5,45.8,27.2,61.1,"8,644",9.3,34%,73:27:00,2024
university of bradford,University of Bradford,United Kingdom,UK,641-650,-,8.7,7.3,8.2,18.1,63.8,93.2,University of Bradford,United Kingdom,501.0,41.9–45.3,23.3,22.4,73.8,58.1,90.1,"8,970",19.5,31%,57:43:00,2024
university of houston,University of Houston,United States,US,641-650,-,13.9,10.9,4.5,34.0,8.5,9.3,University of Houston,United States,501.0,41.9–45.3,33.8,29.7,65.8,70.2,50.8,"47,963",26.3,7%,52:48:00,2024
university of modena and reggio emilia,University of Modena and Reggio Emilia,Italy,IT,641-650,-,8.7,3.2,2.3,50.3,3.9,3.8,University of Modena and Reggio Emilia,Italy,401.0,45.4–49.0,32.0,24.6,79.6,80.3,40.2,"21,836",27.0,5%,54:46:00,2024
university of windsor,University of Windsor,Canada,CA,641-650,-,3.6,4.8,2.3,33.1,87.6,75.1,University of Windsor,Canada,501.0,41.9–45.3,28.7,29.8,56.7,60.7,90.8,"14,849",34.1,35%,,2024
comsats university islamabad,COMSATS University Islamabad,Pakistan,PK,651-660,-,10.4,29.2,14.4,13.9,1.6,1.6,COMSATS University Islamabad,Pakistan,601.0,37.0–41.8,17.9,16.6,88.2,30.5,50.0,"34,323",16.0,1%,42:58:00,2024
southern cross university,Southern Cross University ,Australia,AU,651-660,-,4.7,3.4,3.2,38.6,71.2,66.2,Southern Cross University,Australia,501.0,41.9–45.3,23.5,27.7,65.4,52.8,73.7,"10,381",48.7,23%,66:34:00,2024
tallinn university of technology,Tallinn University of Technology (TalTech),Estonia,EE,651-660,-,12.9,11.4,27.6,9.6,49.5,25.0,Tallinn University of Technology,Estonia,601.0,37.0–41.8,25.7,20.6,65.7,48.1,69.1,"8,521",11.4,14%,40 : 60,2024
university of haifa,University of Haifa,Israel,IL,651-660,-,13.1,7.4,19.6,30.1,14.2,3.9,University of Haifa,Israel,601.0,37.0–41.8,23.9,30.1,68.4,64.5,34.5,"17,353",18.4,3%,66:34:00,2024
university of hohenheim,University of Hohenheim,Germany,DE,651-660,-,9.8,5.3,10.0,39.4,26.4,24.2,University of Hohenheim,Germany,251.0,53.1–55.8,35.0,35.5,85.7,80.5,61.7,"8,369",37.7,14%,57:43:00,2024
aberystwyth university,Aberystwyth University,United Kingdom,UK,661-670,-,9.5,6.4,19.5,23.5,46.1,49.5,Aberystwyth University,United Kingdom,501.0,41.9–45.3,26.3,23.0,68.5,62.4,87.3,"6,180",15.6,23%,51:49:00,2024
brandeis university,Brandeis University,United States,US,661-670,-,9.8,4.3,49.9,16.3,26.2,70.6,Brandeis University,United States,251.0,53.1–55.8,36.7,28.3,84.6,64.2,81.4,"4,791",11.6,33%,59:41:00,2024
ca foscari university of venice,Ca' Foscari University of Venice ,Italy,IT,661-670,-,18.8,14.8,4.9,14.2,35.1,8.2,Ca’ Foscari University of Venice,Italy,501.0,41.9–45.3,34.2,36.3,52.8,64.7,63.0,"15,053",29.5,7%,66:34:00,2024
lebanese american university,Lebanese American University,Lebanon,LB,661-670,-,10.5,28.2,35.5,3.2,78.9,26.4,Lebanese American University,Lebanon,501.0,41.9–45.3,26.7,13.2,76.4,32.8,84.2,"7,100",10.1,17%,52:48:00,2024
middlesex university,Middlesex University,United Kingdom,UK,661-670,-,5.6,4.8,8.3,14.3,85.1,99.6,Middlesex University,United Kingdom,501.0,41.9–45.3,22.8,18.5,80.0,46.8,93.4,"15,545",18.3,50%,59:41:00,2024
national chung hsing university,National Chung Hsing University,Taiwan,TW,661-670,-,20.2,24.1,27.6,11.8,7.9,5.6,National Chung Hsing University,Taiwan,1001.0,28.3–32.6,23.8,25.2,33.8,78.8,32.5,"14,394",15.5,6%,42:58:00,2024
princess nourah bint abdulrahman university,Princess Nourah bint Abdulrahman University,Saudi Arabia,SA,661-670,-,16.6,16.5,19.4,1.9,92.5,47.7,Princess Nourah bint Abdulrahman University,Saudi Arabia,601.0,37.0–41.8,26.7,16.3,66.1,28.3,91.7,"22,552",12.1,17%,100:00:00,2024
tokyo university of science,Tokyo University of Science,Japan,JP,661-670,-,11.0,54.8,10.6,11.7,13.3,3.8,Tokyo University of Science,Japan,1201.0,22.8–28.2,24.0,26.1,26.4,74.0,29.1,"17,662",24.0,4%,25 : 75,2024
universidad panamericana,Universidad Panamericana (UP),Mexico,MX,661-670,-,8.7,22.0,81.5,1.2,10.5,2.5,Universidad Panamericana (UP),Mexico,1501.0,9.7–22.7,23.9,9.1,12.0,16.0,43.9,"15,469",7.8,2%,48:52:00,2024
universitas padjadjaran,Universitas Padjadjaran,Indonesia,ID,661-670,-,16.8,34.0,36.6,1.4,24.0,1.7,Universitas Padjadjaran,Indonesia,1501.0,9.7–22.7,28.5,12.2,19.2,23.6,34.3,"35,498",11.3,1%,59:41:00,2024
carleton university,Carleton University,Canada,CA,671-680,-,10.9,13.9,3.1,21.8,21.6,46.0,Carleton University,Canada,501.0,41.9–45.3,22.6,31.2,67.0,75.5,77.2,"29,656",29.4,21%,50:50:00,2024
university of debrecen,University of Debrecen,Hungary,HU,671-680,-,17.3,10.3,30.4,3.7,10.6,68.0,University of Debrecen,Hungary,601.0,37.0–41.8,41.2,22.5,40.7,51.1,59.7,"19,964",12.0,24%,56:44:00,2024
university of greenwich,University of Greenwich,United Kingdom,UK,671-680,-,4.5,4.2,4.6,10.6,91.9,100.0,University of Greenwich,United Kingdom,501.0,41.9–45.3,17.8,17.5,81.2,40.9,97.2,"17,095",21.8,46%,58:42:00,2024
university of manitoba,University of Manitoba,Canada,CA,671-680,-,14.5,12.0,36.3,10.0,,27.8,University of Manitoba,Canada,351.0,49.1–51.0,31.8,34.7,76.3,62.3,59.1,"30,316",30.0,21%,54:46:00,2024
de la salle university,De La Salle University,Philippines,PH,681-690,-,21.0,45.1,10.5,4.2,2.0,2.7,De La Salle University,Philippines,1501.0,9.7–22.7,19.6,12.8,31.3,17.4,29.3,"14,905",14.5,3%,50:50:00,2024
east china university of science and technology,East China University of Science and Technology,China (Mainland),CN,681-690,-,7.5,2.6,13.0,61.4,2.7,1.8,East China University of Science and Technology,China,601.0,37.0–41.8,29.9,25.8,60.2,87.1,23.2,"30,974",18.0,2%,44:56:00,2024
shiraz university,Shiraz University,"Iran, Islamic Republic of",IR,681-690,-,5.7,10.4,5.1,54.9,1.2,1.8,Shiraz University,Iran,801.0,32.7–36.9,29.3,24.6,55.0,57.4,29.1,"14,857",20.8,2%,53:47:00,2024
taras shevchenko national university of kyiv,Taras Shevchenko National University of Kyiv,Ukraine,UA,681-690,-,19.2,38.6,33.4,2.3,1.5,5.1,Taras Shevchenko National University of Kyiv,Ukraine,1201.0,22.8–28.2,30.0,13.1,20.2,31.4,31.8,"25,937",10.6,5%,56:44:00,2024
university of kentucky,University of Kentucky,United States,US,681-690,-,10.9,11.5,18.9,26.1,20.9,3.7,University of Kentucky,United States,401.0,45.4–49.0,41.3,30.8,71.8,70.9,46.8,"27,540",11.3,3%,58:42:00,2024
inha university,Inha University,South Korea,KR,691-700,-,10.9,15.3,72.9,11.7,8.8,14.4,Inha University,South Korea,801.0,32.7–36.9,31.2,27.2,41.7,83.9,38.8,"16,035",19.2,8%,42:58:00,2024
universidade federal do rio grande do sul,Universidade Federal do Rio Grande Do Sul ,Brazil,BR,691-700,-,28.6,3.8,10.9,10.1,2.2,1.6,Universidade Federal do Rio Grande do Sul,Brazil,601.0,37.0–41.8,36.4,22.5,54.1,52.9,34.1,"45,760",16.5,1%,51:49:00,2024
