University_Key,University_Name_QS,Country_QS,Country_Code,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student_Score,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,University_Name_THE,Country_THE,THE_Rank,THE_Overall_Score,THE_Teaching_Score,THE_Research_Score,THE_Citations_Score,THE_Industry_Income_Score,THE_International_Outlook,Total_Students,Student_Staff_Ratio,International_Students,Female_Male_Ratio,Year
istanbul university,Istanbul University,Turkey,TR,711-720,-,26.4,19.1,3.0,4.2,6.4,15.7,Istanbul University,Turkey,1001.0,28.3–32.6,23.5,22.0,34.4,50.9,38.2,"61,369",25.4,9%,56:44:00,2024
savitribai phule pune university,Savitribai Phule Pune University,India,IN,711-720,-,7.8,11.3,55.1,30.4,1.2,3.3,Savitribai Phule Pune University,India,801.0,32.7–36.9,44.0,11.8,54.5,22.8,25.2,"5,871",9.6,4%,44:56:00,2024
university of maryland baltimore county,"University of Maryland, Baltimore County",United States,US,711-720,-,10.6,13.1,13.4,18.1,59.4,15.9,"University of Maryland, Baltimore County",United States,601.0,37.0–41.8,28.8,24.6,61.5,66.8,50.1,"11,668",17.2,11%,46:54:00,2024
university of westminster,University of Westminster,United Kingdom,UK,711-720,-,12.9,6.7,5.9,6.0,78.4,100.0,University of Westminster,United Kingdom,801.0,32.7–36.9,19.4,18.1,55.3,40.0,87.1,"17,315",19.8,48%,60:40:00,2024
victoria university,Victoria University ,Australia,AU,711-720,-,7.6,6.5,2.4,34.6,34.1,57.6,Victoria University,Australia,401.0,45.4–49.0,27.4,29.9,73.1,57.2,75.5,"14,113",40.0,19%,57:43:00,2024
ain shams university,Ain Shams University ,Egypt,EG,721-730,-,22.4,25.4,10.2,1.9,25.0,5.6,Ain Shams University,Egypt,1001.0,28.3–32.6,27.9,15.3,45.8,48.0,51.8,"1,52,995",13.3,6%,52:48:00,2024
jeonbuk national university,Jeonbuk National University,South Korea,KR,721-730,-,16.7,10.7,65.8,9.7,8.2,7.4,Jeonbuk National University,South Korea,801.0,32.7–36.9,30.2,27.3,45.0,68.1,34.1,"20,118",19.6,7%,46:54:00,2024
temple university,Temple University,United States,US,721-730,-,12.5,7.9,26.4,18.8,3.4,5.7,Temple University,United States,351.0,49.1–51.0,40.7,24.3,85.2,70.4,43.6,"34,069",12.3,6%,56:44:00,2024
ton duc thang university,Ton Duc Thang University,Vietnam,VN,721-730,-,4.2,10.2,5.1,34.6,18.4,1.6,Ton Duc Thang University,Vietnam,601.0,37.0–41.8,12.9,16.0,90.6,20.9,63.1,"28,400",21.9,1%,57:43:00,2024
university of belgrade,University of Belgrade,Serbia,RS,721-730,-,17.8,5.2,4.3,5.3,2.9,4.3,University of Belgrade,Serbia,801.0,32.7–36.9,21.3,27.0,49.4,34.0,42.3,"91,494",18.2,5%,62:38:00,2024
university of oregon,University of Oregon,United States,US,721-730,-,17.7,8.6,11.2,24.0,12.5,4.5,University of Oregon,United States,401.0,45.4–49.0,31.1,30.5,79.4,70.2,43.2,"21,185",13.0,6%,55:45:00,2024
adam mickiewicz university pozna,"Adam Mickiewicz University, Poznań",Poland,PL,731-740,-,15.8,8.7,29.7,5.0,7.0,7.0,"Adam Mickiewicz University, Poznań",Poland,1001.0,28.3–32.6,19.7,28.4,43.5,29.6,37.8,"33,268",25.0,6%,68:32:00,2024
alfaisal university,Alfaisal University,Saudi Arabia,SA,731-740,-,3.9,3.2,23.9,10.7,100.0,89.4,Alfaisal University,Saudi Arabia,501.0,41.9–45.3,24.1,15.2,72.7,42.1,97.7,"3,274",10.8,32%,56:44:00,2024
bournemouth university,Bournemouth University,United Kingdom,UK,731-740,-,5.7,8.3,6.1,17.4,81.2,50.1,Bournemouth University,United Kingdom,401.0,45.4–49.0,23.2,21.1,86.7,38.4,89.0,"14,260",19.1,21%,53:47:00,2024
